,namespace,grade,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Porcentagem de visualização de relatórios de AA
73,acessosjpinhais,ef 5o ano,0.3157995044787497,9.5,159.0,0.4441786283891547
74,acessosjpinhais,ef 6o ano,0.3903913665323105,12.666666666666666,181.66666666666663,0.5179738562091504
75,acessosjpinhais,ef 7o ano,0.431422761165926,13.666666666666666,199.0,0.467125860989355
76,acessosjpinhais,ef 8o ano,0.4390022358859698,12.666666666666666,191.0,0.479129923574368
77,acessosjpinhais,ef 9o ano,0.4484467005076142,19.0,303.0,0.3971983732489832
78,acessosjpinhais,em 1a serie,0.3189618372748228,51.0,884.0,0.3806881243063263
79,acessosjpinhais,em 2a serie,0.327778708200748,47.0,853.0,0.3996960486322188
80,acessosjpinhais,em 3a serie,0.8715354330708661,7.0,635.0,0.6803571428571429
81,acessosjpinhais,outro,0.3922384701912261,7.0,635.0,0.3452380952380952
82,adrianochan,outro,0.2189163072426878,0.095,391.175,0.2488291282671098
83,aescobjetivo,ef 1o ano,0.7604832977967306,10.0,67.0,0.5
84,aescobjetivo,ef 2o ano,0.7163892445582587,13.5,89.5,0.5573770491803278
85,aescobjetivo,ef 3o ano,0.7219047619047619,20.0,105.0,0.35
86,aescobjetivo,ef 4o ano,0.8289686388619464,6.5,88.5,0.640625
87,aescobjetivo,ef 5o ano,0.6895877754086709,11.5,151.5,0.4551282051282051
88,aescobjetivo,ef 6o ano,0.504257528556594,12.0,321.0,0.456221198156682
89,aescobjetivo,ef 7o ano,0.6227490996398559,10.5,297.5,0.573170731707317
90,aescobjetivo,ef 8o ano,0.6696975235310244,12.0,353.0,0.5638440860215054
91,aescobjetivo,ef 9o ano,0.6285273368606702,12.5,378.0,0.4694444444444444
92,aescobjetivo,em 1a serie,0.616755607437672,12.0,434.6666666666667,0.3415372964786066
93,aescobjetivo,em 2a serie,0.3880698380721273,14.2,807.8,0.2695250469178576
94,aescobjetivo,em 3a serie,0.4696529321251496,18.0,1253.0,0.2729326705829191
95,albertsabin,em 1a serie,0.0,0.0,0.0,0.0
96,alfacembilingue,em 1a serie,0.0,0.0,0.0,0.0
97,alfeurosa,ef 3o ano,0.0,0.0,0.0,0.0
98,alfeurosa,ef 7o ano,0.0,0.0,0.0,0.0
99,alfeurosa,ef 9o ano,0.0,0.0,0.0,0.0
100,alfeurosa,em 1a serie,0.0,0.0,0.0,0.0
101,alfeurosa,em 2a serie,0.0,0.0,0.0,0.0
102,alfeurosa,em 3a serie,0.0,0.0,0.0,0.0
103,alpha,ef 3o ano,0.0,0.0,0.0,0.0
104,alpha,ef 7o ano,0.0,0.0,0.0,0.0
105,alpha,ef 9o ano,0.0,0.0,0.0,0.0
106,alpha,em 1a serie,0.0,0.0,0.0,0.0
107,alpha,em 2a serie,0.0,0.0,0.0,0.0
108,alpha,em 3a serie,0.0,0.0,0.0,0.0
109,amadeus,ef 2o ano,0.5161835748792271,5.5,90.0,0.1324110671936759
110,amadeus,ef 3o ano,0.6933333333333334,7.0,100.0,0.2043650793650793
111,amadeus,ef 4o ano,0.6574440052700923,7.0,92.0,0.2445887445887445
112,amadeus,ef 5o ano,0.7435897435897436,6.5,93.0,0.2825443786982248
113,amadeus,ef 6o ano,0.4724529066234555,11.333333333333334,198.66666666666663,0.4315952503871967
114,amadeus,ef 7o ano,0.4737540106951872,13.5,275.0,0.4666666666666667
115,amadeus,ef 8o ano,0.5165950443448843,9.666666666666666,207.66666666666663,0.3118477593615715
116,amadeus,ef 9o ano,0.4293206889878072,4.866666666666666,117.86666666666666,0.282863041982106
117,amadeus,em 1a serie,0.4447444514658853,6.6,229.4,0.2179946284691137
118,amadeus,em 2a serie,0.5017497812773404,7.666666666666667,288.0,0.3180417665183156
119,amadeus,em 3a serie,0.0153846153846153,0.3333333333333333,20.0,0.0307692307692307
120,amadeus,outro,0.0,0.0,0.0,0.0
121,amais,ef 2o ano,0.0,0.0,0.0,0.0
122,amais,ef 3o ano,0.0,0.0,0.0,0.0
123,amais,ef 9o ano,0.0,0.0,0.0,0.0
124,amais,em 1a serie,0.0,0.0,0.0,0.0
125,amais,em 2a serie,0.0,0.0,0.0,0.0
126,amais,em 3a serie,0.0,2.0,176.0,0.0
127,amais,outro,0.0,9.0,395.0,0.0
128,amaismaker,ef 2o ano,0.0,0.0,0.0,0.0
129,amaismaker,ef 5o ano,0.0,0.0,0.0,0.0
130,amaismaker,em 1a serie,0.0,0.0,0.0,0.0
131,amaismaker,em 2a serie,0.0,0.0,0.0,0.0
132,amaismaker,outro,0.0,0.0,0.0,0.0
133,amaisteste,ef 3o ano,0.0,4.0,28.0,0.0
134,amaisteste,ef 6o ano,0.1388888888888889,2.0,12.0,0.1666666666666666
135,amaisteste,ef 9o ano,0.52,1.0,5.0,0.08
136,amaisteste,em 1a serie,0.0,1.0,5.0,0.0
137,amaisteste,em 3a serie,0.0,1.0,5.0,0.0
138,anchietaba,em 1a serie,0.0,0.0,0.0,0.0
139,anossaatmosfera,ef 3o ano,0.0,0.0,0.0,0.0
140,anossaatmosfera,ef 7o ano,0.0,0.0,0.0,0.0
141,anossaatmosfera,ef 9o ano,0.0,0.0,0.0,0.0
142,anossaatmosfera,em 1a serie,0.0,0.0,0.0,0.0
143,anossaatmosfera,em 2a serie,0.0,0.0,0.0,0.0
144,anossaatmosfera,em 3a serie,0.0,0.0,0.0,0.0
145,apogeubenfica,outro,0.0,0.0,0.0,0.0
146,apogeupousoalegre,outro,0.0,0.0,0.0,0.0
147,apogeustoantonio1,outro,0.0,0.0,0.0,0.0
148,apogeustoantonio2,ef 9o ano,0.4545454545454545,2.0,91.0,0.5909090909090909
149,apogeustoantonio2,outro,0.3776575854700855,1.9230769230769231,250.07692307692307,0.4034526854219948
150,aprovest,outro,0.9176470588235294,0.3333333333333333,51.0,0.8588235294117647
