,namespace,grade,Porcentagem de visualização de relatórios de AA
129,amaismaker,em 1a serie,0.0
130,amaismaker,em 2a serie,0.0
131,amaismaker,outro,0.0
132,amaisteste,ef 3o ano,0.0
133,amaisteste,ef 6o ano,0.16666666666666666
134,amaisteste,ef 9o ano,0.08
135,amaisteste,em 1a serie,0.0
136,amaisteste,em 3a serie,0.0
137,anchietaba,em 1a serie,0.0
138,anossaatmosfera,ef 3o ano,0.0
139,anossaatmosfera,ef 7o ano,0.0
140,anossaatmosfera,ef 9o ano,0.0
141,anossaatmosfera,em 1a serie,0.0
142,anossaatmosfera,em 2a serie,0.0
143,anossaatmosfera,em 3a serie,0.0
144,apogeubenfica,outro,0.0
145,apogeupousoalegre,outro,0.0
146,apogeustoantonio1,outro,0.0
147,apogeustoantonio2,ef 9o ano,0.5909090909090909
148,apogeustoantonio2,outro,0.40345268542199486
149,aprovest,outro,0.8588235294117647
150,arena,em 1a serie,0.0
151,atmo,em 1a serie,0.0
152,augustolaranja,em 1a serie,0.0
153,avaliacaoapogeu,ef 9o ano,0.0
154,avaliacaoapogeu,outro,0.0
155,bahema,em 1a serie,0.0
156,beityaacov,em 1a serie,0.0
157,beityaacov,em 3a serie,0.2777777777777778
158,benjaminconstant,ef 1o ano,0.0
159,benjaminconstant,em 1a serie,0.0
160,bertelsmann,ef 5o ano,0.0
161,bertelsmann,em 1a serie,0.0
162,blueschooleducacional,em 1a serie,0.0
163,boaviagem,ef 3o ano,0.0
164,boaviagem,ef 7o ano,0.0
165,boaviagem,ef 9o ano,0.0
166,boaviagem,em 1a serie,0.0
167,boaviagem,em 2a serie,0.0
168,boaviagem,em 3a serie,0.0
169,borapassar,ef 3o ano,0.0
170,borapassar,ef 7o ano,0.0
171,borapassar,ef 9o ano,0.0
172,borapassar,em 1a serie,0.0
173,borapassar,em 2a serie,0.0
174,borapassar,em 3a serie,0.0
175,bosquemananciais,em 1a serie,0.0
176,brasilcursinhos,outro,0.4059633027522936
177,camerinocursos,outro,0.08
178,capacitacaoinspira,outro,0.0
179,casdinhosjc,ef 8o ano,0.4603174603174603
180,casdinhosjc,ef 9o ano,0.4851116625310174
181,casdvest,ef 8o ano,0.0
182,casdvest,outro,0.07197268190175991
183,catamaravita,ef 3o ano,0.0
184,catamaravita,ef 7o ano,0.0
185,catamaravita,ef 9o ano,0.0
186,catamaravita,em 1a serie,0.0
187,catamaravita,em 2a serie,0.0
188,catamaravita,em 3a serie,0.0
189,catarinense,ef 1o ano,0.0
190,catarinense,em 1a serie,0.0
191,cats,outro,0.4393939393939394
192,caur,ef 9o ano,0.0
193,caur,em 2a serie,0.0
194,caur,outro,0.0
195,cav,em 1a serie,0.0
196,cbpdigital,ef 2o ano,0.6175
197,cbpdigital,ef 3o ano,0.7864583333333334
198,cbpdigital,ef 4o ano,0.7763713080168776
199,cbpdigital,ef 5o ano,0.7821969696969697
200,cbpdigital,ef 6o ano,0.741042345276873
201,cbpdigital,ef 7o ano,0.7359550561797753
202,cbpdigital,ef 8o ano,0.4891304347826087
203,cbpdigital,ef 9o ano,0.5169971671388102
204,ceabb,ef 3o ano,0.020833333333333332
205,ceabb,ef 4o ano,0.4
206,ceabb,ef 5o ano,0.18181818181818182
207,ceabb,ef 6o ano,0.13216957605985039
208,ceabb,ef 7o ano,0.18382352941176472
209,ceabb,ef 8o ano,0.031746031746031744
210,ceabb,ef 9o ano,0.0875
211,cecbdf,em 1a serie,0.0
212,cecbdf,em 3a serie,0.0
213,ceespacolivre,ef 3o ano,0.0
214,ceespacolivre,ef 5o ano,1.0
215,ceespacolivre,ef 6o ano,0.7228464419475655
216,ceespacolivre,ef 7o ano,0.7323943661971831
217,ceespacolivre,ef 8o ano,0.748587570621469
218,ceespacolivre,ef 9o ano,0.4986072423398329
219,ceespacolivre,em 1a serie,0.3815789473684211
220,ceespacolivre,em 2a serie,0.5620689655172414
221,ceespacolivre,em 3a serie,0.0
222,cem,ef 2o ano,0.6324786324786325
223,cem,ef 3o ano,0.65625
224,cem,ef 4o ano,0.7916666666666666
225,cem,ef 5o ano,0.7719298245614035
226,cem,ef 6o ano,0.7417840375586855
227,cem,ef 7o ano,0.8881578947368421
228,cem,ef 8o ano,0.9333333333333333
229,cem,ef 9o ano,0.8448753462603878
230,cem,em 1a serie,0.7658862876254181
231,cem,em 2a serie,0.8452380952380952
232,cem,em 3a serie,0.6411483253588517
233,ceprimeiromundo,ef 1o ano,0.0
234,ceprimeiromundo,ef 2o ano,0.0
235,ceprimeiromundo,ef 3o ano,0.24390243902439024
236,ceprimeiromundo,ef 4o ano,0.4796747967479675
237,ceprimeiromundo,ef 5o ano,0.3333333333333333
238,ceprimeiromundo,ef 6o ano,0.13902439024390245
239,ceprimeiromundo,ef 7o ano,0.1730612244897959
240,ceprimeiromundo,ef 8o ano,0.1846986089644513
241,ceprimeiromundo,ef 9o ano,0.20433639947437582
242,ceprimeiromundo,em 1a serie,0.1519134132199459
243,ceprimeiromundo,em 2a serie,0.11006637168141593
244,ceprimeiromundo,em 3a serie,0.45714285714285713
245,ceprimeiromundo,outro,0.0
246,cepseguro,em 1a serie,0.0
247,cfc,ef 1o ano,0.0
248,cfc,em 1a serie,0.0
249,cfimaculadaconceicao,em 2a serie,0.0
250,charlesdarwin,em 1a serie,0.0
251,ciadosaber,ef 2o ano,0.1927710843373494
252,ciadosaber,ef 3o ano,0.02459016393442623
253,ciadosaber,ef 4o ano,0.3924731182795699
254,ciadosaber,ef 5o ano,0.42063492063492064
255,ciadosaber,ef 6o ano,0.5423728813559322
256,ciadosaber,ef 7o ano,0.5394736842105263
257,ciadosaber,ef 8o ano,0.7758620689655172
258,ciadosaber,ef 9o ano,0.4678362573099415
259,classea,em 1a serie,0.0
260,cmdpii,em 1a serie,0.0
261,cmdpii,em 2a serie,0.0
262,cnslpb,ef 6o ano,0.444794952681388
263,cnslpb,ef 7o ano,0.4925373134328358
264,cnslpb,ef 8o ano,0.5669642857142857
265,cnslpb,ef 9o ano,0.3285939968404423
266,cnslpb,em 1a serie,0.3219858156028369
267,cnslpb,em 2a serie,0.16778523489932887
268,cnslpb,em 3a serie,0.14862138533960995
269,cognita,em 1a serie,0.0
270,cognitivo,em 1a serie,0.0
271,colegioalbertsabin,em 1a serie,0.0
272,colegioalphaunis,ef 6o ano,0.793859649122807
273,colegioalphaunis,ef 7o ano,0.7040816326530612
274,colegioalphaunis,ef 8o ano,0.8846153846153846
275,colegioalphaunis,ef 9o ano,0.8760233918128655
276,colegioalphaunis,em 1a serie,0.15333333333333332
277,colegioalphaunis,em 2a serie,0.09885057471264368
278,colegioalphaunis,em 3a serie,0.11486486486486487
279,colegioanchietai,em 1a serie,0.0
280,colegioanchietai,em 2a serie,0.0
281,colegioanchietai,em 3a serie,0.0
282,colegioanchietaii,em 1a serie,0.0
283,colegioanchietaii,em 2a serie,0.0
284,colegioanchietaii,em 3a serie,0.0
285,colegioarena,ef 6o ano,0.0
286,colegioarena,em 1a serie,0.5152173913043478
287,colegioarena,em 2a serie,0.43413078149920253
288,colegioarena,em 3a serie,0.20816798941798942
289,colegioarena,outro,0.14893617021276595
290,colegiobatistaindependente,ef 5o ano,0.4805194805194805
291,colegiobatistaindependente,ef 6o ano,0.718816067653277
292,colegiobatistaindependente,ef 7o ano,0.7407407407407407
293,colegiobatistaindependente,ef 8o ano,0.6742209631728046
294,colegiobatistaindependente,ef 9o ano,0.708904109589041
295,colegiobatistaindependente,em 1a serie,0.7061068702290076
296,colegiobatistaindependente,em 2a serie,0.5913461538461539
297,colegiobatistaindependente,em 3a serie,0.5908045977011495
298,colegiobatistaindependente,outro,0.75
299,colegiobetelbrasileirosp,ef 1o ano,0.8888888888888888
300,colegiobetelbrasileirosp,ef 6o ano,0.7962529274004684
301,colegiobetelbrasileirosp,ef 7o ano,0.7335640138408305
302,colegiobetelbrasileirosp,ef 8o ano,0.7667638483965015
303,colegiobetelbrasileirosp,ef 9o ano,0.7703081232492998
304,colegiobetelbrasileirosp,em 1a serie,0.7758620689655172
305,colegiobetelbrasileirosp,em 2a serie,0.75
306,colegiobetelbrasileirosp,em 3a serie,0.6767676767676768
307,colegiobianguloiv,em 1a serie,0.0
308,colegiobianguloiv,em 2a serie,0.0
309,colegiobianguloiv,em 3a serie,0.0
310,colegiobilac,ef 1o ano,0.05555555555555555
311,colegiobilac,ef 2o ano,0.05092592592592592
312,colegiobilac,ef 3o ano,0.10504201680672269
313,colegiobilac,ef 4o ano,0.08791208791208792
314,colegiobilac,ef 5o ano,0.0803921568627451
315,colegiobilac,ef 6o ano,0.48329621380846327
316,colegiobilac,ef 7o ano,0.23404255319148937
317,colegiobilac,ef 8o ano,0.42993197278911566
318,colegiobilac,ef 9o ano,0.365702479338843
319,colegiobrasilia,ef 2o ano,0.30484848484848487
320,colegiobrasilia,ef 3o ano,0.24832663989290496
321,colegiobrasilia,ef 4o ano,0.42225998300764656
322,colegiobrasilia,ef 5o ano,0.5122435473196558
323,colegiobrasilia,ef 6o ano,0.40907638223074466
324,colegiobrasilia,ef 7o ano,0.43571861734384476
325,colegiobrasilia,ef 8o ano,0.48416845988318474
326,colegiobrasilia,ef 9o ano,0.3623488773747841
327,colegiobrasilia,em 1a serie,0.3658435360033202
328,colegiobrasilia,em 2a serie,0.36925858951175405
