,namespace,grade,numero_ex
640,master,em 3a serie,1823.375
641,master,outro,313.3333333333333
642,minhalista,outro,15.0
643,moaciralves,ef 8o ano,15.0
644,moaciralves,ef 9o ano,5.0
645,montessori,em 1a serie,276.0
646,montessori,em 2a serie,276.0
647,montessori,em 3a serie,276.0
648,navegasas,ef 5o ano,3.0
649,novotempo,ef 9o ano,276.0
650,novotempo,em 1a serie,276.0
651,novotempo,em 2a serie,276.0
652,novotempo,em 3a serie,276.0
653,nucleocriativo,ef 1o ano,114.0
654,nucleocriativo,ef 2o ano,173.0
655,nucleocriativo,ef 3o ano,140.0
656,nucleocriativo,ef 4o ano,237.0
657,nucleocriativo,ef 5o ano,239.0
658,nucleocriativo,ef 6o ano,250.0
659,nucleocriativo,ef 7o ano,224.0
660,nucleocriativo,ef 8o ano,210.0
661,nucleocriativo,ef 9o ano,198.0
662,nucleocriativo,em 1a serie,261.0
663,nucleocriativo,outro,25.0
664,objetivolorena,ef 4o ano,100.0
665,objetivolorena,ef 5o ano,90.0
666,objetivolorena,ef 6o ano,50.666666666666664
667,objetivolorena,ef 7o ano,37.875
668,objetivolorena,ef 8o ano,62.4
669,objetivolorena,ef 9o ano,47.77777777777778
670,objetivolorena,em 1a serie,80.5
671,objetivolorena,em 2a serie,136.0
672,objetivolorena,em 3a serie,509.0
673,objetivolorena,outro,16.0
674,oficinadoestudante,ef 1o ano,4.0
675,oficinadoestudante,ef 2o ano,14.0
676,oficinadoestudante,ef 3o ano,24.0
677,oficinadoestudante,ef 4o ano,54.0
678,oficinadoestudante,ef 5o ano,74.0
679,oficinadoestudante,outro,83.33333333333333
680,overabelcabral,ef 1o ano,23.333333333333332
681,overabelcabral,ef 2o ano,20.0
682,overabelcabral,ef 3o ano,37.5
683,overabelcabral,ef 4o ano,55.0
684,overabelcabral,ef 5o ano,56.25
685,overabelcabral,ef 6o ano,101.25
686,overabelcabral,ef 7o ano,135.66666666666666
687,overabelcabral,ef 8o ano,134.33333333333334
688,overabelcabral,ef 9o ano,230.25
689,overabelcabral,em 1a serie,813.0
690,overabelcabral,em 2a serie,820.0
691,overabelcabral,em 3a serie,485.0
692,overjoaopessoa,ef 9o ano,390.0
693,overjoaopessoa,em 1a serie,742.0
694,overjoaopessoa,em 2a serie,714.0
695,overjoaopessoa,em 3a serie,462.0
696,overjoaopessoa,outro,231.0
697,overlimaesilva,ef 1o ano,90.0
698,overlimaesilva,ef 2o ano,75.0
699,overlimaesilva,ef 3o ano,120.0
700,overlimaesilva,ef 4o ano,80.0
701,overlimaesilva,ef 5o ano,83.33333333333333
702,overmarciliofurtado,ef 6o ano,59.57142857142857
703,overmarciliofurtado,ef 7o ano,104.25
704,overmarciliofurtado,ef 8o ano,191.0
705,overmarciliofurtado,ef 9o ano,435.0
706,overmarciliofurtado,em 1a serie,528.3333333333334
707,overmarciliofurtado,em 2a serie,839.0
708,overmarciliofurtado,em 3a serie,485.0
709,overmossoro,ef 1o ano,40.0
710,overmossoro,ef 2o ano,120.0
711,overmossoro,ef 4o ano,120.0
712,overmossoro,ef 5o ano,110.0
713,overmossoro,ef 6o ano,245.0
714,overmossoro,ef 7o ano,295.0
715,overmossoro,ef 8o ano,300.0
716,overmossoro,ef 9o ano,340.0
717,overmossoro,em 1a serie,716.0
718,overmossoro,em 2a serie,180.0
719,overmossoro,em 3a serie,462.0
720,overmossoro,outro,261.0
721,overnascimentodecastro,outro,265.2857142857143
722,overpontanegra,ef 1o ano,90.0
723,overpontanegra,ef 2o ano,60.0
724,overpontanegra,ef 3o ano,28.5
725,overpontanegra,ef 4o ano,60.0
726,overpontanegra,ef 5o ano,19.444444444444443
727,overpontanegra,ef 6o ano,155.66666666666666
728,overpontanegra,ef 7o ano,167.6
729,overpontanegra,ef 8o ano,378.0
730,overpontanegra,ef 9o ano,126.0
731,overpontanegra,em 1a serie,798.0
732,overpontanegra,em 2a serie,826.0
733,overpontanegra,em 3a serie,465.0
734,overzonanorte,ef 1o ano,90.0
735,overzonanorte,ef 2o ano,120.0
736,overzonanorte,ef 3o ano,70.0
737,overzonanorte,ef 4o ano,170.0
738,overzonanorte,ef 5o ano,132.0
739,overzonanorte,ef 6o ano,366.0
740,overzonanorte,ef 7o ano,372.0
741,overzonanorte,ef 8o ano,375.0
742,overzonanorte,ef 9o ano,520.0
743,overzonanorte,em 1a serie,837.0
744,overzonanorte,em 2a serie,837.0
745,overzonanorte,em 3a serie,517.0
746,overzonanorte,outro,331.0
747,pauloviana,ef 9o ano,8.0
748,pearson,em 3a serie,6.0
749,physicsalcindocacela,ef 9o ano,319.0
750,physicsalcindocacela,em 1a serie,266.0
751,physicsalcindocacela,em 2a serie,268.0
752,physicsalcindocacela,em 3a serie,165.66666666666666
753,physicsalcindocacela,outro,231.0
754,physicsalmirantebarroso,ef 2o ano,50.0
755,physicsalmirantebarroso,ef 3o ano,90.0
756,physicsalmirantebarroso,ef 4o ano,80.0
757,physicsalmirantebarroso,ef 5o ano,80.0
758,physicsalmirantebarroso,ef 6o ano,214.0
759,physicsalmirantebarroso,ef 7o ano,215.0
760,physicsalmirantebarroso,ef 8o ano,170.0
761,physicsalmirantebarroso,ef 9o ano,320.0
762,physicsalmirantebarroso,em 1a serie,548.0
763,physicsalmirantebarroso,em 2a serie,548.0
764,physicsalmirantebarroso,em 3a serie,528.0
765,physicsaugustomontenegro,ef 2o ano,90.0
766,physicsaugustomontenegro,ef 3o ano,90.0
767,physicsaugustomontenegro,ef 4o ano,90.0
768,physicsaugustomontenegro,ef 5o ano,90.0
769,physicsaugustomontenegro,ef 6o ano,140.0
770,physicsaugustomontenegro,ef 7o ano,170.0
771,physicsaugustomontenegro,ef 8o ano,206.0
772,physicsaugustomontenegro,ef 9o ano,225.0
773,physicsaugustomontenegro,em 1a serie,548.0
774,physicsaugustomontenegro,em 2a serie,548.0
775,physicsaugustomontenegro,em 3a serie,528.0
776,physicsaugustomontenegro,outro,276.0
777,physicsbatistacampos,ef 2o ano,100.0
778,physicsbatistacampos,ef 3o ano,90.0
779,physicsbatistacampos,ef 4o ano,90.0
780,physicsbatistacampos,ef 5o ano,100.0
781,physicsbatistacampos,ef 6o ano,154.0
782,physicsbatistacampos,ef 7o ano,175.0
783,physicsbatistacampos,ef 8o ano,180.0
784,physicsbatistacampos,ef 9o ano,190.0
785,physicscidadenova,ef 2o ano,100.0
786,physicscidadenova,ef 3o ano,90.0
787,physicscidadenova,ef 4o ano,90.0
788,physicscidadenova,ef 5o ano,75.0
789,physicscidadenova,ef 6o ano,164.0
790,physicscidadenova,ef 7o ano,185.0
791,physicscidadenova,ef 8o ano,230.0
792,physicscidadenova,ef 9o ano,240.0
793,physicscidadenova,em 1a serie,386.5
794,physicscidadenova,em 2a serie,398.0
795,physicscidadenova,em 3a serie,527.0
796,physicscidadenova,outro,276.0
797,physicsconselheirofurtado,em 1a serie,238.4
798,physicsconselheirofurtado,em 2a serie,285.25
799,physicsconselheirofurtado,em 3a serie,547.75
800,physicsmacapa,ef 7o ano,97.5
801,physicsmacapa,ef 8o ano,186.0
802,physicsmacapa,ef 9o ano,221.0
803,physicsmacapa,em 1a serie,231.0
804,physicsmacapa,em 2a serie,553.0
805,physicsmacapa,em 3a serie,543.0
806,physicsmacapa,outro,185.5
807,physicsumarizal,ef 2o ano,53.333333333333336
808,physicsumarizal,ef 3o ano,60.0
809,physicsumarizal,ef 4o ano,90.0
810,physicsumarizal,ef 5o ano,90.0
811,physicsumarizal,ef 6o ano,167.0
812,physicsumarizal,ef 7o ano,285.0
813,physicsumarizal,ef 8o ano,180.0
814,physicsumarizal,ef 9o ano,320.0
815,physicsumarizal,em 1a serie,548.0
816,physicsumarizal,em 2a serie,548.0
817,physicsumarizal,em 3a serie,528.0
818,pioxi,ef 1o ano,15.0
819,pioxi,ef 2o ano,25.0
820,pioxi,ef 3o ano,24.444444444444443
821,pioxi,ef 4o ano,31.818181818181817
822,pioxi,ef 5o ano,34.0
823,pioxi,ef 6o ano,22.923076923076923
824,pioxi,ef 7o ano,24.46153846153846
825,pioxi,ef 8o ano,25.23076923076923
826,pioxi,ef 9o ano,21.9375
827,pioxi,em 1a serie,96.0
828,pioxi,em 2a serie,101.0
829,pioxi,em 3a serie,141.33333333333334
830,pioxi,outro,20.0
831,pioxiicolegio,ef 9o ano,67.33333333333333
832,pioxiicolegio,em 1a serie,118.0
833,pioxiicolegio,em 2a serie,102.0
834,pioxiicolegio,em 3a serie,77.0
835,plannetaosasco,ef 2o ano,26.0
836,plannetaosasco,ef 3o ano,26.0
837,plannetataboao,ef 1o ano,26.0
838,plannetataboao,ef 2o ano,26.0
839,plannetataboao,ef 3o ano,26.0
840,plannetataboao,ef 4o ano,26.0
841,plannetataboao,ef 5o ano,26.0
842,portinari,ef 2o ano,13.0
843,portinari,ef 3o ano,100.0
844,portinari,ef 4o ano,110.0
845,portinari,ef 5o ano,110.0
846,portinari,ef 6o ano,109.0
847,portinari,ef 7o ano,102.83333333333333
848,portinari,ef 8o ano,138.0
849,portinari,ef 9o ano,160.2
850,portinari,em 1a serie,66.42857142857143
851,portinari,em 2a serie,58.84375
852,portinari,em 3a serie,228.0
853,porto,ef 6o ano,68.0
854,porto,ef 7o ano,43.0
855,porto,ef 8o ano,66.33333333333333
856,porto,ef 9o ano,115.33333333333333
857,porto,em 1a serie,137.53333333333333
858,porto,em 2a serie,97.28571428571429
859,porto,em 3a serie,83.25
860,portoseguro,ef 4o ano,60.23809523809524
861,positivoon,em 3a serie,4.0
862,prevest,outro,20.0
863,prismapatrocinio,ef 2o ano,373.0
864,prismapatrocinio,ef 4o ano,160.0
865,prismapatrocinio,ef 5o ano,150.0
866,prismapatrocinio,ef 6o ano,310.0
867,prismapatrocinio,ef 7o ano,283.5
868,prismapatrocinio,ef 8o ano,283.3333333333333
869,prismapatrocinio,ef 9o ano,292.0
870,prismapatrocinio,em 1a serie,399.0
871,prismapatrocinio,em 2a serie,372.0
872,prismapatrocinio,em 3a serie,509.6666666666667
873,prismapatrocinio,outro,239.75
874,profederal,outro,197.33333333333334
875,progressaodc,em 1a serie,98.5
876,progressaodc,em 2a serie,218.0
877,progressaodc,em 3a serie,194.0
878,progressaoig,ef 6o ano,53.0
879,progressaoig,ef 7o ano,33.875
880,progressaoig,ef 9o ano,123.66666666666667
881,progressaoig,em 1a serie,99.0
882,progressaoig,em 2a serie,15.5
883,progressaoig,em 3a serie,193.6
884,progressaoig,outro,15.333333333333334
885,provaspoliedro,ef 1o ano,12.0
886,provaspoliedro,ef 6o ano,10.6
887,provaspoliedro,ef 7o ano,9.95
888,provaspoliedro,ef 8o ano,11.5
889,provaspoliedro,ef 9o ano,8.826086956521738
890,provaspoliedro,em 1a serie,74.55737704918033
891,provaspoliedro,em 2a serie,72.95652173913044
892,provaspoliedro,em 3a serie,136.54901960784315
893,provaspoliedro,outro,69.55882352941177
894,psantagema,ef 2o ano,48.0
895,psantagema,ef 6o ano,80.0
896,psantagema,ef 7o ano,62.333333333333336
897,psantagema,ef 8o ano,105.66666666666667
898,psantagema,ef 9o ano,110.5
899,psantagema,em 1a serie,72.33333333333333
900,psantagema,em 2a serie,115.0
901,psantagema,em 3a serie,58.0
902,psantagema,outro,13.0
903,qescola,ef 1o ano,4.0
904,qescola,ef 5o ano,5.0
905,qescola,ef 6o ano,23.0
906,qescola,ef 7o ano,95.0
907,qescola,em 1a serie,45.0
908,qescola,em 2a serie,15.0
909,qescola,em 3a serie,44.666666666666664
910,qescola,outro,2.5
911,rede,ef 9o ano,5.0
912,saberviver,ef 4o ano,20.0
913,saberviver,ef 5o ano,20.0
914,sagradafamilia,em 1a serie,201.0
915,sagradafamilia,em 2a serie,221.0
916,sagradafamilia,em 3a serie,253.5
917,santadoroteia,ef 9o ano,11.0
918,santadoroteia,em 1a serie,201.0
919,santadoroteia,em 2a serie,221.0
920,santadoroteia,em 3a serie,241.0
921,santamariacn,em 2a serie,170.5
922,santamariacn,em 3a serie,230.5
923,santoamerico,ef 6o ano,26.75
924,santoamerico,ef 7o ano,31.5
925,santoamerico,ef 8o ano,22.333333333333332
926,santoamerico,ef 9o ano,41.0
927,santoamerico,em 1a serie,1149.75
928,santoamerico,em 2a serie,901.2
929,santoamerico,em 3a serie,1245.5
930,santoamerico,outro,201.89361702127658
931,santoantonio,em 3a serie,10.0
932,sas,em 1a serie,466.0
933,sasadapt,ef 1o ano,8.0
934,seletivoeducallis,ef 5o ano,20.0
935,seletivoeducallis,em 1a serie,20.0
936,seletivoeducallis,em 2a serie,40.0
937,simbios,outro,276.0
938,simuladoita,outro,50.5
939,sobral,outro,7.0
940,souhabilis,em 3a serie,540.0
941,souhabilis,outro,775.0
942,spdacruz,ef 6o ano,137.71428571428572
943,spdacruz,ef 7o ano,102.16666666666667
944,spdacruz,ef 8o ano,122.66666666666667
945,spdacruz,ef 9o ano,140.28571428571428
946,spdacruz,em 1a serie,117.16666666666667
947,spdacruz,em 2a serie,129.16666666666666
948,spdacruz,em 3a serie,83.25
949,stellamarisaguaverde,ef 2o ano,76.66666666666667
950,stellamarisaguaverde,ef 3o ano,59.333333333333336
951,stellamarisaguaverde,ef 4o ano,80.0
952,stellamarisaguaverde,ef 5o ano,113.0
953,stellamarisaguaverde,ef 6o ano,144.0
954,stellamarisaguaverde,ef 7o ano,173.0
955,stellamarisjuveve,ef 2o ano,53.333333333333336
956,stellamarisjuveve,ef 3o ano,112.5
957,stellamarisjuveve,ef 4o ano,136.66666666666666
958,stellamarisjuveve,ef 5o ano,140.66666666666666
959,stellamarisjuveve,ef 6o ano,120.0
960,stellamarisjuveve,ef 7o ano,141.0
961,stellamarisjuveve,ef 8o ano,86.0
962,stellamarisjuveve,ef 9o ano,199.0
963,stellamarisjuveve,em 1a serie,579.0
964,stellamarisjuveve,em 2a serie,556.0
965,stellamarisjuveve,em 3a serie,600.0
966,stellamarisjuveve,outro,600.0
967,stellamarisxaxim,ef 2o ano,144.0
968,stellamarisxaxim,ef 3o ano,145.0
969,stellamarisxaxim,ef 4o ano,181.0
970,stellamarisxaxim,ef 5o ano,160.0
971,stellamarisxaxim,ef 6o ano,176.0
972,stellamarisxaxim,ef 7o ano,180.0
973,stellamarisxaxim,ef 8o ano,182.0
974,stellamarisxaxim,ef 9o ano,192.0
975,stellamarisxaxim,em 1a serie,539.0
976,stellamarisxaxim,em 2a serie,562.0
977,stellamarisxaxim,em 3a serie,576.0
978,studos,em 1a serie,2.0
979,testevictorhugo,ef 7o ano,9.0
980,testevictorhugo,em 1a serie,90.0
981,universitariolondrina,ef 3o ano,10.0
982,universitariolondrina,ef 4o ano,40.0
983,universitariolondrina,ef 5o ano,70.0
984,universitariolondrina,ef 6o ano,402.3333333333333
985,universitariolondrina,ef 7o ano,377.6666666666667
986,universitariolondrina,ef 8o ano,420.75
987,universitariolondrina,ef 9o ano,574.0
988,universitariolondrina,em 1a serie,1353.0
989,universitariolondrina,em 2a serie,1480.0
990,universitariolondrina,em 3a serie,780.5
991,universitariolondrina,outro,222.0
992,universobarcarena,ef 1o ano,139.0
993,universobarcarena,ef 2o ano,202.0
994,universobarcarena,ef 3o ano,155.5
995,universobarcarena,ef 4o ano,230.0
996,universobarcarena,ef 5o ano,370.0
997,universobarcarena,ef 6o ano,237.0
998,universobarcarena,ef 7o ano,229.33333333333334
999,universobarcarena,ef 8o ano,203.5
1000,universobarcarena,ef 9o ano,262.0
1001,universobarcarena,em 1a serie,397.5
1002,universobarcarena,em 2a serie,463.3333333333333
1003,universobarcarena,em 3a serie,426.0
1004,villalobos,ef 4o ano,25.0
1005,villalobos,ef 5o ano,28.333333333333332
1006,villalobos,ef 6o ano,75.5
1007,villalobos,ef 7o ano,86.0
1008,villalobos,ef 8o ano,98.5
1009,villalobos,ef 9o ano,77.33333333333333
1010,villalobos,em 1a serie,49.0
1011,villalobos,em 2a serie,184.5
1012,villalobos,em 3a serie,120.0
1013,vitae,ef 1o ano,20.0
1014,vitae,ef 2o ano,75.0
1015,vitae,ef 3o ano,20.0
1016,vitae,ef 4o ano,10.0
1017,vitae,ef 5o ano,10.0
1018,wilsondeandradebarreto,em 1a serie,8.0
