,namespace,grade,numero_ex
149,cem,ef 8o ano,86.0
150,cem,ef 9o ano,111.0
151,cem,em 1a serie,136.0
152,cem,em 2a serie,125.0
153,cem,em 3a serie,111.0
154,ceprimeiromundo,ef 1o ano,20.0
155,ceprimeiromundo,ef 2o ano,1.0
156,ceprimeiromundo,ef 3o ano,26.666666666666668
157,ceprimeiromundo,ef 4o ano,35.333333333333336
158,ceprimeiromundo,ef 5o ano,24.333333333333332
159,ceprimeiromundo,ef 6o ano,103.66666666666667
160,ceprimeiromundo,ef 7o ano,120.0
161,ceprimeiromundo,ef 8o ano,121.71428571428571
162,ceprimeiromundo,ef 9o ano,107.57142857142857
163,ceprimeiromundo,em 1a serie,249.6
164,ceprimeiromundo,em 2a serie,243.66666666666666
165,ceprimeiromundo,em 3a serie,297.0
166,ceprimeiromundo,outro,1679.0
167,ciadosaber,ef 2o ano,68.0
168,ciadosaber,ef 3o ano,68.0
169,ciadosaber,ef 4o ano,55.0
170,ciadosaber,ef 5o ano,77.5
171,ciadosaber,ef 6o ano,70.4
172,ciadosaber,ef 7o ano,66.0
173,ciadosaber,ef 8o ano,40.0
174,ciadosaber,ef 9o ano,84.5
175,cmdpii,em 2a serie,663.0
176,cnslpb,ef 6o ano,67.33333333333333
177,cnslpb,ef 7o ano,63.0
178,cnslpb,ef 8o ano,83.33333333333333
179,cnslpb,ef 9o ano,96.0
180,cnslpb,em 1a serie,131.66666666666666
181,cnslpb,em 2a serie,149.0
182,cnslpb,em 3a serie,152.75
183,colegioalphaunis,ef 6o ano,123.0
184,colegioalphaunis,ef 7o ano,124.0
185,colegioalphaunis,ef 8o ano,122.0
186,colegioalphaunis,ef 9o ano,204.0
187,colegioalphaunis,em 1a serie,280.0
188,colegioalphaunis,em 2a serie,282.0
189,colegioalphaunis,em 3a serie,318.0
190,colegioanchietai,em 1a serie,201.0
191,colegioanchietai,em 2a serie,221.0
192,colegioanchietai,em 3a serie,241.0
193,colegioanchietaii,em 1a serie,134.33333333333334
194,colegioanchietaii,em 2a serie,221.0
195,colegioanchietaii,em 3a serie,241.0
196,colegioarena,em 1a serie,220.0
197,colegioarena,em 2a serie,240.0
198,colegioarena,em 3a serie,420.0
199,colegioarena,outro,230.0
200,colegiobatistaindependente,ef 5o ano,74.0
201,colegiobatistaindependente,ef 6o ano,396.0
202,colegiobatistaindependente,ef 7o ano,357.0
203,colegiobatistaindependente,ef 8o ano,199.66666666666666
204,colegiobatistaindependente,ef 9o ano,277.5
205,colegiobatistaindependente,em 1a serie,165.5
206,colegiobatistaindependente,em 2a serie,238.0
207,colegiobatistaindependente,em 3a serie,141.0
208,colegiobatistaindependente,outro,25.0
209,colegiobetelbrasileirosp,ef 1o ano,9.5
210,colegiobetelbrasileirosp,ef 6o ano,9.25
211,colegiobetelbrasileirosp,ef 7o ano,9.5625
212,colegiobetelbrasileirosp,ef 8o ano,8.705882352941176
213,colegiobetelbrasileirosp,ef 9o ano,8.894736842105264
214,colegiobetelbrasileirosp,em 1a serie,7.5
215,colegiobetelbrasileirosp,em 2a serie,7.733333333333333
216,colegiobetelbrasileirosp,em 3a serie,9.777777777777779
217,colegiobianguloiv,em 1a serie,121.0
218,colegiobianguloiv,em 2a serie,221.0
219,colegiobianguloiv,em 3a serie,241.0
220,colegiobilac,ef 1o ano,120.0
221,colegiobilac,ef 2o ano,120.0
222,colegiobilac,ef 3o ano,142.0
223,colegiobilac,ef 4o ano,142.0
224,colegiobilac,ef 5o ano,172.0
225,colegiobilac,ef 6o ano,239.0
226,colegiobilac,ef 7o ano,251.0
227,colegiobilac,ef 8o ano,271.0
228,colegiobilac,ef 9o ano,283.0
229,colegiobrasilia,ef 2o ano,177.5
230,colegiobrasilia,ef 3o ano,182.5
231,colegiobrasilia,ef 4o ano,273.3333333333333
232,colegiobrasilia,ef 5o ano,284.0
233,colegiobrasilia,ef 6o ano,141.25
234,colegiobrasilia,ef 7o ano,155.0
235,colegiobrasilia,ef 8o ano,141.25
236,colegiobrasilia,ef 9o ano,177.16666666666666
237,colegiobrasilia,em 1a serie,186.0
238,colegiobrasilia,em 2a serie,166.5
239,colegiobrasilia,em 3a serie,480.0
240,colegiobrasilia,outro,20.0
241,colegiocb,ef 3o ano,80.0
242,colegiocb,ef 4o ano,80.0
243,colegiocb,ef 5o ano,30.0
244,colegiocb,ef 6o ano,52.5
245,colegiocb,ef 7o ano,47.142857142857146
246,colegiocb,ef 8o ano,52.0
247,colegiocb,ef 9o ano,66.33333333333333
248,colegiocb,em 1a serie,42.2
249,colegiocb,em 2a serie,39.0
250,colegiocb,em 3a serie,85.5
251,colegiodasamericas,ef 3o ano,10.0
252,colegiodasamericas,ef 4o ano,8.0
253,colegiodasamericas,ef 6o ano,16.22222222222222
254,colegiodasamericas,ef 7o ano,16.22222222222222
255,colegiodasamericas,ef 8o ano,16.125
256,colegiodasamericas,ef 9o ano,15.8
257,colegiodasamericas,em 1a serie,18.642857142857142
258,colegiodasamericas,em 2a serie,17.846153846153847
259,colegiodasamericas,em 3a serie,14.61111111111111
260,colegiodasamericas,outro,10.666666666666666
261,colegioeag,ef 1o ano,25.0
262,colegioeag,ef 3o ano,5.0
263,colegioeag,ef 4o ano,5.0
264,colegioeag,ef 5o ano,8.0
265,colegioecursodesafio,ef 1o ano,59.0
266,colegioecursodesafio,ef 2o ano,49.0
267,colegioecursodesafio,ef 3o ano,69.0
268,colegioecursodesafio,ef 4o ano,60.0
269,colegioecursodesafio,ef 5o ano,70.0
270,colegioecursodesafio,ef 6o ano,153.33333333333334
271,colegioecursodesafio,ef 7o ano,126.66666666666667
272,colegioecursodesafio,ef 8o ano,200.0
273,colegioecursodesafio,ef 9o ano,189.5
274,colegioecursodesafio,em 1a serie,260.0
275,colegioecursodesafio,em 2a serie,130.0
276,colegioecursodesafio,em 3a serie,120.0
277,colegioecursoprogressao,ef 1o ano,10.0
278,colegioecursoprogressao,ef 6o ano,66.2
279,colegioecursoprogressao,ef 7o ano,48.857142857142854
280,colegioecursoprogressao,ef 8o ano,62.0
281,colegioecursoprogressao,ef 9o ano,63.888888888888886
282,colegioecursoprogressao,em 1a serie,65.0
283,colegioecursoprogressao,em 2a serie,94.625
284,colegioecursoprogressao,em 3a serie,82.92307692307692
285,colegioeducallis,ef 2o ano,65.0
286,colegioeducallis,ef 3o ano,68.0
287,colegioeducallis,ef 4o ano,71.5
288,colegioeducallis,ef 5o ano,76.0
289,colegioeducallis,ef 6o ano,37.125
290,colegioeducallis,ef 7o ano,41.42857142857143
291,colegioeducallis,ef 8o ano,46.13333333333333
292,colegioeducallis,ef 9o ano,50.083333333333336
293,colegioeducallis,em 1a serie,36.31578947368421
294,colegioeducallis,em 2a serie,39.27272727272727
295,colegioeducallis,em 3a serie,192.85714285714286
296,colegioensitec,ef 2o ano,60.0
297,colegioensitec,ef 3o ano,58.0
298,colegioensitec,ef 4o ano,60.0
299,colegioensitec,ef 5o ano,58.0
300,colegioensitec,ef 6o ano,84.0
301,colegioensitec,ef 7o ano,83.0
302,colegioensitec,ef 8o ano,49.0
303,colegioensitec,ef 9o ano,94.0
304,colegioensitec,em 1a serie,74.5
305,colegioensitec,em 2a serie,78.0
306,colegioensitec,em 3a serie,190.0
307,colegioflamingo,em 1a serie,219.0
308,colegioflamingo,em 2a serie,266.5
309,colegioflamingo,em 3a serie,282.5
310,colegiofuturageracao,ef 2o ano,10.0
311,colegiofuturageracao,ef 3o ano,60.0
312,colegiofuturageracao,ef 4o ano,60.0
313,colegiofuturageracao,ef 5o ano,60.0
314,colegiofuturageracao,ef 6o ano,174.0
315,colegiofuturageracao,ef 7o ano,162.0
316,colegiofuturageracao,ef 8o ano,200.0
317,colegiofuturageracao,ef 9o ano,174.0
318,colegiofuturageracao,em 1a serie,10.0
319,colegioglobal,ef 2o ano,59.5
320,colegioglobal,ef 3o ano,37.5
321,colegioglobal,ef 4o ano,77.0
322,colegioglobal,ef 5o ano,70.0
323,colegioglobal,ef 6o ano,130.0
324,colegioglobal,ef 7o ano,125.0
325,colegioglobal,ef 8o ano,126.0
