,namespace,grade,Porcentagem de engajamento em AAs
185,ciadosaber,ef 2o ano,0.9535809018567639
465,colegiouirapuru,ef 9o ano,0.9534175010883762
471,colegiouniverso,ef 7o ano,0.9527127924340468
917,pioxi,em 1a serie,0.9522569444444444
979,progressaoig,ef 7o ano,0.9517362217266645
524,crescercampinas,ef 7o ano,0.9509460406447092
523,crescercampinas,ef 6o ano,0.950945815966656
319,colegioeducallis,ef 7o ano,0.9497155159157312
385,colegiointegral,em 1a serie,0.9492414874687095
512,contemporaneolagoanova,em 3a serie,0.9475802066340402
152,ceespacolivre,ef 6o ano,0.9472230745627493
997,psantagema,ef 7o ano,0.945219638242894
274,colegiocb,em 3a serie,0.944788580662537
461,colegiouirapuru,ef 5o ano,0.9444968059482668
632,integra,ef 4o ano,0.9444444444444444
910,pioxi,ef 3o ano,0.9442970822281167
643,integradaeducativa,em 2a serie,0.9432788051209103
976,progressaodc,em 3a serie,0.9430634634078601
255,colegiobrasilia,ef 5o ano,0.9430463576158941
236,colegiobetelbrasileirosp,em 1a serie,0.9430379746835443
164,cem,ef 7o ano,0.9427917620137299
919,pioxi,em 3a serie,0.9427844882390337
254,colegiobrasilia,ef 4o ano,0.9426508071367884
913,pioxi,ef 6o ano,0.9420532574108189
203,colegioalphaunis,ef 6o ano,0.9415204678362573
317,colegioeducallis,ef 5o ano,0.9407894736842105
940,portinari,ef 6o ano,0.9402964008468596
256,colegiobrasilia,ef 6o ano,0.9402745327102804
234,colegiobetelbrasileirosp,ef 8o ano,0.9402035623409669
204,colegioalphaunis,ef 7o ano,0.9374588545095458
252,colegiobrasilia,ef 2o ano,0.936969696969697
981,progressaoig,em 1a serie,0.9364879735890583
253,colegiobrasilia,ef 3o ano,0.9357429718875502
924,pioxiicolegio,em 3a serie,0.9357225053427585
166,cem,ef 9o ano,0.9345661450924608
683,maplebearslz,ef 6o ano,0.934167215273206
462,colegiouirapuru,ef 6o ano,0.9338927027714213
918,pioxi,em 2a serie,0.9333822271116
269,colegiocb,ef 7o ano,0.9332403965303594
335,colegioensitec,em 3a serie,0.9323076923076923
568,educandarioterciocorreia,ef 5o ano,0.9319444444444445
159,cem,ef 2o ano,0.9316239316239316
761,overabelcabral,ef 4o ano,0.93125
459,colegiouirapuru,ef 3o ano,0.930576070901034
1024,santamariacn,em 2a serie,0.9298229768786127
235,colegiobetelbrasileirosp,ef 9o ano,0.9297105729474306
922,pioxiicolegio,em 1a serie,0.9288135593220339
265,colegiocb,ef 3o ano,0.9282608695652174
279,colegiodasamericas,ef 6o ano,0.9261300992282249
167,cem,em 1a serie,0.9230769230769231
46,acessohauer,ef 3o ano,0.9230769230769231
280,colegiodasamericas,ef 7o ano,0.922300706357215
25,acessocampolargo,em 3a serie,0.9219961240310077
55,acessosantafelicidade,ef 2o ano,0.921875
355,colegioglobal,ef 9o ano,0.920332936979786
357,colegioglobal,em 2a serie,0.9193245778611632
657,isem,ef 5o ano,0.9188311688311688
980,progressaoig,ef 9o ano,0.9186827956989247
238,colegiobetelbrasileirosp,em 3a serie,0.9180651530108588
552,eacorcovado,ef 9o ano,0.9178082191780822
942,portinari,ef 8o ano,0.9176645174495958
119,aprovest,outro,0.9176470588235294
273,colegiocb,em 2a serie,0.917530133220554
10,acessoalmirantetamandare,em 3a serie,0.9171511627906976
404,colegiomagnum,em 3a serie,0.9143794024775321
943,portinari,ef 9o ano,0.9143758049473731
759,overabelcabral,ef 2o ano,0.9142857142857143
526,crescercampinas,ef 9o ano,0.9138984852511294
410,colegiomundial,em 2a serie,0.9130434782608695
780,overlimaesilva,ef 4o ano,0.9125964010282777
463,colegiouirapuru,ef 7o ano,0.9110671936758893
154,ceespacolivre,ef 8o ano,0.9106910039113429
309,colegioecursoprogressao,ef 9o ano,0.9103128621089224
915,pioxi,ef 8o ano,0.9102685999524602
271,colegiocb,ef 9o ano,0.9093374660984115
506,contemporaneolagoanova,ef 6o ano,0.9090909090909091
1025,santamariacn,em 3a serie,0.908198218771409
996,psantagema,ef 6o ano,0.9067226890756303
282,colegiodasamericas,ef 9o ano,0.9063794531897266
160,cem,ef 3o ano,0.90625
684,maplebearslz,ef 7o ano,0.9060509554140127
233,colegiobetelbrasileirosp,ef 7o ano,0.9060451565914057
507,contemporaneolagoanova,ef 7o ano,0.9054054054054054
352,colegioglobal,ef 6o ano,0.9049230769230769
909,pioxi,ef 2o ano,0.904639175257732
579,einsteinassis,em 1a serie,0.9032258064516129
911,pioxi,ef 4o ano,0.9023383768913342
311,colegioecursoprogressao,em 2a serie,0.9023077932547197
351,colegioglobal,ef 5o ano,0.9012168933428776
136,cbpdigital,ef 4o ano,0.9001536098310292
416,colegionovageracao,ef 4o ano,0.9
415,colegionovageracao,ef 3o ano,0.9
571,educandarioterciocorreia,ef 8o ano,0.9
312,colegioecursoprogressao,em 3a serie,0.8977484898407468
464,colegiouirapuru,ef 8o ano,0.8962075848303394
232,colegiobetelbrasileirosp,ef 6o ano,0.8960629921259843
53,acessopinhais,em 3a serie,0.8956823195713836
758,overabelcabral,ef 1o ano,0.8952380952380953
284,colegiodasamericas,em 2a serie,0.8949115044247787
285,colegiodasamericas,em 3a serie,0.8947690425206485
941,portinari,ef 7o ano,0.894429910616961
310,colegioecursoprogressao,em 1a serie,0.8930152185775784
224,colegiobatistaindependente,ef 7o ano,0.8923124805477747
263,colegiobrasilia,outro,0.8918918918918919
807,overpontanegra,ef 3o ano,0.8918230989500477
1028,santoamerico,ef 6o ano,0.889827100924809
725,novotempo,em 3a serie,0.8892339544513458
999,psantagema,ef 9o ano,0.8889297535858771
920,pioxi,outro,0.8888888888888888
407,colegiomundial,ef 6o ano,0.8888888888888888
508,contemporaneolagoanova,ef 8o ano,0.8865478119935171
1029,santoamerico,ef 7o ano,0.8855765015344147
65,acessosantafelicidade,em 3a serie,0.885208306790674
1095,universitariolondrina,ef 3o ano,0.8846153846153846
349,colegioglobal,ef 3o ano,0.8821292775665399
281,colegiodasamericas,ef 8o ano,0.8818350324374421
348,colegioglobal,ef 2o ano,0.8813643104300544
655,isem,ef 3o ano,0.8781818181818182
1000,psantagema,em 1a serie,0.8780709736123748
505,contemporaneocidadeverde,em 3a serie,0.877604993123876
525,crescercampinas,ef 8o ano,0.8775193798449612
227,colegiobatistaindependente,em 1a serie,0.8743455497382199
577,einsteinassis,ef 8o ano,0.8734939759036144
975,progressaodc,em 2a serie,0.872117962466488
137,cbpdigital,ef 5o ano,0.8716814159292036
78,acessosjpinhais,em 3a serie,0.8715354330708661
228,colegiobatistaindependente,em 2a serie,0.8713235294117647
682,maplebearslz,ef 5o ano,0.871056584877316
956,portoseguro,ef 4o ano,0.8709761994931103
448,colegiosete,ef 2o ano,0.8700564971751412
760,overabelcabral,ef 3o ano,0.8677685950413223
1077,stellamarisjuveve,em 3a serie,0.8654814814814815
769,overabelcabral,em 3a serie,0.8653729533050334
1015,saberviver,ef 5o ano,0.8645833333333334
151,ceespacolivre,ef 5o ano,0.8641975308641975
