,namespace,grade,Número de AAs por turma
641,master,outro,2.611111111111111
642,minhalista,outro,5.0
643,moaciralves,ef 8o ano,3.0
644,moaciralves,ef 9o ano,2.0
645,montessori,em 1a serie,3.0
646,montessori,em 2a serie,3.0
647,montessori,em 3a serie,3.0
648,navegasas,ef 5o ano,1.0
649,novotempo,ef 9o ano,1.0
650,novotempo,em 1a serie,3.0
651,novotempo,em 2a serie,3.0
652,novotempo,em 3a serie,3.0
653,nucleocriativo,ef 1o ano,14.0
654,nucleocriativo,ef 2o ano,17.0
655,nucleocriativo,ef 3o ano,15.0
656,nucleocriativo,ef 4o ano,22.0
657,nucleocriativo,ef 5o ano,22.0
658,nucleocriativo,ef 6o ano,24.0
659,nucleocriativo,ef 7o ano,22.0
660,nucleocriativo,ef 8o ano,22.0
661,nucleocriativo,ef 9o ano,20.0
662,nucleocriativo,em 1a serie,27.0
663,nucleocriativo,outro,1.0
664,objetivolorena,ef 4o ano,10.0
665,objetivolorena,ef 5o ano,9.0
666,objetivolorena,ef 6o ano,5.666666666666667
667,objetivolorena,ef 7o ano,4.5
668,objetivolorena,ef 8o ano,5.0
669,objetivolorena,ef 9o ano,3.5555555555555554
670,objetivolorena,em 1a serie,3.75
671,objetivolorena,em 2a serie,9.0
672,objetivolorena,em 3a serie,17.5
673,objetivolorena,outro,3.0
674,oficinadoestudante,ef 1o ano,0.5
675,oficinadoestudante,ef 2o ano,1.0
676,oficinadoestudante,ef 3o ano,1.5
677,oficinadoestudante,ef 4o ano,2.0
678,oficinadoestudante,ef 5o ano,2.6666666666666665
679,oficinadoestudante,outro,3.3333333333333335
680,overabelcabral,ef 1o ano,2.0
681,overabelcabral,ef 2o ano,2.0
682,overabelcabral,ef 3o ano,3.5
683,overabelcabral,ef 4o ano,5.25
684,overabelcabral,ef 5o ano,5.0
685,overabelcabral,ef 6o ano,9.0
686,overabelcabral,ef 7o ano,8.666666666666666
687,overabelcabral,ef 8o ano,11.333333333333334
688,overabelcabral,ef 9o ano,12.5
689,overabelcabral,em 1a serie,30.0
690,overabelcabral,em 2a serie,32.0
691,overabelcabral,em 3a serie,7.0
692,overjoaopessoa,ef 9o ano,32.0
693,overjoaopessoa,em 1a serie,51.0
694,overjoaopessoa,em 2a serie,47.0
695,overjoaopessoa,em 3a serie,5.0
696,overjoaopessoa,outro,0.75
697,overlimaesilva,ef 1o ano,9.0
698,overlimaesilva,ef 2o ano,4.5
699,overlimaesilva,ef 3o ano,12.0
700,overlimaesilva,ef 4o ano,7.75
701,overlimaesilva,ef 5o ano,6.0
702,overmarciliofurtado,ef 6o ano,5.428571428571429
703,overmarciliofurtado,ef 7o ano,9.5
704,overmarciliofurtado,ef 8o ano,16.5
705,overmarciliofurtado,ef 9o ano,37.0
706,overmarciliofurtado,em 1a serie,21.333333333333332
707,overmarciliofurtado,em 2a serie,64.0
708,overmarciliofurtado,em 3a serie,7.0
709,overmossoro,ef 1o ano,4.0
710,overmossoro,ef 2o ano,12.0
711,overmossoro,ef 4o ano,12.0
712,overmossoro,ef 5o ano,8.0
713,overmossoro,ef 6o ano,20.0
714,overmossoro,ef 7o ano,25.0
715,overmossoro,ef 8o ano,24.0
716,overmossoro,ef 9o ano,26.0
717,overmossoro,em 1a serie,42.0
718,overmossoro,em 2a serie,2.0
719,overmossoro,em 3a serie,5.0
720,overmossoro,outro,0.5
721,overnascimentodecastro,outro,0.8571428571428571
722,overpontanegra,ef 1o ano,4.5
723,overpontanegra,ef 2o ano,6.0
724,overpontanegra,ef 3o ano,2.8333333333333335
725,overpontanegra,ef 4o ano,3.0
726,overpontanegra,ef 5o ano,1.8888888888888888
727,overpontanegra,ef 6o ano,13.666666666666666
728,overpontanegra,ef 7o ano,14.4
729,overpontanegra,ef 8o ano,32.0
730,overpontanegra,ef 9o ano,11.25
731,overpontanegra,em 1a serie,57.0
732,overpontanegra,em 2a serie,67.0
733,overpontanegra,em 3a serie,8.0
734,overzonanorte,ef 1o ano,9.0
735,overzonanorte,ef 2o ano,12.0
736,overzonanorte,ef 3o ano,7.0
737,overzonanorte,ef 4o ano,17.0
738,overzonanorte,ef 5o ano,13.5
739,overzonanorte,ef 6o ano,32.0
740,overzonanorte,ef 7o ano,33.0
741,overzonanorte,ef 8o ano,30.0
742,overzonanorte,ef 9o ano,40.0
743,overzonanorte,em 1a serie,60.0
744,overzonanorte,em 2a serie,60.0
745,overzonanorte,em 3a serie,8.0
746,overzonanorte,outro,2.0
747,pauloviana,ef 9o ano,0.5
748,pearson,em 3a serie,1.0
749,physicsalcindocacela,ef 9o ano,15.0
750,physicsalcindocacela,em 1a serie,16.0
751,physicsalcindocacela,em 2a serie,15.0
752,physicsalcindocacela,em 3a serie,4.0
753,physicsalcindocacela,outro,1.0
754,physicsalmirantebarroso,ef 2o ano,1.5
755,physicsalmirantebarroso,ef 3o ano,3.5
756,physicsalmirantebarroso,ef 4o ano,3.0
757,physicsalmirantebarroso,ef 5o ano,6.0
758,physicsalmirantebarroso,ef 6o ano,8.0
759,physicsalmirantebarroso,ef 7o ano,8.0
760,physicsalmirantebarroso,ef 8o ano,6.0
761,physicsalmirantebarroso,ef 9o ano,8.0
762,physicsalmirantebarroso,em 1a serie,20.0
763,physicsalmirantebarroso,em 2a serie,20.0
764,physicsalmirantebarroso,em 3a serie,9.5
765,physicsaugustomontenegro,ef 2o ano,7.0
766,physicsaugustomontenegro,ef 3o ano,7.0
767,physicsaugustomontenegro,ef 4o ano,7.0
768,physicsaugustomontenegro,ef 5o ano,7.0
769,physicsaugustomontenegro,ef 6o ano,6.0
770,physicsaugustomontenegro,ef 7o ano,6.0
771,physicsaugustomontenegro,ef 8o ano,7.0
772,physicsaugustomontenegro,ef 9o ano,6.0
773,physicsaugustomontenegro,em 1a serie,20.0
774,physicsaugustomontenegro,em 2a serie,20.0
775,physicsaugustomontenegro,em 3a serie,19.0
776,physicsaugustomontenegro,outro,3.0
777,physicsbatistacampos,ef 2o ano,8.0
778,physicsbatistacampos,ef 3o ano,7.0
779,physicsbatistacampos,ef 4o ano,7.0
780,physicsbatistacampos,ef 5o ano,8.0
781,physicsbatistacampos,ef 6o ano,2.5
782,physicsbatistacampos,ef 7o ano,2.5
783,physicsbatistacampos,ef 8o ano,5.0
784,physicsbatistacampos,ef 9o ano,2.5
785,physicscidadenova,ef 2o ano,8.0
786,physicscidadenova,ef 3o ano,7.0
787,physicscidadenova,ef 4o ano,7.0
788,physicscidadenova,ef 5o ano,6.5
789,physicscidadenova,ef 6o ano,5.0
790,physicscidadenova,ef 7o ano,2.5
791,physicscidadenova,ef 8o ano,6.0
792,physicscidadenova,ef 9o ano,6.0
793,physicscidadenova,em 1a serie,4.5
794,physicscidadenova,em 2a serie,6.333333333333333
795,physicscidadenova,em 3a serie,9.0
796,physicscidadenova,outro,3.0
797,physicsconselheirofurtado,em 1a serie,4.8
798,physicsconselheirofurtado,em 2a serie,7.0
799,physicsconselheirofurtado,em 3a serie,5.0
800,physicsmacapa,ef 7o ano,4.0
801,physicsmacapa,ef 8o ano,7.0
802,physicsmacapa,ef 9o ano,8.0
803,physicsmacapa,em 1a serie,6.0
804,physicsmacapa,em 2a serie,19.5
805,physicsmacapa,em 3a serie,21.0
806,physicsmacapa,outro,2.0
807,physicsumarizal,ef 2o ano,3.0
808,physicsumarizal,ef 3o ano,4.0
809,physicsumarizal,ef 4o ano,7.0
810,physicsumarizal,ef 5o ano,7.0
811,physicsumarizal,ef 6o ano,5.5
812,physicsumarizal,ef 7o ano,9.0
813,physicsumarizal,ef 8o ano,5.5
814,physicsumarizal,ef 9o ano,8.0
815,physicsumarizal,em 1a serie,20.0
816,physicsumarizal,em 2a serie,20.0
817,physicsumarizal,em 3a serie,19.0
818,pioxi,ef 1o ano,1.125
819,pioxi,ef 2o ano,1.25
820,pioxi,ef 3o ano,1.3333333333333333
821,pioxi,ef 4o ano,1.2727272727272727
822,pioxi,ef 5o ano,1.3
823,pioxi,ef 6o ano,2.076923076923077
824,pioxi,ef 7o ano,1.4615384615384615
825,pioxi,ef 8o ano,2.230769230769231
826,pioxi,ef 9o ano,1.625
827,pioxi,em 1a serie,5.5
828,pioxi,em 2a serie,5.5
829,pioxi,em 3a serie,1.6666666666666667
830,pioxi,outro,1.0
831,pioxiicolegio,ef 9o ano,3.3333333333333335
832,pioxiicolegio,em 1a serie,8.5
833,pioxiicolegio,em 2a serie,4.0
834,pioxiicolegio,em 3a serie,5.0
835,plannetaosasco,ef 2o ano,0.5
836,plannetaosasco,ef 3o ano,0.5
837,plannetataboao,ef 1o ano,0.4423076923076923
838,plannetataboao,ef 2o ano,0.4528301886792453
839,plannetataboao,ef 3o ano,0.4528301886792453
840,plannetataboao,ef 4o ano,0.46153846153846156
841,plannetataboao,ef 5o ano,0.46601941747572817
842,portinari,ef 2o ano,1.0
843,portinari,ef 3o ano,9.0
844,portinari,ef 4o ano,10.0
845,portinari,ef 5o ano,10.0
846,portinari,ef 6o ano,2.75
847,portinari,ef 7o ano,3.3333333333333335
848,portinari,ef 8o ano,3.4
849,portinari,ef 9o ano,4.2
850,portinari,em 1a serie,1.2142857142857142
851,portinari,em 2a serie,0.96875
852,portinari,em 3a serie,1.8333333333333333
853,porto,ef 6o ano,11.0
854,porto,ef 7o ano,6.333333333333333
855,porto,ef 8o ano,9.666666666666666
856,porto,ef 9o ano,15.333333333333334
857,porto,em 1a serie,4.2
858,porto,em 2a serie,4.142857142857143
859,porto,em 3a serie,4.0
860,portoseguro,ef 4o ano,0.6190476190476191
861,positivoon,em 3a serie,1.0
862,prevest,outro,1.0
863,prismapatrocinio,ef 2o ano,42.0
864,prismapatrocinio,ef 4o ano,14.0
865,prismapatrocinio,ef 5o ano,6.5
866,prismapatrocinio,ef 6o ano,26.5
867,prismapatrocinio,ef 7o ano,24.5
868,prismapatrocinio,ef 8o ano,17.0
869,prismapatrocinio,ef 9o ano,15.0
870,prismapatrocinio,em 1a serie,22.0
871,prismapatrocinio,em 2a serie,41.0
872,prismapatrocinio,em 3a serie,19.666666666666668
873,prismapatrocinio,outro,9.25
874,profederal,outro,11.11111111111111
875,progressaodc,em 1a serie,12.0
876,progressaodc,em 2a serie,26.0
877,progressaodc,em 3a serie,20.0
878,progressaoig,ef 6o ano,6.0
879,progressaoig,ef 7o ano,4.125
880,progressaoig,ef 9o ano,16.0
881,progressaoig,em 1a serie,12.5
882,progressaoig,em 2a serie,1.0
883,progressaoig,em 3a serie,10.0
884,progressaoig,outro,1.6666666666666667
885,provaspoliedro,ef 1o ano,1.0
886,provaspoliedro,ef 6o ano,1.3333333333333333
887,provaspoliedro,ef 7o ano,1.2
888,provaspoliedro,ef 8o ano,1.2941176470588236
889,provaspoliedro,ef 9o ano,1.173913043478261
890,provaspoliedro,em 1a serie,2.3442622950819674
891,provaspoliedro,em 2a serie,2.3043478260869565
892,provaspoliedro,em 3a serie,2.0588235294117645
893,provaspoliedro,outro,2.1470588235294117
894,psantagema,ef 2o ano,3.0
895,psantagema,ef 6o ano,4.0
896,psantagema,ef 7o ano,3.0
897,psantagema,ef 8o ano,6.666666666666667
898,psantagema,ef 9o ano,7.0
899,psantagema,em 1a serie,6.0
900,psantagema,em 2a serie,7.5
901,psantagema,em 3a serie,6.75
902,psantagema,outro,1.5
903,qescola,ef 1o ano,1.0
904,qescola,ef 5o ano,2.0
905,qescola,ef 6o ano,4.0
906,qescola,ef 7o ano,0.3333333333333333
907,qescola,em 1a serie,5.666666666666667
908,qescola,em 2a serie,5.0
909,qescola,em 3a serie,7.166666666666667
910,qescola,outro,1.5
911,rede,ef 9o ano,1.0
912,saberviver,ef 4o ano,0.25
913,saberviver,ef 5o ano,0.25
914,sagradafamilia,em 1a serie,3.0
915,sagradafamilia,em 2a serie,3.0
916,sagradafamilia,em 3a serie,2.5
917,santadoroteia,ef 9o ano,1.0
918,santadoroteia,em 1a serie,3.0
919,santadoroteia,em 2a serie,3.0
920,santadoroteia,em 3a serie,3.0
921,santamariacn,em 2a serie,5.0
922,santamariacn,em 3a serie,7.0
923,santoamerico,ef 6o ano,3.0
924,santoamerico,ef 7o ano,3.3333333333333335
925,santoamerico,ef 8o ano,3.0
926,santoamerico,ef 9o ano,5.8
927,santoamerico,em 1a serie,11.0
928,santoamerico,em 2a serie,8.2
929,santoamerico,em 3a serie,15.25
930,santoamerico,outro,1.127659574468085
931,santoantonio,em 3a serie,0.5
932,sas,em 1a serie,8.0
933,sasadapt,ef 1o ano,2.0
934,seletivoeducallis,ef 5o ano,1.0
935,seletivoeducallis,em 1a serie,1.0
936,seletivoeducallis,em 2a serie,2.0
937,simbios,outro,1.0
938,simuladoita,outro,1.5
939,sobral,outro,1.0
940,souhabilis,em 3a serie,12.0
941,souhabilis,outro,11.0
942,spdacruz,ef 6o ano,9.714285714285714
943,spdacruz,ef 7o ano,6.166666666666667
944,spdacruz,ef 8o ano,5.666666666666667
945,spdacruz,ef 9o ano,7.285714285714286
946,spdacruz,em 1a serie,6.5
947,spdacruz,em 2a serie,7.833333333333333
948,spdacruz,em 3a serie,4.916666666666667
949,stellamarisaguaverde,ef 2o ano,3.0
950,stellamarisaguaverde,ef 3o ano,3.3333333333333335
951,stellamarisaguaverde,ef 4o ano,2.6666666666666665
952,stellamarisaguaverde,ef 5o ano,7.0
953,stellamarisaguaverde,ef 6o ano,16.0
954,stellamarisaguaverde,ef 7o ano,19.0
955,stellamarisjuveve,ef 2o ano,2.6666666666666665
956,stellamarisjuveve,ef 3o ano,11.25
957,stellamarisjuveve,ef 4o ano,11.333333333333334
958,stellamarisjuveve,ef 5o ano,12.666666666666666
959,stellamarisjuveve,ef 6o ano,10.5
960,stellamarisjuveve,ef 7o ano,12.666666666666666
961,stellamarisjuveve,ef 8o ano,6.75
962,stellamarisjuveve,ef 9o ano,15.0
963,stellamarisjuveve,em 1a serie,57.5
964,stellamarisjuveve,em 2a serie,57.0
965,stellamarisjuveve,em 3a serie,7.0
966,stellamarisjuveve,outro,7.0
967,stellamarisxaxim,ef 2o ano,8.5
968,stellamarisxaxim,ef 3o ano,9.0
969,stellamarisxaxim,ef 4o ano,9.5
970,stellamarisxaxim,ef 5o ano,10.666666666666666
971,stellamarisxaxim,ef 6o ano,17.5
972,stellamarisxaxim,ef 7o ano,9.0
973,stellamarisxaxim,ef 8o ano,19.0
974,stellamarisxaxim,ef 9o ano,20.0
975,stellamarisxaxim,em 1a serie,50.0
976,stellamarisxaxim,em 2a serie,52.0
977,stellamarisxaxim,em 3a serie,7.0
978,studos,em 1a serie,1.0
979,testevictorhugo,ef 7o ano,1.0
980,testevictorhugo,em 1a serie,3.0
981,universitariolondrina,ef 3o ano,0.3333333333333333
982,universitariolondrina,ef 4o ano,1.3333333333333333
983,universitariolondrina,ef 5o ano,1.75
984,universitariolondrina,ef 6o ano,13.0
985,universitariolondrina,ef 7o ano,14.333333333333334
986,universitariolondrina,ef 8o ano,9.25
987,universitariolondrina,ef 9o ano,14.75
988,universitariolondrina,em 1a serie,25.2
989,universitariolondrina,em 2a serie,33.25
990,universitariolondrina,em 3a serie,24.166666666666668
991,universitariolondrina,outro,4.777777777777778
992,universobarcarena,ef 1o ano,15.0
993,universobarcarena,ef 2o ano,21.0
994,universobarcarena,ef 3o ano,16.5
995,universobarcarena,ef 4o ano,23.0
996,universobarcarena,ef 5o ano,37.0
997,universobarcarena,ef 6o ano,23.5
998,universobarcarena,ef 7o ano,15.0
999,universobarcarena,ef 8o ano,21.5
1000,universobarcarena,ef 9o ano,26.0
1001,universobarcarena,em 1a serie,20.5
1002,universobarcarena,em 2a serie,14.333333333333334
1003,universobarcarena,em 3a serie,12.0
1004,villalobos,ef 4o ano,5.0
1005,villalobos,ef 5o ano,5.666666666666667
1006,villalobos,ef 6o ano,11.5
1007,villalobos,ef 7o ano,12.5
1008,villalobos,ef 8o ano,13.5
1009,villalobos,ef 9o ano,12.333333333333334
1010,villalobos,em 1a serie,7.333333333333333
1011,villalobos,em 2a serie,27.5
1012,villalobos,em 3a serie,21.0
1013,vitae,ef 1o ano,2.0
1014,vitae,ef 2o ano,6.0
1015,vitae,ef 3o ano,2.0
1016,vitae,ef 4o ano,1.0
1017,vitae,ef 5o ano,1.0
1018,wilsondeandradebarreto,em 1a serie,1.0
