,namespace,grade,Número de AAs por turma
147,cem,ef 6o ano,16.0
148,cem,ef 7o ano,16.0
149,cem,ef 8o ano,15.0
150,cem,ef 9o ano,19.0
151,cem,em 1a serie,23.0
152,cem,em 2a serie,21.0
153,cem,em 3a serie,19.0
154,ceprimeiromundo,ef 1o ano,1.5
155,ceprimeiromundo,ef 2o ano,1.0
156,ceprimeiromundo,ef 3o ano,2.3333333333333335
157,ceprimeiromundo,ef 4o ano,1.6666666666666667
158,ceprimeiromundo,ef 5o ano,0.6666666666666666
159,ceprimeiromundo,ef 6o ano,7.0
160,ceprimeiromundo,ef 7o ano,6.333333333333333
161,ceprimeiromundo,ef 8o ano,6.428571428571429
162,ceprimeiromundo,ef 9o ano,6.0
163,ceprimeiromundo,em 1a serie,10.4
164,ceprimeiromundo,em 2a serie,8.666666666666666
165,ceprimeiromundo,em 3a serie,2.5
166,ceprimeiromundo,outro,37.0
167,ciadosaber,ef 2o ano,4.5
168,ciadosaber,ef 3o ano,4.0
169,ciadosaber,ef 4o ano,5.8
170,ciadosaber,ef 5o ano,4.5
171,ciadosaber,ef 6o ano,7.4
172,ciadosaber,ef 7o ano,7.25
173,ciadosaber,ef 8o ano,4.25
174,ciadosaber,ef 9o ano,10.0
175,cmdpii,em 2a serie,9.0
176,cnslpb,ef 6o ano,2.3333333333333335
177,cnslpb,ef 7o ano,1.75
178,cnslpb,ef 8o ano,2.0
179,cnslpb,ef 9o ano,4.0
180,cnslpb,em 1a serie,7.0
181,cnslpb,em 2a serie,8.666666666666666
182,cnslpb,em 3a serie,7.25
183,colegioalphaunis,ef 6o ano,6.5
184,colegioalphaunis,ef 7o ano,6.5
185,colegioalphaunis,ef 8o ano,12.0
186,colegioalphaunis,ef 9o ano,11.5
187,colegioalphaunis,em 1a serie,15.0
188,colegioalphaunis,em 2a serie,15.0
189,colegioalphaunis,em 3a serie,16.0
190,colegioanchietai,em 1a serie,1.5
191,colegioanchietai,em 2a serie,3.0
192,colegioanchietai,em 3a serie,3.0
193,colegioanchietaii,em 1a serie,1.0
194,colegioanchietaii,em 2a serie,3.0
195,colegioanchietaii,em 3a serie,3.0
196,colegioarena,em 1a serie,20.0
197,colegioarena,em 2a serie,22.0
198,colegioarena,em 3a serie,21.0
199,colegioarena,outro,1.3333333333333333
200,colegiobatistaindependente,ef 5o ano,7.0
201,colegiobatistaindependente,ef 6o ano,26.0
202,colegiobatistaindependente,ef 7o ano,24.0
203,colegiobatistaindependente,ef 8o ano,16.333333333333332
204,colegiobatistaindependente,ef 9o ano,19.5
205,colegiobatistaindependente,em 1a serie,19.0
206,colegiobatistaindependente,em 2a serie,26.0
207,colegiobatistaindependente,em 3a serie,15.0
208,colegiobatistaindependente,outro,1.0
209,colegiobetelbrasileirosp,ef 1o ano,1.0
210,colegiobetelbrasileirosp,ef 6o ano,1.75
211,colegiobetelbrasileirosp,ef 7o ano,1.75
212,colegiobetelbrasileirosp,ef 8o ano,1.7058823529411764
213,colegiobetelbrasileirosp,ef 9o ano,1.6842105263157894
214,colegiobetelbrasileirosp,em 1a serie,1.5
215,colegiobetelbrasileirosp,em 2a serie,1.4666666666666666
216,colegiobetelbrasileirosp,em 3a serie,1.8888888888888888
217,colegiobianguloiv,em 1a serie,0.6
218,colegiobianguloiv,em 2a serie,1.0
219,colegiobianguloiv,em 3a serie,1.0
220,colegiobilac,ef 1o ano,11.0
221,colegiobilac,ef 2o ano,12.0
222,colegiobilac,ef 3o ano,14.0
223,colegiobilac,ef 4o ano,14.0
224,colegiobilac,ef 5o ano,17.0
225,colegiobilac,ef 6o ano,19.0
226,colegiobilac,ef 7o ano,20.0
227,colegiobilac,ef 8o ano,21.0
228,colegiobilac,ef 9o ano,22.0
229,colegiobrasilia,ef 2o ano,17.75
230,colegiobrasilia,ef 3o ano,17.25
231,colegiobrasilia,ef 4o ano,27.333333333333332
232,colegiobrasilia,ef 5o ano,18.2
233,colegiobrasilia,ef 6o ano,4.5
234,colegiobrasilia,ef 7o ano,8.0
235,colegiobrasilia,ef 8o ano,4.875
236,colegiobrasilia,ef 9o ano,7.833333333333333
237,colegiobrasilia,em 1a serie,7.555555555555555
238,colegiobrasilia,em 2a serie,7.5
239,colegiobrasilia,em 3a serie,21.0
240,colegiobrasilia,outro,1.0
241,colegiocb,ef 3o ano,6.5
242,colegiocb,ef 4o ano,8.0
243,colegiocb,ef 5o ano,3.0
244,colegiocb,ef 6o ano,5.666666666666667
245,colegiocb,ef 7o ano,5.142857142857143
246,colegiocb,ef 8o ano,5.666666666666667
247,colegiocb,ef 9o ano,7.333333333333333
248,colegiocb,em 1a serie,4.4
249,colegiocb,em 2a serie,3.6
250,colegiocb,em 3a serie,8.0
251,colegiodasamericas,ef 3o ano,1.0
252,colegiodasamericas,ef 4o ano,1.0
253,colegiodasamericas,ef 6o ano,1.7777777777777777
254,colegiodasamericas,ef 7o ano,1.7777777777777777
255,colegiodasamericas,ef 8o ano,2.375
256,colegiodasamericas,ef 9o ano,1.6666666666666667
257,colegiodasamericas,em 1a serie,2.2857142857142856
258,colegiodasamericas,em 2a serie,1.9230769230769231
259,colegiodasamericas,em 3a serie,1.6666666666666667
260,colegiodasamericas,outro,1.2962962962962963
261,colegioeag,ef 1o ano,2.5
262,colegioeag,ef 3o ano,1.0
263,colegioeag,ef 4o ano,1.0
264,colegioeag,ef 5o ano,1.0
265,colegioecursodesafio,ef 1o ano,4.5
266,colegioecursodesafio,ef 2o ano,3.0
267,colegioecursodesafio,ef 3o ano,6.0
268,colegioecursodesafio,ef 4o ano,3.5
269,colegioecursodesafio,ef 5o ano,4.333333333333333
270,colegioecursodesafio,ef 6o ano,10.0
271,colegioecursodesafio,ef 7o ano,8.666666666666666
272,colegioecursodesafio,ef 8o ano,9.666666666666666
273,colegioecursodesafio,ef 9o ano,14.0
274,colegioecursodesafio,em 1a serie,26.0
275,colegioecursodesafio,em 2a serie,13.0
276,colegioecursodesafio,em 3a serie,12.0
277,colegioecursoprogressao,ef 1o ano,1.0
278,colegioecursoprogressao,ef 6o ano,7.0
279,colegioecursoprogressao,ef 7o ano,5.428571428571429
280,colegioecursoprogressao,ef 8o ano,7.0
281,colegioecursoprogressao,ef 9o ano,7.444444444444445
282,colegioecursoprogressao,em 1a serie,8.058823529411764
283,colegioecursoprogressao,em 2a serie,11.3125
284,colegioecursoprogressao,em 3a serie,8.76923076923077
285,colegioeducallis,ef 2o ano,9.0
286,colegioeducallis,ef 3o ano,9.0
287,colegioeducallis,ef 4o ano,9.0
288,colegioeducallis,ef 5o ano,9.0
289,colegioeducallis,ef 6o ano,1.1875
290,colegioeducallis,ef 7o ano,2.1904761904761907
291,colegioeducallis,ef 8o ano,2.466666666666667
292,colegioeducallis,ef 9o ano,1.9166666666666667
293,colegioeducallis,em 1a serie,1.0263157894736843
294,colegioeducallis,em 2a serie,1.303030303030303
295,colegioeducallis,em 3a serie,1.7142857142857142
296,colegioensitec,ef 2o ano,6.0
297,colegioensitec,ef 3o ano,6.0
298,colegioensitec,ef 4o ano,6.0
299,colegioensitec,ef 5o ano,6.0
300,colegioensitec,ef 6o ano,12.0
301,colegioensitec,ef 7o ano,11.5
302,colegioensitec,ef 8o ano,6.5
303,colegioensitec,ef 9o ano,15.0
304,colegioensitec,em 1a serie,10.5
305,colegioensitec,em 2a serie,10.5
306,colegioensitec,em 3a serie,1.5
307,colegioflamingo,em 1a serie,19.0
308,colegioflamingo,em 2a serie,18.5
309,colegioflamingo,em 3a serie,17.5
310,colegiofuturageracao,ef 2o ano,1.0
311,colegiofuturageracao,ef 3o ano,6.0
312,colegiofuturageracao,ef 4o ano,6.0
313,colegiofuturageracao,ef 5o ano,6.0
314,colegiofuturageracao,ef 6o ano,18.0
315,colegiofuturageracao,ef 7o ano,17.0
316,colegiofuturageracao,ef 8o ano,21.0
317,colegiofuturageracao,ef 9o ano,20.0
318,colegiofuturageracao,em 1a serie,1.0
319,colegioglobal,ef 2o ano,4.5
320,colegioglobal,ef 3o ano,3.75
321,colegioglobal,ef 4o ano,8.0
322,colegioglobal,ef 5o ano,6.666666666666667
323,colegioglobal,ef 6o ano,13.0
324,colegioglobal,ef 7o ano,12.0
325,colegioglobal,ef 8o ano,12.0
326,colegioglobal,ef 9o ano,5.0
327,colegioglobal,em 1a serie,18.0
328,colegioglobal,em 2a serie,20.0
329,colegioglobal,em 3a serie,20.0
330,colegioguilhermedealmeida,ef 6o ano,1.5
331,colegioguilhermedealmeida,ef 7o ano,3.5
332,colegioguilhermedealmeida,ef 8o ano,1.3333333333333333
333,colegioguilhermedealmeida,ef 9o ano,1.0
334,colegioguilhermedealmeida,em 1a serie,0.5
335,colegioguilhermedealmeida,em 2a serie,1.0
336,colegioguilhermedealmeida,em 3a serie,0.5
337,colegioiguatemy,ef 3o ano,10.0
338,colegioiguatemy,ef 4o ano,9.0
339,colegioiguatemy,ef 5o ano,9.0
340,colegioiguatemy,ef 6o ano,15.0
341,colegioiguatemy,ef 7o ano,7.0
342,colegioiguatemy,ef 8o ano,15.0
343,colegioiguatemy,ef 9o ano,14.0
344,colegioiguatemy,em 1a serie,6.666666666666667
345,colegioiguatemy,em 2a serie,6.25
346,colegioiguatemy,em 3a serie,9.333333333333334
347,colegiointegral,ef 2o ano,4.5
348,colegiointegral,ef 3o ano,4.5
349,colegiointegral,ef 4o ano,3.0
350,colegiointegral,ef 5o ano,2.5
351,colegiointegral,ef 6o ano,3.25
352,colegiointegral,ef 7o ano,2.8
353,colegiointegral,ef 8o ano,2.3333333333333335
354,colegiointegral,ef 9o ano,1.7777777777777777
355,colegiointegral,em 1a serie,3.0
356,colegiointegral,em 2a serie,3.0
357,colegiointegral,em 3a serie,5.666666666666667
358,colegiointegral,outro,3.375
359,colegiojoaopaulo,ef 4o ano,7.0
360,colegiojoaopaulo,ef 5o ano,8.5
361,colegiojoaopaulo,ef 6o ano,10.0
362,colegiojoaopaulo,ef 7o ano,9.666666666666666
363,colegiojoaopaulo,ef 8o ano,15.0
364,colegiojoaopaulo,ef 9o ano,7.0
365,colegiojoaopaulo,em 1a serie,11.2
366,colegiojoaopaulo,em 2a serie,8.8
367,colegiojoaopaulo,em 3a serie,7.25
368,colegiojoaopaulo,outro,1.0
