,namespace,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Tempo de correção por aluno por questão,Tempo médio entre criação e publicação de AA por questão,Tempo médio entre publicação e ínicio de AA,Porcentagem de visualização de relatórios de AA,Porcentagem de relatórios de AA visualizados por docente,Porcentagem de administrantes que visualizaram relatórios de AA
63,minhalista,0.6166666666666667,3.6666666666666665,32.666666666666664,0,0 days 00:00:41.610990448,0 days 00:00:21.685817545,0.2333333333333333,0.5490196078431372,0.0
64,colegiopremium,0.6087352483588206,5.777777777777778,130.55555555555554,2 days 11:36:18.121513153,0 days 04:07:51.181405212,0 days 18:10:33.560871769,0.4681034482758621,0.9041723356009072,0.6666666666666666
65,eacorcovado,0.6057692307692307,1.4,13.55,0,0 days 01:23:05.283440171,2 days 02:02:16.594541071,0.4468965517241379,0.8050595238095238,0.5
66,elitecuritibaemilianoperneta,0.6035451404536578,12.6,562.0,0 days 00:38:25.539899285,0 days 01:51:40.726922946,2 days 18:14:48.731797269,0.801593625498008,0.6873737373737375,0.2727272727272727
67,colegiouniverso,0.598169910062361,6.8,312.8,0 days 02:06:58.259177333,0 days 00:03:24.265377688,2 days 20:21:44.280660808,0.5432378079436903,0.5974920634920635,0.1764705882352941
68,sagradafamilia,0.5937400191632066,2.75,232.25,0,0 days 08:09:33.835754983,0 days 21:29:50.016672454,0.290983606557377,1.0,0.3333333333333333
69,overabelcabral,0.5904717436677163,7.482142857142857,142.69642857142858,0,0 days 00:05:07.658311615,2 days 16:47:41.333185682,0.4535920860587059,0.7530902332423066,0.2333333333333333
70,rede,0.5833333333333334,1.0,5.0,0,0 days 00:00:41.911422400,-1 days +23:59:09.088694,0.0,0.0,0.0
71,dommga,0.5628277335404933,2.0,271.0,0,0 days 01:04:14.236295508,4 days 13:30:46.085988750,0.5460526315789473,0.0,1.0
72,institutosaojose,0.556733660389302,1.2857142857142858,221.0,0,0 days 00:12:37.716639937,0 days 09:47:56.684662555,0.0747663551401869,0.0,0.0
73,physicsalmirantebarroso,0.5552862304110703,6.866666666666666,239.4,0,0 days 00:03:11.292885472,4 days 03:50:36.595061019,0.2826565942713251,0.8068181818181818,0.1777777777777777
74,santadoroteia,0.5447002541486022,2.5,168.5,0,0 days 00:03:07.956797086,0 days 08:24:10.072499900,0.0707070707070707,0.5,0.2
75,ciadosaber,0.5392866720300349,6.076923076923077,63.34615384615385,0 days 20:21:35.009736,0 days 00:08:27.934356103,4 days 01:40:38.513045316,0.4305785123966942,0.768119763093971,0.3333333333333333
76,overzonanorte,0.5378425667839922,17.5,319.77777777777777,0,0 days 00:02:20.892695922,2 days 10:45:15.576531003,0.3343452742359846,0.7877183748084154,0.2608695652173913
77,acessosantafelicidade,0.5349531908811549,17.571428571428573,330.92857142857144,0 days 06:12:52.851221200,0 days 02:28:09.119479672,2 days 04:07:16.489925703,0.4894000514977255,0.0,0.2352941176470588
78,physicscidadenova,0.5329725240220672,5.2,275.2,0,0 days 00:00:46.941602131,2 days 19:38:19.367535096,0.4332767741291546,0.7466666666666667,0.3125
79,acessoalmirantetamandare,0.5274554726184317,15.071428571428571,263.2857142857143,0 days 02:30:40.067091230,0 days 03:03:17.641400177,1 days 20:34:45.699795805,0.5542691751085383,0.8867916659841325,0.1379310344827586
80,physicsconselheirofurtado,0.5231430086325451,4.5,351.7857142857143,0,0 days 00:15:34.415348681,3 days 11:29:44.751546492,0.4053067993366501,0.05,0.3461538461538461
81,lasalleaguasclaras,0.516425176770604,0.8181818181818182,221.0,0,0 days 00:11:05.117583357,-1 days +23:57:11.932951778,0.0223140495867768,1.0,1.0
82,universitariolondrina,0.5161123039573488,11.98,522.8,0,0 days 00:28:48.442694175,2 days 13:56:29.457882066,0.3027371825586967,0.7909515148585152,0.3469387755102041
83,escolamaster,0.5144629671919008,1.5,155.0,0,0 days 00:01:01.355560719,1 days 03:24:14.750693121,0.3295985060690943,0.85,0.25
84,institutoauxiliadoradf,0.5064233848445354,3.0,221.0,0,0 days 00:14:30.674502674,-1 days +23:56:56.450497445,0.19140625,0.0,1.0
85,acessoboqueirao,0.500322219810675,10.421052631578949,419.6842105263158,0,0 days 03:36:32.146260952,1 days 14:25:35.792046782,0.4990430011483986,1.0,0.1470588235294117
86,positivoon,0.5,1.0,4.0,0,1 days 09:58:01.704925500,0 days 00:00:46.474698,0.0,0.0,0.0
87,colegioecursodesafio,0.4997089036026879,8.74074074074074,120.85185185185183,0,0 days 00:01:22.792052735,5 days 12:19:15.283023745,0.2734797483721443,0.5712258615567438,0.4444444444444444
88,macvest,0.498303647158609,3.0,195.0,0,0 days 00:01:13.160233393,0 days 07:45:55.795273833,0.5126050420168067,0.0,0.5
89,contemporaneolagoanova,0.4979528549277962,5.764705882352941,220.58823529411765,0,0 days 00:07:52.744610599,3 days 09:54:36.920033734,0.7405072159170519,0.7313351771685106,0.2307692307692307
90,overmarciliofurtado,0.4964687648602476,10.393939393939394,159.9090909090909,0,0 days 00:00:51.198148193,3 days 03:39:24.279504104,0.4427638647822134,0.6432955851725244,0.2
91,universobarcarena,0.4944816839397462,18.52,294.92,0 days 00:02:32.362543,0 days 00:00:48.922401966,6 days 01:15:29.396607002,0.3003896563939072,0.3735641700838259,0.4090909090909091
92,simuladoita,0.489489333748228,1.5,50.5,0,0 days 14:59:54.782327797,2 days 16:00:18.511604,0.0161030595813204,0.0,0.5
93,colegiomagnum,0.4822384428223844,0.4615384615384615,220.6153846153846,0,0 days 00:02:48.349719148,1 days 00:11:50.000694333,0.7848206839032527,0.0,0.125
94,acessosjpinhais,0.4807478454267445,9.205882352941176,205.64705882352945,0 days 01:08:00.654516,0 days 02:27:18.961581529,2 days 01:47:57.018437884,0.493067707632252,0.603819186854439,0.2105263157894736
95,acessocampolargo,0.47945495220663,19.5,478.125,0 days 01:57:52.136579045,0 days 02:04:08.422230113,2 days 02:36:02.429604288,0.6164427383237364,0.6666666666666666,0.1
96,colegiosete,0.4715887457449891,8.878787878787879,175.87878787878788,0,0 days 04:09:49.889692027,1 days 07:40:26.986276160,0.3957020418452231,0.7118580765639589,0.2272727272727272
97,amadeus,0.4715770975410677,5.8979591836734695,137.6530612244898,2 days 03:32:18.208853282,0 days 00:08:10.428873665,1 days 17:31:51.579406069,0.3153992585913235,0.6140497737556561,0.2631578947368421
98,acessopinhais,0.4699591035815937,22.5,756.75,0,0 days 06:26:18.070199202,1 days 00:20:57.255139,0.5342995169082125,0.9722222222222222,0.1333333333333333
99,liessinbarra,0.4642857142857143,1.0,10.0,0,0 days 00:01:13.021736100,0 days 07:14:32.877180,0.2857142857142857,1.0,0.0
100,acessofazendariogrande,0.461347688542304,19.666666666666668,379.6666666666667,0 days 05:36:53.699397800,0 days 04:41:41.161928744,0 days 19:55:32.863286991,0.5332183908045977,0.7176434676434676,0.1
101,physicsumarizal,0.4597066785744188,7.0,191.27777777777777,0,0 days 00:00:53.267424857,3 days 01:41:11.469498579,0.2628517823639775,0.7916666666666666,0.3703703703703703
102,physicsmacapa,0.4575131652947492,8.0,285.3,0,0 days 00:01:15.822686957,3 days 05:26:16.289630350,0.3349893541518807,0.5,0.217391304347826
103,stellamarisxaxim,0.4516219649225658,15.61111111111111,232.38888888888889,0,0 days 04:49:08.898724458,2 days 17:14:04.504465156,0.3385943612572508,0.777455381703748,0.2727272727272727
104,domus,0.4462915601023018,1.0,276.0,0,0 days 00:00:33.219222259,1 days 15:23:28.368400333,1.156862745098039,0.0,0.1875
105,aescobjetivo,0.4414846394288568,12.571428571428571,459.9285714285714,0 days 00:57:42.484379692,0 days 02:34:50.979874884,4 days 04:45:00.699500556,0.34857676154923,0.6455816155352411,0.631578947368421
106,conexaosaber,0.4406038935240365,7.947368421052632,69.0,0,0 days 00:05:22.975464701,2 days 19:12:40.971257708,0.1133394105135217,0.8620650183150182,0.5
107,stellamarisjuveve,0.440444369712818,13.5625,187.65625,0 days 00:48:58.073020529,0 days 01:25:40.865137432,3 days 03:09:58.916614718,0.4292029470864032,0.763177557770339,0.2105263157894736
108,colegioiguatemy,0.4274910615675483,8.61111111111111,123.66666666666669,0 days 00:00:30.665487,0 days 01:54:13.244644087,3 days 09:32:05.471202890,0.4778135048231511,0.7002373463764832,0.6666666666666666
109,physicsaugustomontenegro,0.4250849194104123,8.833333333333334,250.08333333333331,0,0 days 00:03:01.965439920,3 days 06:47:57.507314330,0.3259774109470026,0.7380952380952381,0.3809523809523809
110,contemporaneocidadeverde,0.4204684028531814,7.8125,183.625,0,0 days 00:35:21.490715684,3 days 00:04:04.986704088,0.6301458670988654,0.6742011278195489,0.25
111,objetivolorena,0.4198741548965794,3.121739130434783,43.95652173913044,0,0 days 00:56:37.754034136,2 days 14:06:57.879217827,0.3278511144773858,0.7049141346286677,0.5789473684210527
112,prevest,0.4193548387096774,1.0,16.0,0,0 days 00:06:22.656852425,0 days 12:17:07.114731,0.3225806451612903,0.0,0.75
113,brasilcursinhos,0.4184006192967229,1.3529411764705883,90.52941176470588,0,0 days 00:29:00.384148481,1 days 04:20:56.914630869,0.6092814371257484,0.3333333333333333,0.1764705882352941
114,novotempo,0.41756455508081,0.5714285714285714,236.8571428571429,0,0 days 00:03:54.607829134,1 days 00:42:11.164829750,1.5423728813559323,0.0,0.0357142857142857
115,crb,0.4152641960800772,9.094594594594597,229.0,0 days 14:17:25.848510893,0 days 00:48:26.084944768,10 days 11:22:44.143784119,0.2988708144669909,0.0,0.4169491525423728
116,deltaeducacional,0.4144063229746721,6.333333333333333,177.33333333333334,0,0 days 05:23:47.828013914,0 days 20:20:04.314936078,0.3978001833180568,0.2025600556850556,0.4
117,overpontanegra,0.4116585248860782,8.731707317073171,122.60975609756098,0,0 days 00:02:31.455872689,3 days 02:20:34.526124363,0.4413105715194571,0.7403981827957251,0.16
118,colegioarena,0.4090575670441875,2.5,52.30769230769231,0,0 days 09:06:35.951113328,1 days 06:08:03.256597323,0.4226424609178013,0.110933198065551,0.8125
119,ceprimeiromundo,0.3946286035101423,4.472222222222222,127.375,0,0 days 04:07:27.756325623,8 days 08:32:00.508421416,0.2466460268317853,0.7020996368510376,0.3125
120,colegiojoaopaulo,0.3876030066222345,7.095238095238095,219.04761904761904,0 days 14:50:28.430154888,0 days 00:22:00.311662091,3 days 07:08:51.105013013,0.5531549722362443,0.7867469176292706,0.3
121,physicsalcindocacela,0.3865251568094328,2.227272727272727,234.3181818181818,0,0 days 00:02:12.947995626,2 days 16:02:05.127604306,0.7191736604260813,0.1666666666666666,0.2307692307692307
122,apogeustoantonio2,0.3752185314685314,1.6666666666666667,228.86666666666667,0,0 days 02:46:25.652633075,0 days 13:23:39.767945680,0.4453316953316953,0.0,0.3461538461538461
123,colegioguilhermedealmeida,0.3743608473338203,1.0666666666666669,30.2,0,0 days 00:01:23.292550927,1 days 16:13:41.525027625,0.5610184372256365,1.0,0.2857142857142857
124,stellamarisaguaverde,0.3635957921581128,5.846153846153846,91.6153846153846,0 days 03:06:49.033640,0 days 01:34:21.095544854,2 days 02:44:46.789987710,0.4624277456647399,0.8165608465608465,0.1363636363636363
125,master,0.3560848673385581,1.4714285714285715,222.2321428571429,0,0 days 11:38:32.919268350,3 days 17:18:50.951021,0.3010094952523738,0.0,0.5806451612903226
126,overmossoro,0.3488905553840046,9.72222222222222,260.0,0,0 days 00:04:31.160229180,1 days 13:52:36.951448645,0.4086153846153846,0.7858421493036877,0.16
127,overjoaopessoa,0.3437226596675415,14.11111111111111,379.77777777777777,0,0 days 00:01:20.011930096,2 days 09:31:53.752814606,0.3269639065817409,0.7042221667221666,0.217391304347826
128,testevictorhugo,0.3387096774193548,0.6,25.2,0,0 days 00:00:02.258431378,0 days 16:01:04.977497666,0.0,0.0,0.0
129,studos,0.3333333333333333,1.0,2.0,0,0 days 00:00:56.312239,0 days 00:00:33.747602,0.3333333333333333,1.0,1.0
130,navegasas,0.3333333333333333,1.0,3.0,0,0 days 00:00:13.834520333,0 days 00:03:55.196909,0.1666666666666666,0.6666666666666666,0.3333333333333333
131,joaobelem,0.328042328042328,1.0,10.0,0,0 days 00:00:13.668831282,1 days 07:00:09.851319,0.2894736842105263,1.0,0.0
132,provaspoliedro,0.3066615844501973,1.7333333333333334,53.84102564102564,0 days 14:54:27.365642253,0 days 03:33:20.800782733,2 days 16:30:52.289039615,0.0912384140705024,0.5703123596451657,0.7209302325581395
133,cursosazambuja,0.2981312761854093,0.6428571428571429,114.41428571428573,0,0 days 00:39:57.400644002,2 days 12:20:11.738562822,1.061633281972265,0.1301587301587301,0.3076923076923077
134,oficinadoestudante,0.2840992512112759,2.0,47.86666666666667,0,0 days 00:07:43.043854909,3 days 15:22:08.742876633,0.160486674391657,1.0,0.2727272727272727
135,implantacao,0.2727272727272727,3.0,33.0,0,0 days 00:01:48.813565290,0 days 18:05:59.809212,0.0,0.0,0.0
136,plannetaosasco,0.25,0.25,26.0,0,0 days 00:00:13.856005692,4 days 18:15:58.242572,0.0,0.0,0.0
137,amaisteste,0.2456140350877192,1.2,11.0,0,0 days 00:00:38.489844277,0 days 00:00:40.130825500,0.1176470588235294,0.3333333333333333,0.0
138,institutocristao,0.2406362979031091,16.0,153.2,0,0 days 02:17:11.326124768,0 days 23:15:22.808855900,0.1308539944903581,0.9194230769230768,1.0
139,colegioliceu,0.2369962649891881,1.5,221.0,0,0 days 00:19:19.381483952,0 days 10:52:27.356166777,0.0571428571428571,0.0,0.3333333333333333
140,nucleocriativo,0.2277500350025668,18.727272727272727,188.27272727272728,0 days 04:26:37.969663,0 days 00:29:25.238566748,1 days 03:40:46.047276131,0.2000932835820895,0.8863542498115194,0.75
141,overnascimentodecastro,0.2076468685222684,1.0,255.375,0,0 days 00:01:59.847555492,0 days 19:46:47.635795375,0.2461538461538461,0.1666666666666666,0.0769230769230769
142,profederal,0.1983716440202542,10.1,181.6,0,0 days 00:00:15.900004501,1 days 15:45:16.279958475,0.1654641654641654,0.5506987756987757,0.4615384615384615
143,adrianochan,0.1893497396757056,0.0931372549019607,390.578431372549,0,0 days 00:04:26.538573432,0 days 23:32:17.803194421,0.4442171303873432,0.5432900432900433,0.8461538461538461
144,cursoenfase,0.1807647440051847,1.2,221.0,0,0 days 00:02:15.326694389,1 days 11:04:33.949566500,0.2327586206896551,0.25,0.238095238095238
145,ceabb,0.1746837698200605,13.285714285714286,120.14285714285714,0,0 days 00:02:56.497545035,0 days 20:32:00.503302655,0.1274350649350649,0.5689814814814814,0.5
146,cursoleopoldo,0.1724806201550387,0.4,90.0,0,0 days 00:00:28.938877444,0 days 17:06:11.456146,0.5038759689922481,0.0,0.6666666666666666
147,seletivoeducallis,0.1666666666666666,1.0,23.33333333333333,0,0 days 00:14:15.426162066,1 days 10:15:21.984960166,0.0789473684210526,0.0,0.4285714285714285
148,educarse,0.1665706605222734,5.0,186.0,0,0 days 03:40:47.410171774,1 days 15:00:48.474452400,0.0666666666666666,0.0138888888888888,0.5
149,montessori,0.1582323592302209,1.0,276.0,0,0 days 00:04:50.309138334,1 days 08:57:36.097433,0.3442622950819672,0.0,0.1875
150,souhabilis,0.1516264626803499,7.333333333333333,696.6666666666666,0,0 days 00:00:05.802033159,3 days 14:18:26.404806681,0.2387328543435663,0.1557422969187675,0.2857142857142857
151,jazzvestibular,0.1428571428571428,0.5,60.0,0,0 days 00:13:28.661483633,0 days 00:29:23.562648,0.0,0.0,0.5
152,cursoisfera,0.1228175161926218,11.9,185.5,0,0 days 00:01:25.586516354,1 days 13:59:16.280718344,0.3888213851761847,0.4285714285714285,0.5
153,santoantonio,0.1136363636363636,1.0,12.0,0,0 days 00:00:46.487346583,-1 days +23:59:56.895239,0.0,0.0,0.25
