,namespace,Número de AAs por turma
213,sasadaptem,1.0
214,saseducacao,5.0
215,seletivoeducallis,1.0
216,serios,1.0
217,simbios,1.0
218,simuladoita,1.5
219,sobral,1.0
220,souhabilis,7.333333333333333
221,spdacruz,6.089285714285714
222,stellamarisaguaverde,5.846153846153846
223,stellamarisjuveve,13.5625
224,stellamarisxaxim,15.61111111111111
225,studos,1.0
226,testevictorhugo,0.6
227,universitariolondrina,11.98
228,universobarcarena,18.52
229,villalobos,11.0
230,vitae,3.0
231,wilsondeandradebarreto,1.0
