,namespace,Porcentagem de visualização de relatórios de AA
205,institutoauxiliadoradf,0.19140625
206,institutocristao,0.13085399449035812
207,institutoeurofarma,0.67
208,institutoideia,0.0
209,institutomariaauxiliadora,0.0
210,institutosaojose,0.07476635514018691
211,integra,0.7616279069767442
212,integradaeducativa,0.6721457130164371
213,invictus,0.6482236458940012
214,iracemarufino,0.2
215,isem,0.6813104988830976
216,isemear,0.0
217,ismart,0.0
218,itamarati,0.65
219,jardimsaopaulo,0.45481927710843373
220,jazzvestibular,0.0
221,jeanpiaget,0.0
222,joaobelem,0.2894736842105263
223,josemelo,0.0
224,josepiaulino,0.0
225,lasalleaguasclaras,0.02231404958677686
226,lasallesp,0.0
227,lerote,0.0
228,liceujardim,0.0
229,liderasas,0.0
230,liessin,0.0
231,liessinbarra,0.2857142857142857
232,litteratus,0.021739130434782608
233,macvest,0.5126050420168067
234,magister,0.5919439579684763
235,magno,0.0
236,magnum,0.0
237,magnumagostiniano,0.0
238,maplebearslz,0.3980133584517897
239,mariliamattoso,0.6582688689107254
240,maristadomsilverio,0.0
241,master,0.26454772613693156
242,meta,0.0
243,metodocerto,0.0
244,minhalista,0.23333333333333334
245,moaciralves,0.028037383177570093
246,mobile,0.0
247,montessori,0.11475409836065574
248,motiva,0.0
249,murilorocha,0.06944444444444445
250,navegasas,0.16666666666666666
251,nossasenhoradesion,0.0
252,notredame,0.0
253,novotempo,0.3855932203389831
254,nsdasgracas,0.0
255,nucleo,0.0
256,nucleocriativo,0.20009328358208955
257,nucleopva,0.5223214285714286
258,objetivoamericana,0.0
259,objetivohortolandia,0.0
260,objetivolorena,0.29127894395152565
261,objetivoteresina,0.023809523809523808
262,oficinadoestudante,0.160486674391657
263,osequim,0.006493506493506494
264,oswald,0.0
265,oswalddeandrade,0.0
266,overabelcabral,0.358451808205849
267,overjoaopessoa,0.24331210191082803
268,overlimaesilva,0.7919762258543833
269,overmarciliofurtado,0.34201173650714933
270,overmossoro,0.364
271,overnascimentodecastro,0.24615384615384617
272,overpontanegra,0.3538331035945287
273,overzonanorte,0.2643189637725157
274,ovquim,0.0
275,padreeustaquio,0.0
276,palmares,0.0
277,pauloviana,0.0
278,pcf,0.0
279,pearson,0.0
280,pensecursos,0.0
281,pesenglish,0.0
282,physicsalcindocacela,0.3734667527437056
283,physicsalmirantebarroso,0.1649354737173434
284,physicsaugustomontenegro,0.1737619461337967
285,physicsbatistacampos,0.44571975131516023
286,physicscidadenova,0.2022157899990019
287,physicsconselheirofurtado,0.1562189054726368
288,physicsmacapa,0.18914123491838183
289,physicsumarizal,0.1651031894934334
290,pioxi,0.6659558454591069
291,pioxii,0.0
292,pioxiicolegio,0.6409798417963767
293,plannetaosasco,0.0
294,plannetataboao,0.03595353696761109
295,playpen,0.0
296,poliedro,0.0007727975270479134
297,poliedropv,0.01453287197231834
298,poliedrotreinamento,0.0
299,portalsas,0.0
300,portinari,0.7186372255183803
301,porto,0.44525468001741403
302,portoseguro,0.09032943676939426
303,positivo,0.0
304,positivoon,0.0
305,preparatec,0.0
306,preparavest,0.0
307,prevest,0.3225806451612903
308,primeirodemaio,0.28316326530612246
309,prisma,0.0
