,namespace,Porcentagem de administrantes que visualizaram relatórios de AA
386,colegiobatistadesantarem,0.0
387,colegiobatistaindependente,0.6666666666666666
388,colegiobatistamineiro,0.0
389,colegiobatistavr,0.0
390,colegiobetelbrasileirosp,0.6
391,colegiobiangulo,0.0
392,colegiobianguloiv,0.3333333333333333
393,colegiobilac,0.6
394,colegioboasnovas,0.0
395,colegiobrasilia,0.5714285714285714
396,colegiocaetano,0.0
397,colegiocanarinho,0.0
398,colegiocarbonell,0.0
399,colegiocastelo,0.0
400,colegiocastelodosaber,0.0
401,colegiocastelosp,0.0
402,colegiocatamara,0.0
403,colegiocb,0.5
404,colegiocebrapi,0.0
405,colegioceman,0.0
406,colegiocenecistamarica,0.0
407,colegiocepe,0.0
408,colegiockids,0.0
409,colegioclarassoti,0.0
410,colegiocoesi,0.0
411,colegiocognos,0.030303030303030304
412,colegioconexao,0.0
413,colegioconexaosaber,0.0
414,colegiocpm,0.0
415,colegiocrescer,0.0
416,colegiocriancaecia,0.0
417,colegiocriativo,0.0
418,colegiocristaoaquas,0.0
419,colegiocristaomoc,0.0
420,colegiocristaopr,0.0
421,colegiodante,0.0
422,colegiodantealighieri,0.0
423,colegiodarwin,0.0
424,colegiodasagradafamilia,0.0
425,colegiodasamericas,0.2777777777777778
426,colegiodelrey,0.0
427,colegiodelta,0.0
428,colegiodeltaserrinha,0.0
429,colegiodeovolente,0.0
430,colegiodiaspora,0.0
431,colegiodigital,0.0
432,colegiodimensao,0.0
433,colegiodivinosalvador,0.0
434,colegiodoctum,0.0
435,colegiodombosco,0.0
436,colegiodompedrosegundo,1.0
437,colegiodosalvador,0.0
438,colegiodosjesuitas,0.0
439,colegioeag,0.42857142857142855
440,colegioeccos,0.0
441,colegioecursodesafio,0.4444444444444444
442,colegioecursomagma,0.0
443,colegioecursomeninojesus,0.0
444,colegioecursoprogressao,0.35714285714285715
445,colegioedsonmonteiro,0.0
446,colegioeduardomarques,0.0
447,colegioeducallis,0.6296296296296297
448,colegioeducare,0.0
449,colegioelo,0.0
450,colegioelshadai,0.0
451,colegioelshadday,0.0
452,colegioenergiaativa,0.0
453,colegioensitec,0.6
454,colegioequipe,0.0
455,colegioequipeba,0.0
456,colegioesmeraldas,0.0
457,colegioestrutural,0.0
458,colegioeverest,0.0
459,colegioevolucaoce,0.0
460,colegioevoluir,0.0
461,colegioexatus,0.0
462,colegioexponencial,0.0
463,colegioexpressao,0.0
464,colegiofarroupilha,0.3333333333333333
465,colegiofato,0.0
466,colegiofenix,0.0
467,colegioflamingo,0.5714285714285714
468,colegiofranciscanoreginapacis,0.0
469,colegiofredericoozanam,0.0
470,colegiofriburgo,0.0
471,colegiofuturageracao,0.25
472,colegiofuturomg,0.0
473,colegiofuturope,0.0
474,colegiogalileu,0.0
475,colegiogamaliel,0.0
476,colegiogarra,0.0
477,colegiogetsemani,0.0
478,colegiogibran,0.0
479,colegioglobal,0.625
480,colegiogracilianoramos,0.0
481,colegiograciosa,0.0
482,colegiogradual,0.0
483,colegioguilhermedealmeida,0.2857142857142857
484,colegiohbc,0.0
485,colegiohelioalonso,0.0
486,colegiohelyos,0.0
487,colegioideal,0.0
488,colegioidealbrasilia,0.0
489,colegioiguatemy,0.6666666666666666
490,colegioimperial,0.0
491,colegioinaci,0.0
492,colegioincomar,0.0
493,colegiointegracaoonline,0.0
494,colegiointegral,0.5192307692307693
495,colegiointegralsolar,0.0
496,colegiointensivo,0.0
497,colegioipe,0.0
498,colegioirmamariele,0.0
499,colegioitalo,0.0
500,colegioitamarati,0.0
501,colegiojk,0.0
502,colegiojoaopaulo,0.3
503,colegiojoliveira,0.0
504,colegiojosealencar,0.0
505,colegiolamarck,0.0
506,colegiolasalleaguasclaras,0.0
507,colegiolebiste,0.0
508,colegiolegado,0.0
509,colegiolemeitapeva,0.0
510,colegioliceu,0.3333333333333333
511,colegioliceujardim,0.0
512,colegiolider,0.0
513,colegioliliental,0.0
514,colegiolimanogueira,0.0
515,colegiolobato,0.0
516,colegiolouveira,0.0
517,colegioloyola,0.0
518,colegioluizacora,0.0
519,colegiolumiar,0.0
520,colegiomadrededeus,0.0
521,colegiomagno,0.0
522,colegiomagnum,0.125
523,colegiomarcioseno,0.0
524,colegiomarcondes,0.0
525,colegiomargirus,0.0
526,colegiomariahelena,0.0
527,colegiomarilia,0.0
528,colegiomaristaparanaense,0.0
529,colegiomarthafalcao,0.0
530,colegiomartinus,0.0
531,colegiomaster,0.0
532,colegiomasternatal,0.0
533,colegiomastersp,0.0
534,colegiomauriciosalles,0.0
535,colegiomenezesesousa,0.0
536,colegiomeninojesus,0.0
537,colegiometropolitan,0.0
538,colegiomilitardompedroii,0.0
539,colegiomodelo,0.0
540,colegiomodulo,0.0
541,colegiomonjolo,0.0
542,colegiomontesclaros,0.0
543,colegiomontessori,0.0
544,colegiomotiva,0.0
545,colegiomundial,0.2222222222222222
546,colegiomundoideal,0.0
547,colegionatureza,0.0
548,colegionazareth,0.0
549,colegionobre,0.5
550,colegionossasenhoradelourdes,0.0
551,colegionotadez,0.0
552,colegionovageracao,0.6
553,colegionovopatio,0.3333333333333333
554,colegioobjetivosorocaba,0.0
555,colegioocteto,0.0
556,colegioodysseus,0.0
557,colegioomega,0.0
558,colegiootacilio,0.0
559,colegiopadreeustaquio,0.0
560,colegiopalmares,0.0
561,colegiopassionista,0.0
562,colegiopel,0.0
563,colegiopetropolis,0.0
564,colegiopitagoraspe,0.0
565,colegioplanck,0.75
566,colegioplus,0.0
567,colegioportadosol,0.0
568,colegiopremium,0.6666666666666666
569,colegiopremiumgentil,0.3333333333333333
570,colegiopresbiterianobras,0.0
571,colegiopresbiterianosimonton,0.0
572,colegioprevejau,0.0
573,colegioprimeiromundo,0.0
574,colegioprogresso,0.0
575,colegiopurificacao,0.0
576,colegiopurissimo,0.0
577,colegioquadrangular,0.0
578,colegioradar,0.0
579,colegiorainhadobrasil,0.0
580,colegioraiodesol,0.0
581,colegiorgf,0.0
582,colegioriobranco,1.0
583,colegiorodriguesdias,0.0
584,colegiosaberviver,0.0
585,colegiosagradafamilia,0.0
586,colegiosagradocoracaobvp,0.0
587,colegiosalesianorn,0.0
588,colegiosaloni,0.0
589,colegiosantaangela,0.0
590,colegiosantacatarina,0.0
591,colegiosantacecilia,0.0
592,colegiosantaclara,0.0
593,colegiosantadoroteia,0.0
594,colegiosantaesmeralda,0.0
595,colegiosantamarcelina,0.0
596,colegiosantamaria,0.0
597,colegiosantamariaminas,0.0
598,colegiosantamonicalimoeiro,0.0
599,colegiosantanapr,0.0
600,colegiosantateresinha,0.0
601,colegiosantoandre,0.0
602,colegiosantotomasdeaquino,0.0
603,colegiosaocarlos,0.0
604,colegiosaojose,0.0
605,colegiosaojudas,0.0
606,colegiosaolucas,0.0
607,colegiosaoluis,0.0
608,colegiosaomateus,0.0
609,colegiosaomiguel,0.0
610,colegiosaosalvador,0.0
611,colegioseal,0.0
612,colegiosenes,0.0
613,colegiosepp,0.0
614,colegioser,0.75
615,colegioserecrescer,0.0
616,colegiosete,0.22727272727272727
617,colegioshalom,0.0
618,colegiosiglan,0.0
619,colegiosincrona,0.0
620,colegiosp,0.0
621,colegiosupremodaamazonia,0.0
622,colegiosussurana,0.0
623,colegiosuzart,0.0
624,colegiotelescastelao,0.0
625,colegiotelesmourabrasil,0.0
626,colegioteleyos,0.0
627,colegiotravessia,0.0
628,colegiouirapuru,0.4
629,colegiouneouro,0.0
630,colegiounidadejardim,0.0
631,colegiounirs,0.0
632,colegiouniversitario,0.0
633,colegiouniverso,0.17647058823529413
634,colegioup,0.625
635,colegiovalparaiso,0.0
636,colegioveiga,0.0
637,colegiovitoria,0.0
638,colegiovitoriaregia,0.0
639,colegiovivopiracicaba,0.0
640,colegiozenite,0.0
641,colegiozerohum,0.0
642,coleguium,0.0
643,coloniadosaber,0.0
644,colprogressao,0.0
645,colsaberviver,0.0
646,colsantacatarina,0.0
647,colsantamaria,0.0
648,colsaojose,0.0
649,comenius,0.0
650,comeniusuberaba,0.0
651,concordia,0.0
652,conexao,0.0
653,conexaosaber,0.5
654,confessionalmonza,0.0
655,conhecereducacional,0.0
656,conib,0.0
657,conosco,0.0
658,conosquinho,0.0
659,conradochaves,0.0
660,consepe,0.0
661,contec,0.0
662,contemporaneo,0.0
663,contemporaneocidadeverde,0.25
664,contemporaneolagoanova,0.23076923076923078
665,conteudos,0.0
666,conteudos6,0.0
667,cooedita,0.0
668,cooeduc,0.0
669,coopeccaetite,0.0
670,coopenriopreto,0.0
671,coopermundi,0.0
672,cotemig,0.0
673,cparaiso,0.0
674,cpcentenario,0.0
675,cpchamberlain,0.0
676,cpresbsp,0.0
677,cpv,0.0
678,cpvc,0.0
679,crb,0.41694915254237286
680,crecei,0.0
681,crescercampinas,0.5714285714285714
682,criancaesperanca,0.0
683,cristadecuritiba,0.0
684,cristaoantenorthomazi,0.0
685,cristaodapenha,0.0
686,cristaonovavida,0.0
687,cristoreimarau,0.0
688,crlicaoevida,0.0
689,cruzeiro,0.0
690,cruzesousa,0.0
691,cs,0.0
692,csa,0.0
693,csaci,0.0
694,csasp,0.0
695,cscatarina,0.0
696,cscgo,0.0
697,csjcanguaretamarn,0.0
698,csmabh,0.0
699,cssg,0.0
700,csvp,0.0
701,ctbmsa,0.0
702,ctem,0.0
703,culturainglesa,0.0
704,cursinhoeach,1.0
705,cursinhoines,0.0
706,cursoacre,0.0
707,cursobase,0.4
708,cursoclaudiomuniz,0.0
709,cursocn,0.0
710,cursoenfase,0.23809523809523808
711,cursoequacao,0.0
712,cursofap,0.0
713,cursoisfera,0.5
714,cursoleopoldo,0.6666666666666666
715,cursologhus,0.0
716,cursoprogressao,0.03508771929824561
717,cursosazambuja,0.3076923076923077
718,dante,0.0
719,dantealighieri,0.0
720,darwin,0.0
721,darwinvilavelha,0.0
722,dbosco,0.0
723,dcc,0.0
724,delta,0.0
725,deltaeducacional,0.4
726,descomplica,0.0
727,devry,0.0
728,dialeticacursos,0.0
729,dimensao,0.0
730,dimensaopa,0.0
731,dionysia,0.0
732,discere,0.0
733,djangogirls,0.0
734,djanirapereira,0.0
735,dlp,0.0
736,dokimos,0.0
737,dom,0.0
738,dombosco,0.0
739,domboscogru,0.0
740,domboscoos,0.0
741,domhelder,0.0
742,dominius,0.0
743,dominiusprincipius,0.0
744,dominusprincipius,0.0
745,dommga,1.0
746,domus,0.1875
747,dorothea,0.0
748,dpaschoal,0.0
749,dsjujy,0.0
750,duque,0.0
751,duquecastilho,0.0
752,e24h,0.0
753,eabsf,0.0
754,eacorcovado,0.5
755,eacs,0.0
756,eadcmm,0.0
757,eag,0.0
758,eajam,0.0
759,earcadenoe,0.0
760,ebatistadeipiau,0.0
761,ebcd,0.0
762,ebei,0.0
763,eblighthouse,0.0
764,ecaminhodosanjos,0.0
765,ecatuparticipacoes,0.0
766,eccos,0.5454545454545454
767,ecml,0.0
768,ecompo,0.0
769,edhumbertodecampos,0.0
770,edificandogeracoes,0.0
771,editoracristaevangelica,0.0
772,edivancalixto,0.0
773,edlauravicuna,0.0
774,educacaoinfantilsemear,0.0
775,educacional,0.0
776,educacionalsemear,0.0
777,educallesser,0.0
778,educamais,0.015873015873015872
779,educamob,0.0
780,educandario,0.0
781,educandariodosaber,0.0
782,educandariogoncalvesdearaujo,0.0
783,educandarionospassosdejesus,0.0
784,educandarioterciocorreia,0.3333333333333333
785,educandusilha,0.0
786,educaprime,0.0
787,educardpaschoal,0.0
788,educarse,0.5
789,educativasaocarlos,0.0
790,educglauberrocha,0.0
791,eduqo,0.0
792,eduqualis,0.0
793,eeacg,0.0
794,eeagm,0.0
795,eeejds,0.0
796,eeemba,0.0
797,eeheitor,0.0
798,eemanaus,0.0
799,eemariahelenadasilva,0.0
800,eepensareagir,0.0
801,efaculdades,0.0
802,egocg,0.0
803,eicoracaodemaria,0.0
804,einsteinassis,0.3125
805,ejjg,0.0
806,eldapereira,0.0
807,eletron,0.0
808,elev,0.0
809,elitecuritiba,0.13636363636363635
810,elitecuritibaemilianoperneta,0.2727272727272727
811,eliteemilianoperneta,0.0
812,eliza,0.0
813,eloeducacional,0.0
814,eluneonline,0.5
815,elvirabrandao,0.0
816,embaixadores,0.0
817,emece,0.0
818,emefmaria,0.0
819,emgovernadorleonelbrizola,0.0
820,emiliaferreiro,0.0
821,emsaopedro,0.0
822,enec,0.0
823,energiaativa,0.0
824,engenhomoscou,0.0
825,englishclass,0.0
826,englishclub,0.0
827,enovoalvo,0.0
828,ensinamais,0.0
829,ensinando,0.0
830,ensinarbrasil,0.0
831,ensinoteclondrina,0.0
832,entendabncc,0.0
833,eokiko,0.0
834,equalizar,0.0
835,equipe,0.5
836,equipea,0.0
837,equipepontenova,0.0
838,equiperecife,0.0
839,erasmobraga,0.0
840,eremamaurydemedeiros,0.0
841,escola,0.0
842,escolaagnusdei,0.0
843,escolaalecrim,0.0
844,escolaalencar,0.0
845,escolaalpha,0.0
846,escolaarcasp,0.0
847,escolabatistacriativa,0.0
848,escolabedelandia,0.0
849,escolabemmequer,0.0
850,escolabetuel,0.0
851,escolabezerrademenezes,0.0
852,escolacastanheiras,0.0
853,escolacastelokids,0.0
854,escolacastroalves,0.0
855,escolaceciliameireles,0.8
856,escolacemepe,0.0
857,escolacenesitaml,0.0
858,escolaceuazul,0.0
859,escolacrescimento,0.0
860,escolacristaba,0.0
861,escolacristaboaviagem,0.0
862,escolacristacandeias,0.0
863,escolacristaemaldeia,0.0
864,escolacristaempiedade,0.0
865,escolacristal,0.0
866,escolacristanavarzea,0.0
867,escolacristasumare,0.0
868,escolacristorei,0.0
869,escoladauri,0.0
870,escoladeimpacto,0.0
871,escoladinamicaiturama,0.0
872,escoladofuturo,0.0
873,escoladomingossavio,0.0
874,escolaeboasnovas,0.0
875,escolaeducativa,0.0
876,escolaesfera,0.0
877,escolaespacoeducacao,0.0
878,escolafamiliaagricula,0.0
879,escolaformacao,0.0
880,escolagappe,0.0
881,escolagenesis,0.0
882,escolagenesisbrejo,0.0
883,escolagovernadorluiz,0.0
884,escolagpc,0.0
885,escolagregorio,0.0
886,escolahwallon,0.0
887,escolaidaam,0.0
888,escolaimpacto,0.0
889,escolainewton,0.0
890,escolainovacao,0.0
891,escolainternacional,0.0
892,escolainternacionalgoiania,0.0
893,escolajardimdasnacoes,0.0
894,escolajoaocalvino,0.0
895,escolajoseamerico,0.0
896,escolajoseflorencio,0.0
897,escolakadima,0.0
898,escolakodomo,0.0
899,escolaleticiateixeira,0.0
900,escolamariabernarda,0.0
901,escolamaritel,0.0
902,escolamaster,0.25
903,escolamobile,0.0
904,escolamodelada,0.0
905,escolamonteirolobato,0.0
906,escolamonza,0.0
907,escolanie,0.0
908,escolanormal,0.0
909,escolaolavonunes,0.0
910,escolaparticularmaxime,0.0
911,escolapaulofreire,0.0
912,escolapmundo,0.0
913,escolaporprincipios,0.0
914,escolapppp,0.0
915,escolapresb,0.0
916,escolapresbiterianadecanal,0.0
917,escolapresblp,0.0
918,escolaprofessorxavier,0.0
919,escolaraiodeluz,0.0
920,escolaraulpilla,0.0
921,escolarealeza,0.0
922,escolargf,0.0
923,escolasantacatarina,0.0
924,escolasantaclara,0.0
925,escolasantamaria,0.0
926,escolasantamariagoretti,0.0
927,escolasantamarta,0.0
928,escolasanti,0.0
929,escolasapiencia,0.0
930,escolasementesdoamanha,0.0
931,escolasoito,0.0
932,escolatecnicadoimperador,0.0
933,escolavida,0.0
934,escolavitoriaregia,0.0
935,escolazeferino,0.0
936,escolinhacaca,0.0
937,escreva,0.0
938,esmg,0.0
939,espacoamais,0.0
940,espacoeducar,0.0
941,espacolivre,0.0
942,especificocn,0.0
943,esperanza,0.0
944,esperoqueestesejaok,0.0
945,esramada,0.0
946,estantefix,0.0
947,estantemagica,0.02564102564102564
948,esteioeducacaoadventista,0.0
949,estreladedavi,0.0
950,estudar,0.0
951,etaf,0.0
952,etepsjc,0.0
953,etsaomatheus,0.0
954,eucorrijo,0.0
955,eurekacolegio,0.0
956,evangcriancafeliz,0.0
957,evangelicagoianesia,0.0
958,evangelicobebedouro,0.0
959,evangelicobetel,0.0
960,evangelicoce,0.0
961,evolucao,0.0
962,exato,0.0
963,exitoinstituto,0.0
964,experimentacao,0.0
965,experimentacaogratuita,0.0
966,facens,0.0
967,facesp,0.0
968,faculdadeamadeus,0.0
969,faculdadeflamingo,0.4117647058823529
970,faculdadeguarai,0.0
971,faculdadejaguariuna,0.0
972,faculdadeterranordeste,0.0
973,fariasbrito,0.0
974,fatene,0.0
975,fazeducacao,0.0
976,febave,0.0
977,felipemanoelcampos,0.0
978,fepcrato,0.0
979,fernaogaivota,0.0
980,fide,0.0
981,fiep,0.0
982,finalizandabagaca,0.0
983,fip,0.0
984,fisicadf,0.0
985,fisicainloco,0.0
986,fisicamarginal,0.0
987,fito,0.0
988,fleming,1.0
989,flordenicedacosta,0.0
990,florestasenadorcanedo,0.0
991,fmit,0.0
992,fmu,0.0
993,fontenova,0.0
994,formacao,0.0
995,forumcultural,0.0
996,franciscanopioxii,0.0
997,franciscoperes,0.0
998,franciscopinto,0.0
999,francobrasileiro,0.25
1000,fsjb,0.0
1001,ftd,0.0
1002,ftec,0.0
1003,fundacaobradesco,1.0
1004,fundacaoeducar,0.0
1005,futuroeducacional,0.0
1006,gabrielrtaliuli,0.0
1007,gacc,0.0
1008,gaga,0.0
1009,galileugalilei,0.0
1010,galois,0.0
1011,gamt,0.0
