,namespace,user_id,id
6052,matriz,michaeldouglasmatriz,397595
6053,aocubo,samantharaiz,397619
6054,matriz,panthiojuniormatriz,397596
6055,matriz,samantharaiz,397620
6056,sap,samantharaiz,397622
6057,matriz,taniaalvesmatriz,397598
6058,unificado,samantharaiz,397624
6059,matriz,therezacostamatriz,397611
6060,colegiomodelo,teste.carol,408901
6061,unificado,adroaldo.lara,397612
6062,unificado,diego.andrades,397613
6063,unificado,fabio.vasques,397614
6064,unificado,paola.tavares,397615
6065,unificado,rodrigo.smidt,397616
6066,colegiosete,sete.admin,408938
6067,unificado,rodrigo.trujillo,397617
6068,highline,wanessa.bastos,408896
6069,sap,joycesap.raiz,397609
6070,matriz,diana.raiz,425450
6071,amais,matriculadores.adrya.arndt,412762
6072,amadeus,liliansantos,104106
6073,highline,angela.canalle,408897
6074,colegiobetelbrasileirosp,betelcord6,328822
6075,cecb,admincecb,408965
6076,colegioguilhermedealmeida,patriciaga,179201
6077,educandarioterciocorreia,isabelcorreias,408907
6078,faculdadeflamingo,raphaelsebastiao,399119
6079,unificado,avilaoliveiraunificado,407530
6080,colegiomasternatal,renato.carneiro,473293
6081,colegiogalileu,colegiogalieu,263464
6082,livreaprender,adm.livreaprender,398932
6083,colegiobrasilia,vjdias,152031
6084,aescobjetivo,ellen.provas,594654
6085,www,flromeiroc,229139
6086,colegiosete,maria.cavalcante,399006
6087,qi,camilaazevedoqi,397575
6088,qi,carolinaferreiraqi,397576
6089,motiva,sas.admin,521625
6090,qi,cinthyasilvaqi,397577
6091,casdinhosjc,Homer,521643
6092,qi,giseleheffnerqi,397578
6093,casdinhosjc,Barueri,521646
6094,qi,paulaleiteqi,397579
6095,colegiosete,jaqueline.lima,400410
6096,qi,rafaelqi,397580
6097,colegiosete,ana.fso,400412
6098,poliedro,luana.adm,409616
6099,colegiosete,rosimary.eugenia,400414
6100,gamt,tuoliveira,179406
6101,gamt,anesntos,227133
6102,cermac,anderson.costa.cermac,409970
6103,matriz,danieloliveiramatriz,406817
6104,yduqs,yduqs01,406903
6105,yduqs,yduqs02,406904
6106,yduqs,yduqs03,406905
6107,ovquim,Aldenescosta03,406809
6108,colegioecursoprogressao,thais.mendes,406872
6109,poliedro,carolina.adm,409617
6110,cermac,daniele.martinez.cermac,409972
6111,capacitacaoinspira,alison.oliveira,411025
6112,overabelcabral,avaliacaoover,411035
6113,colegiobrasilia,camis,197783
6114,qescola,alunocm,411042
6115,master,grafica,409006
6116,acessoboqueirao,giovanni.antonio,301640
6117,aescobjetivo,thayna.maciel,410962
6118,lourdinascg,adm.lourdes,382969
6119,poliedro,monique.adm,409000
6120,physicsbatistacampos,matriculador.vinicius.silva,407549
6121,master,arquimedes.oliveira,406685
6122,physicsbatistacampos,matriculador.keilla.tavares,407551
6123,master,mario.santos,406686
6124,physicsbatistacampos,matriculador.monalysa.santos,407553
6125,sas,priscila.cotejo,424577
6126,poliedro,diego.adm,387626
6127,faculdadeflamingo,evelynsantos10,201512
6128,physicsalmirantebarroso,matriculador.juliana.santos,407555
6129,conexaosaber,clauneidealmeida,593438
6130,poliedro,mariacintia.adm,387637
6131,cermac,jairo.almeida.cermac,409968
6132,overabelcabral,jonasstanley,394070
6133,qi,admqitijuca,402165
6134,ciadosaber,monica.galafassi,227104
6135,apogeustoantonio1,ju.martins,407867
6136,sistemaincentivo,raimundo.moura,299333
6137,acessoemilianoperneta,jonasstanley,337070
6138,overjoaopessoa,jonasstanley,394073
6139,acessoalmirantetamandare,jonasstanley,358962
6140,overpontanegra,jonasstanley,394072
6141,topguncolombo,jonasstanley,351668
