,namespace,grade,Porcentagem de exercícios de AAs em relatórios de AD
192,einsteinassis,em 1a serie,0.0
193,einsteinassis,em 2a serie,0.0
194,einsteinassis,em 3a serie,0.0
195,elitecuritibaemilianoperneta,em 1a serie,0.0
196,elitecuritibaemilianoperneta,em 2a serie,0.0
197,elitecuritibaemilianoperneta,em 3a serie,0.0
198,elitecuritibaemilianoperneta,outro,0.0
199,eluneonline,0,0.0
200,eluneonline,em 1a serie,0.0
201,escola,ef 4o ano,0.0
202,escolaceciliameireles,ef 2o ano,0.0
203,escolaceciliameireles,ef 3o ano,0.0
204,escolaceciliameireles,ef 4o ano,0.0
205,escolaceciliameireles,ef 5o ano,0.0
206,escolaceciliameireles,ef 6o ano,0.0
207,escoladeimpacto,0,0.0
208,escolamaster,em 1a serie,0.0
209,escolamaster,em 2a serie,0.0
210,escolamaster,em 3a serie,0.0
211,esperanza,0,0.0
212,integradaeducativa,0,0.0
213,integradaeducativa,ef 7o ano,0.0
214,master,em 2a serie,0.0
215,mariliamattoso,0,0.0
216,magister,ef 5o ano,0.0
217,magister,outro,0.0
218,maplebearslz,0,0.0
219,maplebearslz,ef 2o ano,0.0
220,maplebearslz,ef 3o ano,0.0
221,maplebearslz,ef 4o ano,0.0
222,maplebearslz,ef 5o ano,0.0
223,maplebearslz,ef 6o ano,0.0
224,maplebearslz,ef 7o ano,0.0
225,maplebearslz,ef 8o ano,0.0
226,maplebearslz,ef 9o ano,0.0
227,maplebearslz,em 1a serie,0.0
228,maplebearslz,em 2a serie,0.0
229,maplebearslz,outro,0.0
230,mariliamattoso,ef 5o ano,0.0
231,integradaeducativa,ef 8o ano,0.0
232,mariliamattoso,ef 6o ano,0.0
233,mariliamattoso,ef 7o ano,0.0
234,mariliamattoso,ef 8o ano,0.0
235,mariliamattoso,ef 9o ano,0.0
236,mariliamattoso,em 1a serie,0.0
237,mariliamattoso,em 2a serie,0.0
238,mariliamattoso,em 3a serie,0.0
239,master,ef 1o ano,0.0
240,master,ef 2o ano,0.0
241,master,ef 4o ano,0.0
242,master,ef 5o ano,0.0
243,physicsalmirantebarroso,em 3a serie,0.0
244,master,ef 8o ano,0.0
245,master,em 1a serie,0.0
246,magister,ef 4o ano,0.0
247,magister,ef 3o ano,0.0
248,magister,0,0.0
249,macvest,outro,0.0
250,integradaeducativa,ef 9o ano,0.0
251,integradaeducativa,em 1a serie,0.0
252,integradaeducativa,em 2a serie,0.0
253,integradaeducativa,em 3a serie,0.0
254,invictus,0,0.0
255,invictus,ef 6o ano,0.0
256,invictus,ef 7o ano,0.0
257,invictus,ef 8o ano,0.0
258,invictus,ef 9o ano,0.0
259,invictus,em 1a serie,0.0
260,invictus,em 2a serie,0.0
261,invictus,em 3a serie,0.0
262,invictus,outro,0.0
263,iracemarufino,infantil iii,0.0
264,isem,ef 3o ano,0.0
265,isem,ef 4o ano,0.0
266,isem,ef 5o ano,0.0
267,isem,ef 6o ano,0.0
268,isem,ef 7o ano,0.0
269,isem,ef 8o ano,0.0
270,isem,ef 9o ano,0.0
271,itamarati,ef 8o ano,0.0
272,jazzvestibular,outro,0.0
273,joaobelem,ef 6o ano,0.0
274,joaobelem,ef 9o ano,0.0
275,lasalleaguasclaras,em 1a serie,0.0
276,lasalleaguasclaras,em 2a serie,0.0
277,lasalleaguasclaras,em 3a serie,0.0
278,litteratus,em 3a serie,0.0
279,physicsalmirantebarroso,em 2a serie,0.0
280,physicsaugustomontenegro,ef 6o ano,0.0
281,physicsaugustomontenegro,ef 2o ano,0.0
282,santoamerico,ef 8o ano,0.0
283,sas,em 1a serie,0.0
284,santoantonio,em 3a serie,0.0
285,santoantonio,0,0.0
286,santoamerico,outro,0.0
287,santoamerico,em 2a serie,0.0
288,santoamerico,ef 9o ano,0.0
289,santoamerico,ef 7o ano,0.0
290,physicsaugustomontenegro,ef 3o ano,0.0
291,santoamerico,ef 6o ano,0.0
292,santoamerico,0,0.0
293,santamariacn,em 3a serie,0.0
294,santamariacn,em 2a serie,0.0
295,santamariacn,0,0.0
296,santadoroteia,em 3a serie,0.0
297,sasadapt,ef 1o ano,0.0
298,sasadaptem,0,0.0
299,seletivoeducallis,0,0.0
300,seletivoeducallis,ef 5o ano,0.0
301,seletivoeducallis,em 1a serie,0.0
302,seletivoeducallis,em 2a serie,0.0
303,simbios,outro,0.0
304,simuladoita,outro,0.0
305,sobral,outro,0.0
306,souhabilis,em 3a serie,0.0
307,souhabilis,outro,0.0
308,spdacruz,0,0.0
309,spdacruz,ef 6o ano,0.0
310,spdacruz,ef 7o ano,0.0
311,spdacruz,ef 8o ano,0.0
312,spdacruz,ef 9o ano,0.0
313,spdacruz,em 1a serie,0.0
314,santadoroteia,em 2a serie,0.0
315,santadoroteia,em 1a serie,0.0
316,sagradafamilia,em 3a serie,0.0
317,psantagema,em 2a serie,0.0
318,provaspoliedro,ef 7o ano,0.0
319,provaspoliedro,ef 8o ano,0.0
320,provaspoliedro,ef 9o ano,0.0
321,provaspoliedro,em 1a serie,0.0
322,provaspoliedro,em 2a serie,0.0
323,provaspoliedro,em 3a serie,0.0
324,provaspoliedro,outro,0.0
325,psantagema,0,0.0
326,psantagema,ef 2o ano,0.0
327,psantagema,ef 6o ano,0.0
328,psantagema,ef 7o ano,0.0
329,psantagema,ef 8o ano,0.0
330,psantagema,ef 9o ano,0.0
331,psantagema,em 1a serie,0.0
332,psantagema,em 3a serie,0.0
333,sagradafamilia,em 2a serie,0.0
334,psantagema,outro,0.0
335,qescola,0,0.0
336,qescola,ef 1o ano,0.0
337,qescola,ef 5o ano,0.0
338,qescola,ef 7o ano,0.0
339,qescola,em 1a serie,0.0
340,qescola,em 2a serie,0.0
341,qescola,em 3a serie,0.0
342,qescola,outro,0.0
343,qescola.qmagico.com.br,0,0.0
344,saberviver,ef 4o ano,0.0
345,saberviver,ef 5o ano,0.0
346,saea,0,0.0
347,sagradafamilia,em 1a serie,0.0
348,spdacruz,em 2a serie,0.0
349,spdacruz,em 3a serie,0.0
350,stellamarisaguaverde,ef 2o ano,0.0
351,universobarcarena,ef 7o ano,0.0
352,universitariolondrina,ef 6o ano,0.0
353,universitariolondrina,ef 7o ano,0.0
354,universitariolondrina,ef 8o ano,0.0
355,universitariolondrina,ef 9o ano,0.0
356,universitariolondrina,em 1a serie,0.0
357,universitariolondrina,em 2a serie,0.0
358,universitariolondrina,em 3a serie,0.0
359,universitariolondrina,outro,0.0
360,universobarcarena,ef 1o ano,0.0
361,universobarcarena,ef 2o ano,0.0
362,universobarcarena,ef 3o ano,0.0
363,universobarcarena,ef 4o ano,0.0
364,universobarcarena,ef 5o ano,0.0
365,universobarcarena,ef 6o ano,0.0
366,universobarcarena,ef 8o ano,0.0
367,universitariolondrina,ef 4o ano,0.0
368,universobarcarena,ef 9o ano,0.0
369,universobarcarena,em 1a serie,0.0
370,universobarcarena,em 2a serie,0.0
371,universobarcarena,em 3a serie,0.0
372,villalobos,ef 4o ano,0.0
373,villalobos,ef 5o ano,0.0
374,villalobos,ef 6o ano,0.0
375,villalobos,ef 7o ano,0.0
376,villalobos,ef 8o ano,0.0
377,villalobos,ef 9o ano,0.0
378,villalobos,em 1a serie,0.0
379,villalobos,em 2a serie,0.0
380,villalobos,em 3a serie,0.0
381,vitae,ef 2o ano,0.0
382,universitariolondrina,ef 5o ano,0.0
383,universitariolondrina,ef 3o ano,0.0
384,stellamarisaguaverde,ef 3o ano,0.0
385,stellamarisjuveve,em 3a serie,0.0
386,stellamarisaguaverde,ef 4o ano,0.0
387,stellamarisaguaverde,ef 5o ano,0.0
388,stellamarisaguaverde,ef 6o ano,0.0
389,stellamarisaguaverde,ef 7o ano,0.0
390,stellamarisjuveve,ef 2o ano,0.0
391,stellamarisjuveve,ef 3o ano,0.0
392,stellamarisjuveve,ef 4o ano,0.0
393,stellamarisjuveve,ef 5o ano,0.0
394,stellamarisjuveve,ef 6o ano,0.0
395,stellamarisjuveve,ef 7o ano,0.0
396,stellamarisjuveve,ef 8o ano,0.0
397,stellamarisjuveve,ef 9o ano,0.0
398,stellamarisjuveve,em 1a serie,0.0
399,stellamarisjuveve,em 2a serie,0.0
400,stellamarisjuveve,outro,0.0
401,universitariolondrina,0,0.0
402,stellamarisxaxim,ef 2o ano,0.0
403,stellamarisxaxim,ef 3o ano,0.0
404,stellamarisxaxim,ef 4o ano,0.0
405,stellamarisxaxim,ef 5o ano,0.0
406,stellamarisxaxim,ef 6o ano,0.0
407,stellamarisxaxim,ef 7o ano,0.0
408,stellamarisxaxim,ef 8o ano,0.0
409,stellamarisxaxim,ef 9o ano,0.0
410,stellamarisxaxim,em 1a serie,0.0
411,stellamarisxaxim,em 2a serie,0.0
412,stellamarisxaxim,em 3a serie,0.0
413,studos,em 1a serie,0.0
414,testevictorhugo,0,0.0
415,testevictorhugo,ef 7o ano,0.0
416,provaspoliedro,ef 6o ano,0.0
417,provaspoliedro,ef 1o ano,0.0
418,provaspoliedro,0,0.0
419,physicsumarizal,ef 7o ano,0.0
420,physicsconselheirofurtado,em 3a serie,0.0
421,physicsmacapa,ef 7o ano,0.0
422,physicsmacapa,ef 8o ano,0.0
423,physicsmacapa,ef 9o ano,0.0
424,physicsmacapa,em 1a serie,0.0
425,physicsmacapa,em 2a serie,0.0
426,physicsmacapa,em 3a serie,0.0
427,physicsmacapa,outro,0.0
428,physicsumarizal,0,0.0
429,physicsumarizal,ef 2o ano,0.0
430,physicsumarizal,ef 3o ano,0.0
431,physicsumarizal,ef 4o ano,0.0
432,physicsumarizal,ef 5o ano,0.0
433,physicsumarizal,ef 6o ano,0.0
434,physicsumarizal,ef 8o ano,0.0
435,physicsconselheirofurtado,em 1a serie,0.0
436,physicsumarizal,ef 9o ano,0.0
437,physicsumarizal,em 1a serie,0.0
438,physicsumarizal,em 2a serie,0.0
439,physicsumarizal,em 3a serie,0.0
440,pioxi,0,0.0
441,pioxi,ef 1o ano,0.0
442,pioxi,ef 2o ano,0.0
443,pioxi,ef 3o ano,0.0
444,pioxi,ef 4o ano,0.0
445,pioxi,ef 5o ano,0.0
446,pioxi,ef 6o ano,0.0
447,pioxi,ef 7o ano,0.0
448,pioxi,ef 8o ano,0.0
449,pioxi,ef 9o ano,0.0
450,physicsconselheirofurtado,em 2a serie,0.0
451,physicsconselheirofurtado,0,0.0
452,pioxi,em 2a serie,0.0
453,physicsbatistacampos,ef 5o ano,0.0
454,physicsaugustomontenegro,ef 4o ano,0.0
455,physicsaugustomontenegro,ef 5o ano,0.0
456,educandarioterciocorreia,ef 5o ano,0.0
457,physicsaugustomontenegro,ef 7o ano,0.0
458,physicsaugustomontenegro,ef 8o ano,0.0
459,physicsaugustomontenegro,ef 9o ano,0.0
460,physicsaugustomontenegro,em 1a serie,0.0
461,physicsaugustomontenegro,em 2a serie,0.0
462,physicsaugustomontenegro,em 3a serie,0.0
463,physicsaugustomontenegro,outro,0.0
464,physicsbatistacampos,0,0.0
465,physicsbatistacampos,ef 2o ano,0.0
466,physicsbatistacampos,ef 3o ano,0.0
467,physicsbatistacampos,ef 4o ano,0.0
468,physicsbatistacampos,ef 6o ano,0.0
469,physicscidadenova,outro,0.0
470,physicsbatistacampos,ef 7o ano,0.0
471,physicsbatistacampos,ef 8o ano,0.0
472,physicsbatistacampos,ef 9o ano,0.0
473,physicscidadenova,ef 2o ano,0.0
474,physicscidadenova,ef 3o ano,0.0
475,physicscidadenova,ef 4o ano,0.0
476,physicscidadenova,ef 5o ano,0.0
477,physicscidadenova,ef 6o ano,0.0
478,physicscidadenova,ef 7o ano,0.0
479,physicscidadenova,ef 8o ano,0.0
480,physicscidadenova,ef 9o ano,0.0
481,physicscidadenova,em 1a serie,0.0
482,physicscidadenova,em 2a serie,0.0
483,physicscidadenova,em 3a serie,0.0
484,pioxi,em 1a serie,0.0
485,pioxi,em 3a serie,0.0
486,progressaoig,outro,0.0
487,prismapatrocinio,em 2a serie,0.0
488,portoseguro,0,0.0
489,portoseguro,ef 4o ano,0.0
490,positivoon,em 3a serie,0.0
491,prevest,0,0.0
492,prevest,outro,0.0
493,primeirodemaio,0,0.0
494,prismapatrocinio,ef 2o ano,0.0
495,prismapatrocinio,ef 4o ano,0.0
496,prismapatrocinio,ef 5o ano,0.0
497,prismapatrocinio,ef 6o ano,0.0
498,prismapatrocinio,ef 7o ano,0.0
499,prismapatrocinio,ef 8o ano,0.0
500,prismapatrocinio,ef 9o ano,0.0
501,prismapatrocinio,em 1a serie,0.0
502,prismapatrocinio,em 3a serie,0.0
503,porto,em 2a serie,0.0
504,prismapatrocinio,outro,0.0
505,profederal,0,0.0
506,profederal,outro,0.0
507,progressaodc,0,0.0
508,progressaodc,em 1a serie,0.0
509,progressaodc,em 2a serie,0.0
510,progressaodc,em 3a serie,0.0
511,progressaoig,0,0.0
512,progressaoig,ef 6o ano,0.0
513,progressaoig,ef 7o ano,0.0
514,progressaoig,ef 9o ano,0.0
515,progressaoig,em 1a serie,0.0
516,progressaoig,em 2a serie,0.0
517,progressaoig,em 3a serie,0.0
518,porto,em 3a serie,0.0
519,porto,em 1a serie,0.0
520,pioxi,outro,0.0
521,portinari,0,0.0
522,pioxiicolegio,ef 9o ano,0.0
523,pioxiicolegio,em 1a serie,0.0
524,pioxiicolegio,em 2a serie,0.0
525,pioxiicolegio,em 3a serie,0.0
526,plannetaosasco,ef 2o ano,0.0
527,plannetaosasco,ef 3o ano,0.0
528,plannetataboao,ef 1o ano,0.0
529,plannetataboao,ef 2o ano,0.0
530,plannetataboao,ef 3o ano,0.0
531,plannetataboao,ef 4o ano,0.0
532,plannetataboao,ef 5o ano,0.0
533,poliedro,0,0.0
534,poliedropv,0,0.0
535,poliedrotreinamento,0,0.0
536,portinari,ef 2o ano,0.0
537,porto,ef 9o ano,0.0
538,portinari,ef 3o ano,0.0
539,portinari,ef 4o ano,0.0
540,portinari,ef 5o ano,0.0
541,portinari,ef 6o ano,0.0
542,portinari,ef 7o ano,0.0
543,portinari,ef 8o ano,0.0
544,portinari,ef 9o ano,0.0
545,portinari,em 1a serie,0.0
546,portinari,em 2a serie,0.0
547,portinari,em 3a serie,0.0
548,porto,0,0.0
549,porto,ef 6o ano,0.0
550,porto,ef 7o ano,0.0
551,porto,ef 8o ano,0.0
552,educandarioterciocorreia,ef 6o ano,0.0
553,educandarioterciocorreia,ef 4o ano,0.0
554,acessoalmirantetamandare,ef 3o ano,0.0
555,ceprimeiromundo,ef 9o ano,0.0
556,ciadosaber,ef 2o ano,0.0
557,charlesdarwin,0,0.0
558,ceprimeiromundo,outro,0.0
559,ceprimeiromundo,em 3a serie,0.0
560,ceprimeiromundo,em 2a serie,0.0
561,ceprimeiromundo,em 1a serie,0.0
562,ceprimeiromundo,ef 8o ano,0.0
563,colegioalphaunis,ef 7o ano,0.0
564,ceprimeiromundo,ef 7o ano,0.0
565,ceprimeiromundo,ef 6o ano,0.0
566,ceprimeiromundo,ef 5o ano,0.0
567,ceprimeiromundo,ef 4o ano,0.0
568,ceprimeiromundo,ef 3o ano,0.0
569,ceprimeiromundo,ef 2o ano,0.0
570,ciadosaber,ef 3o ano,0.0
571,ciadosaber,ef 4o ano,0.0
572,ciadosaber,ef 5o ano,0.0
573,ciadosaber,ef 6o ano,0.0
574,ciadosaber,ef 7o ano,0.0
575,ciadosaber,ef 8o ano,0.0
576,ciadosaber,ef 9o ano,0.0
577,cmdpii,em 2a serie,0.0
578,cnslpb,ef 6o ano,0.0
579,cnslpb,ef 7o ano,0.0
580,cnslpb,ef 8o ano,0.0
581,cnslpb,ef 9o ano,0.0
582,cnslpb,em 1a serie,0.0
583,cnslpb,em 2a serie,0.0
584,cnslpb,em 3a serie,0.0
585,cognitivo,0,0.0
586,colegioalphaunis,0,0.0
587,ceprimeiromundo,ef 1o ano,0.0
588,ceprimeiromundo,0,0.0
589,cem,em 3a serie,0.0
590,ceespacolivre,ef 6o ano,0.0
591,cbpdigital,ef 8o ano,0.0
592,cbpdigital,ef 9o ano,0.0
593,ceabb,ef 3o ano,0.0
594,ceabb,ef 4o ano,0.0
595,ceabb,ef 5o ano,0.0
596,ceabb,ef 6o ano,0.0
597,ceabb,ef 7o ano,0.0
598,ceabb,ef 8o ano,0.0
599,ceabb,ef 9o ano,0.0
600,cecbdf,em 1a serie,0.0
601,cecbdf,em 2a serie,0.0
602,cecbdf,em 3a serie,0.0
603,ceespacolivre,0,0.0
604,ceespacolivre,ef 5o ano,0.0
605,ceespacolivre,ef 7o ano,0.0
606,cem,em 2a serie,0.0
607,ceespacolivre,ef 8o ano,0.0
608,ceespacolivre,ef 9o ano,0.0
609,ceespacolivre,em 1a serie,0.0
610,ceespacolivre,em 2a serie,0.0
611,cem,0,0.0
612,cem,ef 2o ano,0.0
613,cem,ef 3o ano,0.0
614,cem,ef 4o ano,0.0
615,cem,ef 5o ano,0.0
616,cem,ef 6o ano,0.0
617,cem,ef 7o ano,0.0
618,cem,ef 8o ano,0.0
619,cem,ef 9o ano,0.0
620,cem,em 1a serie,0.0
621,colegioalphaunis,ef 6o ano,0.0
622,colegioalphaunis,ef 8o ano,0.0
623,cbpdigital,ef 6o ano,0.0
624,colegiobilac,ef 8o ano,0.0
625,colegiobrasilia,ef 5o ano,0.0
626,colegiobrasilia,ef 4o ano,0.0
627,colegiobrasilia,ef 3o ano,0.0
628,colegiobrasilia,ef 2o ano,0.0
629,colegiobrasilia,0,0.0
630,colegiobilac,ef 9o ano,0.0
631,colegiobilac,ef 7o ano,0.0
632,colegioalphaunis,ef 9o ano,0.0
633,colegiobilac,ef 6o ano,0.0
634,colegiobilac,ef 5o ano,0.0
635,colegiobilac,ef 4o ano,0.0
636,colegiobilac,ef 3o ano,0.0
637,colegiobilac,ef 2o ano,0.0
638,colegiobilac,ef 1o ano,0.0
639,colegiobrasilia,ef 6o ano,0.0
640,colegiobrasilia,ef 7o ano,0.0
641,colegiobrasilia,ef 8o ano,0.0
642,colegiobrasilia,ef 9o ano,0.0
643,colegiobrasilia,em 1a serie,0.0
644,colegiobrasilia,em 2a serie,0.0
645,colegiobrasilia,em 3a serie,0.0
646,colegiobrasilia,outro,0.0
647,colegiocb,0,0.0
648,colegiocb,ef 3o ano,0.0
649,colegiocb,ef 4o ano,0.0
650,colegiocb,ef 5o ano,0.0
651,colegiocb,ef 6o ano,0.0
652,colegiocb,ef 7o ano,0.0
653,colegiocb,ef 8o ano,0.0
654,colegiocb,ef 9o ano,0.0
655,colegiocb,em 1a serie,0.0
656,colegiobianguloiv,em 3a serie,0.0
657,colegiobianguloiv,em 2a serie,0.0
658,colegiobianguloiv,em 1a serie,0.0
659,colegiobatistaindependente,0,0.0
660,colegioalphaunis,em 1a serie,0.0
661,colegioalphaunis,em 2a serie,0.0
662,colegioalphaunis,em 3a serie,0.0
663,colegioanchietai,em 1a serie,0.0
664,colegioanchietai,em 2a serie,0.0
665,colegioanchietai,em 3a serie,0.0
666,colegioanchietaii,em 1a serie,0.0
667,colegioanchietaii,em 2a serie,0.0
668,colegioanchietaii,em 3a serie,0.0
669,colegioarena,0,0.0
670,colegioarena,em 1a serie,0.0
671,colegioarena,em 2a serie,0.0
672,colegioarena,em 3a serie,0.0
673,colegioarena,outro,0.0
674,colegiobatistaindependente,ef 5o ano,0.0
675,colegiobetelbrasileirosp,em 3a serie,0.0
676,colegiobatistaindependente,ef 6o ano,0.0
677,colegiobatistaindependente,ef 7o ano,0.0
678,colegiobatistaindependente,ef 8o ano,0.0
679,colegiobatistaindependente,ef 9o ano,0.0
680,colegiobatistaindependente,em 1a serie,0.0
681,colegiobatistaindependente,em 2a serie,0.0
682,colegiobatistaindependente,em 3a serie,0.0
683,colegiobatistaindependente,outro,0.0
684,colegiobetelbrasileirosp,ef 6o ano,0.0
685,colegiobetelbrasileirosp,ef 7o ano,0.0
686,colegiobetelbrasileirosp,ef 8o ano,0.0
687,colegiobetelbrasileirosp,ef 9o ano,0.0
688,colegiobetelbrasileirosp,em 1a serie,0.0
689,colegiobetelbrasileirosp,em 2a serie,0.0
690,cbpdigital,ef 7o ano,0.0
691,cbpdigital,ef 5o ano,0.0
692,educandarioterciocorreia,ef 3o ano,0.0
693,acessofazendariogrande,outro,0.0
