,namespace,grade,gerados
139,cbpdigital,ef 5o ano,0.0
551,educandarioterciocorreia,ef 3o ano,0.0
43,acessofazendariogrande,outro,0.0
49,acessohauer,ef 6o ano,0.0
48,acessohauer,ef 5o ano,0.0
47,acessohauer,ef 4o ano,0.0
46,acessohauer,ef 3o ano,0.0
45,acessohauer,ef 2o ano,0.0
44,acessohauer,0,0.0
42,acessofazendariogrande,em 3a serie,0.0
68,acessosjpinhais,ef 2o ano,0.0
41,acessofazendariogrande,em 2a serie,0.0
40,acessofazendariogrande,em 1a serie,0.0
39,acessofazendariogrande,ef 9o ano,0.0
38,acessofazendariogrande,ef 8o ano,0.0
37,acessofazendariogrande,ef 7o ano,0.0
36,acessofazendariogrande,ef 6o ano,0.0
50,acessohauer,ef 7o ano,0.0
51,acessopinhais,em 1a serie,0.0
52,acessopinhais,em 2a serie,0.0
53,acessopinhais,em 3a serie,0.0
54,acessopinhais,outro,0.0
55,acessosantafelicidade,ef 2o ano,0.0
56,acessosantafelicidade,ef 3o ano,0.0
57,acessosantafelicidade,ef 4o ano,0.0
58,acessosantafelicidade,ef 5o ano,0.0
59,acessosantafelicidade,ef 6o ano,0.0
60,acessosantafelicidade,ef 7o ano,0.0
61,acessosantafelicidade,ef 8o ano,0.0
62,acessosantafelicidade,ef 9o ano,0.0
63,acessosantafelicidade,em 1a serie,0.0
64,acessosantafelicidade,em 2a serie,0.0
65,acessosantafelicidade,em 3a serie,0.0
66,acessosantafelicidade,outro,0.0
35,acessofazendariogrande,ef 5o ano,0.0
34,acessofazendariogrande,ef 4o ano,0.0
33,acessofazendariogrande,ef 3o ano,0.0
16,acessoboqueirao,em 2a serie,0.0
2,acessoalmirantetamandare,ef 4o ano,0.0
3,acessoalmirantetamandare,ef 5o ano,0.0
4,acessoalmirantetamandare,ef 6o ano,0.0
5,acessoalmirantetamandare,ef 7o ano,0.0
6,acessoalmirantetamandare,ef 8o ano,0.0
7,acessoalmirantetamandare,ef 9o ano,0.0
8,acessoalmirantetamandare,em 1a serie,0.0
9,acessoalmirantetamandare,em 2a serie,0.0
10,acessoalmirantetamandare,em 3a serie,0.0
11,acessoalmirantetamandare,outro,0.0
12,acessoboqueirao,0,0.0
13,acessoboqueirao,ef 8o ano,0.0
14,acessoboqueirao,ef 9o ano,0.0
15,acessoboqueirao,em 1a serie,0.0
17,acessoboqueirao,em 3a serie,0.0
32,acessofazendariogrande,ef 2o ano,0.0
18,acessoboqueirao,outro,0.0
19,acessocampolargo,ef 6o ano,0.0
20,acessocampolargo,ef 7o ano,0.0
21,acessocampolargo,ef 8o ano,0.0
22,acessocampolargo,ef 9o ano,0.0
23,acessocampolargo,em 1a serie,0.0
24,acessocampolargo,em 2a serie,0.0
25,acessocampolargo,em 3a serie,0.0
26,acessocampolargo,outro,0.0
27,acessocampolargokids,ef 2o ano,0.0
28,acessocampolargokids,ef 3o ano,0.0
29,acessocampolargokids,ef 4o ano,0.0
30,acessocampolargokids,ef 5o ano,0.0
31,acessocampolargokids,outro,0.0
67,acessosjpinhais,0,0.0
69,acessosjpinhais,ef 3o ano,0.0
138,cbpdigital,ef 4o ano,0.0
114,amaisteste,em 1a serie,0.0
120,aprovest,outro,0.0
119,apogeustoantonio2,outro,0.0
118,apogeustoantonio2,ef 9o ano,0.0
117,apogeustoantonio2,0,0.0
116,anchietaba,0,0.0
115,amaisteste,em 3a serie,0.0
113,amaisteste,ef 9o ano,0.0
70,acessosjpinhais,ef 4o ano,0.0
112,amaisteste,ef 6o ano,0.0
111,amaisteste,ef 3o ano,0.0
110,amais,outro,0.0
109,amais,em 3a serie,0.0
108,amais,0,0.0
107,amadeus,em 3a serie,0.0
121,arlindocavalcanti,0,0.0
122,beityaacov,0,0.0
123,beityaacov,em 3a serie,0.0
124,bertelsmann,0,0.0
125,brasilcursinhos,0,0.0
126,brasilcursinhos,outro,0.0
127,camerinocursos,0,0.0
128,camerinocursos,outro,0.0
129,casdinhosjc,ef 8o ano,0.0
130,casdinhosjc,ef 9o ano,0.0
131,casdvest,0,0.0
132,casdvest,outro,0.0
133,castelobruxo,0,0.0
134,cats,outro,0.0
135,cbpdigital,0,0.0
136,cbpdigital,ef 2o ano,0.0
137,cbpdigital,ef 3o ano,0.0
106,amadeus,em 2a serie,0.0
105,amadeus,em 1a serie,0.0
104,amadeus,ef 9o ano,0.0
85,aescobjetivo,ef 3o ano,0.0
71,acessosjpinhais,ef 5o ano,0.0
72,acessosjpinhais,ef 6o ano,0.0
73,acessosjpinhais,ef 7o ano,0.0
74,acessosjpinhais,ef 8o ano,0.0
75,acessosjpinhais,ef 9o ano,0.0
76,acessosjpinhais,em 1a serie,0.0
77,acessosjpinhais,em 2a serie,0.0
78,acessosjpinhais,em 3a serie,0.0
79,acessosjpinhais,outro,0.0
80,adrianochan,0,0.0
81,adrianochan,outro,0.0
82,aescobjetivo,0,0.0
83,aescobjetivo,ef 1o ano,0.0
84,aescobjetivo,ef 2o ano,0.0
86,aescobjetivo,ef 4o ano,0.0
103,amadeus,ef 8o ano,0.0
87,aescobjetivo,ef 5o ano,0.0
88,aescobjetivo,ef 6o ano,0.0
89,aescobjetivo,ef 7o ano,0.0
90,aescobjetivo,ef 8o ano,0.0
91,aescobjetivo,ef 9o ano,0.0
94,aescobjetivo,em 3a serie,0.0
95,alfacembilingue,0,0.0
96,amadeus,0,0.0
97,amadeus,ef 2o ano,0.0
98,amadeus,ef 3o ano,0.0
99,amadeus,ef 4o ano,0.0
100,amadeus,ef 5o ano,0.0
101,amadeus,ef 6o ano,0.0
102,amadeus,ef 7o ano,0.0
276,colegiocb,em 2a serie,0.0
277,colegiocb,em 3a serie,0.0
278,colegiocognos,0,0.0
458,colegiouniverso,ef 6o ano,0.0
464,colegiouniverso,em 3a serie,0.0
463,colegiouniverso,em 2a serie,0.0
462,colegiouniverso,em 1a serie,0.0
461,colegiouniverso,ef 9o ano,0.0
460,colegiouniverso,ef 8o ano,0.0
459,colegiouniverso,ef 7o ano,0.0
457,colegiouirapuru,em 3a serie,0.0
483,contemporaneo,em 3a serie,0.0
456,colegiouirapuru,em 2a serie,0.0
455,colegiouirapuru,em 1a serie,0.0
454,colegiouirapuru,ef 9o ano,0.0
453,colegiouirapuru,ef 8o ano,0.0
452,colegiouirapuru,ef 7o ano,0.0
451,colegiouirapuru,ef 6o ano,0.0
465,colegioup,0,0.0
466,colegioup,ef 6o ano,0.0
467,colegioup,ef 7o ano,0.0
468,colegioup,ef 8o ano,0.0
469,colegioup,ef 9o ano,0.0
470,colegioup,em 1a serie,0.0
471,colegioup,em 2a serie,0.0
472,colegioup,em 3a serie,0.0
473,conexaosaber,0,0.0
474,conexaosaber,ef 1o ano,0.0
475,conexaosaber,ef 2o ano,0.0
476,conexaosaber,ef 3o ano,0.0
477,conexaosaber,ef 4o ano,0.0
478,conexaosaber,ef 5o ano,0.0
479,conexaosaber,ef 6o ano,0.0
480,conexaosaber,ef 7o ano,0.0
481,conexaosaber,ef 8o ano,0.0
450,colegiouirapuru,ef 5o ano,0.0
449,colegiouirapuru,ef 4o ano,0.0
448,colegiouirapuru,ef 3o ano,0.0
431,colegiopremium,em 2a serie,0.0
417,colegioplanck,em 1a serie,0.0
418,colegioplanck,em 2a serie,0.0
419,colegioplanck,em 3a serie,0.0
420,colegioplanck,outro,0.0
421,colegiopremium,ef 1o ano,0.0
422,colegiopremium,ef 2o ano,0.0
423,colegiopremium,ef 3o ano,0.0
424,colegiopremium,ef 4o ano,0.0
425,colegiopremium,ef 5o ano,0.0
426,colegiopremium,ef 6o ano,0.0
427,colegiopremium,ef 7o ano,0.0
428,colegiopremium,ef 8o ano,0.0
429,colegiopremium,ef 9o ano,0.0
430,colegiopremium,em 1a serie,0.0
432,colegiopremium,em 3a serie,0.0
447,colegiosete,em 3a serie,0.0
433,colegioprogresso,0,0.0
434,colegioradar,0,0.0
435,colegioriobranco,0,0.0
436,colegiosantamaria,0,0.0
437,colegioser,0,0.0
438,colegioser,outro,0.0
439,colegiosete,0,0.0
440,colegiosete,ef 5o ano,0.0
441,colegiosete,ef 6o ano,0.0
442,colegiosete,ef 7o ano,0.0
443,colegiosete,ef 8o ano,0.0
444,colegiosete,ef 9o ano,0.0
445,colegiosete,em 1a serie,0.0
446,colegiosete,em 2a serie,0.0
482,conexaosaber,ef 9o ano,0.0
484,contemporaneocidadeverde,0,0.0
279,colegiodasamericas,0,0.0
527,cursosazambuja,0,0.0
533,deltaeducacional,em 3a serie,0.0
532,deltaeducacional,em 2a serie,0.0
531,deltaeducacional,em 1a serie,0.0
530,deltaeducacional,0,0.0
529,dante,em 3a serie,0.0
528,cursosazambuja,outro,0.0
526,cursoprogressao,0,0.0
485,contemporaneocidadeverde,ef 3o ano,0.0
525,cursoleopoldo,outro,0.0
524,cursoleopoldo,em 3a serie,0.0
523,cursoisfera,outro,0.0
522,cursoisfera,0,0.0
521,cursoenfase,outro,0.0
520,cursobase,0,0.0
534,dommga,em 3a serie,0.0
535,domus,em 1a serie,0.0
536,domus,em 2a serie,0.0
537,domus,em 3a serie,0.0
538,eacorcovado,ef 8o ano,0.0
539,eacorcovado,em 1a serie,0.0
540,eacorcovado,em 2a serie,0.0
541,eacorcovado,em 3a serie,0.0
542,eccos,0,0.0
543,eccos,ef 3o ano,0.0
544,eccos,ef 4o ano,0.0
545,eccos,ef 5o ano,0.0
546,eccos,ef 6o ano,0.0
547,eccos,ef 7o ano,0.0
548,eccos,ef 8o ano,0.0
549,eccos,ef 9o ano,0.0
550,educamais,ef 6o ano,0.0
519,cursinhoeach,0,0.0
518,crescercampinas,em 3a serie,0.0
517,crescercampinas,em 2a serie,0.0
500,contemporaneolagoanova,em 2a serie,0.0
486,contemporaneocidadeverde,ef 5o ano,0.0
487,contemporaneocidadeverde,ef 6o ano,0.0
488,contemporaneocidadeverde,ef 7o ano,0.0
489,contemporaneocidadeverde,ef 8o ano,0.0
490,contemporaneocidadeverde,ef 9o ano,0.0
491,contemporaneocidadeverde,em 1a serie,0.0
492,contemporaneocidadeverde,em 2a serie,0.0
493,contemporaneocidadeverde,em 3a serie,0.0
494,contemporaneolagoanova,0,0.0
495,contemporaneolagoanova,ef 6o ano,0.0
496,contemporaneolagoanova,ef 7o ano,0.0
497,contemporaneolagoanova,ef 8o ano,0.0
498,contemporaneolagoanova,ef 9o ano,0.0
499,contemporaneolagoanova,em 1a serie,0.0
501,contemporaneolagoanova,em 3a serie,0.0
516,crescercampinas,em 1a serie,0.0
502,cparaiso,0,0.0
503,crb,ef 6o ano,0.0
504,crb,ef 7o ano,0.0
505,crb,ef 8o ano,0.0
506,crb,ef 9o ano,0.0
507,crb,em 1a serie,0.0
508,crb,em 2a serie,0.0
509,crb,em 3a serie,0.0
510,crb,outro,0.0
511,crescercampinas,0,0.0
512,crescercampinas,ef 6o ano,0.0
513,crescercampinas,ef 7o ano,0.0
514,crescercampinas,ef 8o ano,0.0
515,crescercampinas,ef 9o ano,0.0
416,colegioplanck,ef 9o ano,0.0
415,colegioplanck,ef 8o ano,0.0
414,colegioplanck,ef 7o ano,0.0
321,colegioensitec,ef 5o ano,0.0
327,colegioensitec,em 2a serie,0.0
326,colegioensitec,em 1a serie,0.0
325,colegioensitec,ef 9o ano,0.0
324,colegioensitec,ef 8o ano,0.0
323,colegioensitec,ef 7o ano,0.0
322,colegioensitec,ef 6o ano,0.0
320,colegioensitec,ef 4o ano,0.0
413,colegioplanck,ef 6o ano,0.0
319,colegioensitec,ef 3o ano,0.0
318,colegioensitec,ef 2o ano,0.0
317,colegioeducallis,em 3a serie,0.0
316,colegioeducallis,em 2a serie,0.0
315,colegioeducallis,em 1a serie,0.0
314,colegioeducallis,ef 9o ano,0.0
328,colegioensitec,em 3a serie,0.0
329,colegioflamingo,em 1a serie,0.0
330,colegioflamingo,em 2a serie,0.0
331,colegioflamingo,em 3a serie,0.0
332,colegiofuturageracao,ef 3o ano,0.0
333,colegiofuturageracao,ef 4o ano,0.0
334,colegiofuturageracao,ef 5o ano,0.0
335,colegiofuturageracao,ef 6o ano,0.0
336,colegiofuturageracao,ef 7o ano,0.0
337,colegiofuturageracao,ef 8o ano,0.0
338,colegiofuturageracao,ef 9o ano,0.0
339,colegiofuturageracao,em 1a serie,0.0
340,colegioglobal,0,0.0
341,colegioglobal,ef 2o ano,0.0
342,colegioglobal,ef 3o ano,0.0
343,colegioglobal,ef 4o ano,0.0
344,colegioglobal,ef 5o ano,0.0
313,colegioeducallis,ef 8o ano,0.0
312,colegioeducallis,ef 7o ano,0.0
311,colegioeducallis,ef 6o ano,0.0
294,colegioecursodesafio,em 1a serie,0.0
280,colegiodasamericas,ef 6o ano,0.0
281,colegiodasamericas,ef 7o ano,0.0
282,colegiodasamericas,ef 8o ano,0.0
283,colegiodasamericas,ef 9o ano,0.0
284,colegiodasamericas,em 1a serie,0.0
285,colegiodasamericas,em 2a serie,0.0
286,colegiodasamericas,em 3a serie,0.0
287,colegiodasamericas,outro,0.0
288,colegiodompedrosegundo,0,0.0
289,colegioeag,ef 1o ano,0.0
290,colegioeag,ef 3o ano,0.0
291,colegioeag,ef 4o ano,0.0
292,colegioeag,ef 5o ano,0.0
293,colegioecursodesafio,ef 1o ano,0.0
295,colegioecursodesafio,em 2a serie,0.0
310,colegioeducallis,ef 5o ano,0.0
296,colegioecursodesafio,em 3a serie,0.0
297,colegioecursoprogressao,0,0.0
298,colegioecursoprogressao,ef 1o ano,0.0
299,colegioecursoprogressao,ef 6o ano,0.0
300,colegioecursoprogressao,ef 7o ano,0.0
301,colegioecursoprogressao,ef 8o ano,0.0
302,colegioecursoprogressao,ef 9o ano,0.0
303,colegioecursoprogressao,em 1a serie,0.0
304,colegioecursoprogressao,em 2a serie,0.0
305,colegioecursoprogressao,em 3a serie,0.0
306,colegioeducallis,0,0.0
307,colegioeducallis,ef 2o ano,0.0
308,colegioeducallis,ef 3o ano,0.0
309,colegioeducallis,ef 4o ano,0.0
345,colegioglobal,ef 6o ano,0.0
346,colegioglobal,ef 7o ano,0.0
347,colegioglobal,ef 8o ano,0.0
397,colegiomagnum,em 2a serie,0.0
383,colegiojoaopaulo,ef 4o ano,0.0
384,colegiojoaopaulo,ef 5o ano,0.0
385,colegiojoaopaulo,ef 6o ano,0.0
386,colegiojoaopaulo,ef 7o ano,0.0
387,colegiojoaopaulo,ef 8o ano,0.0
388,colegiojoaopaulo,ef 9o ano,0.0
389,colegiojoaopaulo,em 1a serie,0.0
390,colegiojoaopaulo,em 2a serie,0.0
391,colegiojoaopaulo,em 3a serie,0.0
392,colegiojoaopaulo,outro,0.0
393,colegioliceu,em 1a serie,0.0
394,colegioliceu,em 2a serie,0.0
395,colegioliceu,em 3a serie,0.0
396,colegiomagnum,em 1a serie,0.0
398,colegiomagnum,em 3a serie,0.0
381,colegiointegral,outro,0.0
399,colegiomodelo,0,0.0
400,colegiomundial,ef 6o ano,0.0
401,colegiomundial,ef 9o ano,0.0
402,colegiomundial,em 1a serie,0.0
403,colegiomundial,em 2a serie,0.0
404,colegiomundial,em 3a serie,0.0
405,colegionobre,0,0.0
406,colegionobre,ef 6o ano,0.0
407,colegionovageracao,ef 2o ano,0.0
408,colegionovageracao,ef 3o ano,0.0
409,colegionovageracao,ef 4o ano,0.0
410,colegionovageracao,ef 5o ano,0.0
411,colegionovopatio,0,0.0
412,colegioplanck,0,0.0
382,colegiojoaopaulo,0,0.0
380,colegiointegral,em 3a serie,0.0
348,colegioglobal,ef 9o ano,0.0
363,colegioiguatemy,ef 7o ano,0.0
349,colegioglobal,em 1a serie,0.0
350,colegioglobal,em 2a serie,0.0
351,colegioglobal,em 3a serie,0.0
352,colegioguilhermedealmeida,ef 6o ano,0.0
353,colegioguilhermedealmeida,ef 7o ano,0.0
354,colegioguilhermedealmeida,ef 8o ano,0.0
355,colegioguilhermedealmeida,ef 9o ano,0.0
356,colegioguilhermedealmeida,em 1a serie,0.0
357,colegioguilhermedealmeida,em 2a serie,0.0
358,colegioguilhermedealmeida,em 3a serie,0.0
359,colegioiguatemy,ef 3o ano,0.0
360,colegioiguatemy,ef 4o ano,0.0
361,colegioiguatemy,ef 5o ano,0.0
362,colegioiguatemy,ef 6o ano,0.0
364,colegioiguatemy,ef 8o ano,0.0
379,colegiointegral,em 2a serie,0.0
365,colegioiguatemy,ef 9o ano,0.0
366,colegioiguatemy,em 1a serie,0.0
367,colegioiguatemy,em 2a serie,0.0
368,colegioiguatemy,em 3a serie,0.0
369,colegiointegral,0,0.0
370,colegiointegral,ef 2o ano,0.0
371,colegiointegral,ef 3o ano,0.0
372,colegiointegral,ef 4o ano,0.0
373,colegiointegral,ef 5o ano,0.0
374,colegiointegral,ef 6o ano,0.0
375,colegiointegral,ef 7o ano,0.0
376,colegiointegral,ef 8o ano,0.0
377,colegiointegral,ef 9o ano,0.0
378,colegiointegral,em 1a serie,0.0
1103,wilsondeandradebarreto,em 1a serie,0.0
