,namespace,Nº de AAs copiadas da estante mágica e aplicada,Início da classificação / Visualizações do relatório,Finalização da classificação / Início da classificação,Finalização da classificação / Visualizações do relatório,Porcentagem de visualização dos relatórios de AD,Porcentagem de professores que visualizaram relatórios de AD,Porcentagem de administradores que visualizaram relatórios de AD,Nº de exercícios em relatórios de AD / exercícios disponibilizados,Média de exercícios em relatórios de AD por turma,Média
50,acessopinhais,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.014814814814814812
51,educarse,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.014814814814814812
52,colegioarena,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.013888888888888888
53,colegioglobal,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.013888888888888888
54,stellamarisjuveve,0.0,0.0,0.0,0.0,0.0,0.043859649122807,0.0789473684210526,0.0,0.0,0.013645224171539955
55,physicsbatistacampos,0.0,0.0,0.0,0.0,0.0,0.0192307692307692,0.1,0.0,0.0,0.013247863247863246
56,acessosantafelicidade,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.0,0.0130718954248366
57,physicsconselheirofurtado,0.0,0.0,0.0,0.0,0.0,0.0,0.1153846153846153,0.0,0.0,0.01282051282051281
58,colegiodasamericas,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.012708787218591132
59,physicsumarizal,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.012345679012345678
60,casdinhosjc,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.012345679012345678
61,acessoalmirantetamandare,0.0,0.0,0.0,0.0,0.0,0.0,0.1034482758620689,0.0,0.0,0.011494252873563211
62,acessofazendariogrande,0.0,0.0,0.0,0.0,0.0,0.054054054054054,0.0333333333333333,0.0,0.0,0.0097097097097097
63,physicsmacapa,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.0,0.0,0.009661835748792267
64,colegioeducallis,0.0,0.010204081632653,0.0,0.0,0.0,0.0,0.074074074074074,0.0,0.0,0.009364239522969667
65,moppe,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.009259259259259255
66,contemporaneocidadeverde,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.009259259259259255
67,colegiojoaopaulo,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0666666666666666,0.0,0.0,0.0089506172839506
68,integra,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.007936507936507933
69,colegioguilhermedealmeida,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.007936507936507933
70,stellamarisaguaverde,0.0,0.0,0.0,0.0,0.0,0.025,0.0454545454545454,0.0,0.0,0.007828282828282823
71,pioxi,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074074074074074
72,alpha,0.0,0.0,0.0,0.0,0.0,0.0133333333333333,0.0476190476190476,0.0,0.0,0.006772486772486767
73,acessoboqueirao,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0065359477124183
74,poliedro,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.005555555555555556
75,casdvest,0.0,0.0,0.0,0.0,0.0,0.02,0.0285714285714285,0.0,0.0,0.0053968253968253894
76,colegiosete,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.005050505050505045
77,overjoaopessoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,0.0,0.004830917874396133
78,stellamarisxaxim,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0046296296296296224
79,contemporaneolagoanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.004273504273504267
80,acessocampolargo,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0037037037037037
81,overabelcabral,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0037037037037037
82,villalobos,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030441400304414
83,physicsaugustomontenegro,0.0,0.0,0.0,0.0,0.0,0.0266666666666666,0.0,0.0,0.0,0.0029629629629629554
84,amadeus,0.0,0.0,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0,0.002923976608187133
85,cbpdigital,0.0,0.0259740259740259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028860028860028778
86,overmossoro,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.002777777777777778
87,crb,0.0,0.00418410041841,0.0,0.0,0.0,0.0,0.0203389830508474,0.0,0.0,0.002724787052139711
88,novotempo,0.0,0.0,0.0,0.0,0.0,0.0,0.0178571428571428,0.0,0.0,0.001984126984126978
89,apogeu,0.0,0.0,0.0,0.0,0.0,0.0,0.0103092783505154,0.0,0.0,0.0011454753722794889
90,colegiointegral,0.0,0.009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010010010010010001
91,maplebearslz,0.0,0.0076923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008547008547008444
92,gabrielrtaliuli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,galileugalilei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,futuroeducacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,gdv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,fundacaoeducar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,fsjb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,fmu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,gef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,jhg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,lourdinascg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,miraflores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,mesalva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,mestrezecaamancio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,milhaense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,moniquebarreto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,meninojesuspe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,mayrink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,cpchamberlain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,cpcentenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,cparaiso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,cotemig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,coracaodejesus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,coracao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,coopermundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,fmit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,genesisstellamaris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,florestasenadorcanedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,geraeduca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,espacoamais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,especificocn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,esperoqueestesejaok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,esramada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,estantefix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,esteioeducacaoadventista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,estudar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,etaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,etsaomatheus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,eucorrijo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,eurekacolegio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,fisicamarginal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,flordenicedacosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,gestaodenegocios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,genesiscolegioecurso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,ginasiodeeducacaodavinci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,girassolcrecheescola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,gislainerosati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,gracinha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,granbery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,grupoiep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,grupopreve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,guidotti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,habilis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,harmoniabilingue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,genius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,highline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,conteudos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,contratos2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,marciliopires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,zuleideconstantino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,marialuiza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,objetivosorocaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,nuvemvoadora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
