,namespace,Semana,Porcentagem de visualização de relatórios de AA
136,aescobjetivo,28,0.9120879120879121
137,aescobjetivo,29,0.6142857142857143
138,aescobjetivo,30,0.698943661971831
139,aescobjetivo,31,0.5902616760516728
140,aescobjetivo,32,0.530550918196995
141,aescobjetivo,33,0.17106347897774113
142,aescobjetivo,34,0.09299895506792058
143,aescobjetivo,35,0.04654088050314465
144,albertsabin,23,0.0
145,albertsabin,24,0.0
146,albertsabin,25,0.0
147,albertsabin,27,0.0
148,albertsabin,28,0.0
149,albertsabin,29,0.0
150,albertsabin,30,0.0
151,albertsabin,32,0.0
152,albertsabin,33,0.0
153,albertsabin,34,0.0
154,albertsabin,35,0.0
155,alfacembilingue,23,0.0
156,alfacembilingue,24,0.0
157,alfacembilingue,25,0.0
158,alfacembilingue,27,0.0
159,alfacembilingue,28,0.0
160,alfacembilingue,29,0.0
161,alfacembilingue,30,0.0
162,alfacembilingue,32,0.0
163,alfacembilingue,33,0.0
164,alfacembilingue,34,0.0
165,alfacembilingue,35,0.0
166,alfeurosa,23,0.0
167,alfeurosa,24,0.0
168,alfeurosa,25,0.0
169,alfeurosa,26,0.0
170,alfeurosa,27,0.0
171,alfeurosa,28,0.0
172,alfeurosa,31,0.0
173,alfeurosa,32,0.0
174,alfeurosa,33,0.0
175,alfeurosa,35,0.0
176,alpha,23,0.0
177,alpha,24,0.0
178,alpha,25,0.0
179,alpha,26,0.0
180,alpha,27,0.0
181,alpha,28,0.0
182,alpha,31,0.0
183,alpha,32,0.0
184,alpha,33,0.0
185,alpha,35,0.0
186,amadeus,23,0.4707623982235381
187,amadeus,24,0.23661033087360153
188,amadeus,26,0.0
189,amadeus,27,0.0
190,amadeus,29,0.030756442227763924
191,amadeus,30,0.1541436464088398
192,amadeus,31,0.15307057745187902
193,amadeus,32,0.8214285714285714
194,amadeus,33,0.8256658595641646
195,amadeus,34,0.40515106488360575
196,amadeus,35,0.11103542234332425
197,amais,23,0.0
198,amais,24,0.0
199,amais,25,0.0
200,amais,26,0.0
201,amais,27,0.0
202,amais,28,0.0
203,amais,31,0.0
204,amais,32,0.0
205,amais,33,0.0
206,amais,34,0.0
207,amais,35,0.0
208,amaismaker,23,0.0
209,amaismaker,24,0.0
210,amaismaker,25,0.0
211,amaismaker,26,0.0
212,amaismaker,33,0.0
213,amaismaker,34,0.0
214,amaisteste,28,0.10714285714285714
215,amaisteste,33,0.0
216,amaisteste,35,0.0
217,anchietaba,23,0.0
218,anchietaba,24,0.0
219,anchietaba,25,0.0
220,anchietaba,27,0.0
221,anchietaba,28,0.0
222,anchietaba,29,0.0
223,anchietaba,30,0.0
224,anchietaba,32,0.0
225,anchietaba,33,0.0
226,anchietaba,34,0.0
227,anchietaba,35,0.0
228,anossaatmosfera,23,0.0
229,anossaatmosfera,24,0.0
230,anossaatmosfera,25,0.0
231,anossaatmosfera,26,0.0
232,anossaatmosfera,27,0.0
233,anossaatmosfera,28,0.0
234,anossaatmosfera,31,0.0
235,anossaatmosfera,32,0.0
236,anossaatmosfera,33,0.0
237,anossaatmosfera,35,0.0
238,apogeubenfica,23,0.0
239,apogeubenfica,24,0.0
240,apogeubenfica,25,0.0
241,apogeubenfica,29,0.0
242,apogeubenfica,32,0.0
243,apogeupousoalegre,23,0.0
244,apogeupousoalegre,25,0.0
245,apogeupousoalegre,26,0.0
246,apogeupousoalegre,29,0.0
247,apogeupousoalegre,32,0.0
248,apogeustoantonio1,23,0.0
249,apogeustoantonio1,25,0.0
250,apogeustoantonio1,26,0.0
251,apogeustoantonio1,29,0.0
252,apogeustoantonio1,32,0.0
253,apogeustoantonio2,23,0.4533762057877814
254,apogeustoantonio2,24,0.5637583892617449
255,apogeustoantonio2,25,0.24390243902439024
256,apogeustoantonio2,26,0.3588235294117647
257,apogeustoantonio2,28,0.7954545454545454
258,apogeustoantonio2,29,0.2925531914893617
259,apogeustoantonio2,31,0.5555555555555556
260,apogeustoantonio2,32,0.32432432432432434
261,apogeustoantonio2,34,0.6590909090909091
262,aprovest,27,0.8588235294117647
263,arena,23,0.0
264,arena,24,0.0
265,arena,25,0.0
266,arena,27,0.0
267,arena,28,0.0
268,arena,29,0.0
269,arena,30,0.0
270,arena,32,0.0
271,arena,33,0.0
272,arena,34,0.0
273,arena,35,0.0
274,arlindocavalcanti,25,0.0
275,atmo,23,0.0
276,atmo,24,0.0
