,namespace,Semana,Número de AAs por turma
172,casdvest,27,0.4
173,casdvest,28,1.0
174,casdvest,29,1.0
175,casdvest,30,0.2
176,casdvest,31,0.2
177,casdvest,32,0.2
178,casdvest,33,0.2
179,castelobruxo,30,1.0
180,cats,29,1.0
181,cats,30,1.0
182,cats,34,1.0
183,cbpdigital,23,1.4
184,cbpdigital,24,4.588235294117647
185,cbpdigital,25,1.0
186,cbpdigital,26,0.25
187,cbpdigital,31,1.1666666666666667
188,cbpdigital,32,1.0
189,cbpdigital,33,1.0
190,cbpdigital,34,1.6875
191,cbpdigital,35,2.0
192,ceabb,26,1.5
193,ceabb,27,1.7142857142857142
194,ceabb,31,2.0
195,ceabb,35,14.2
196,cecbdf,33,0.16666666666666666
197,cecbdf,34,0.3333333333333333
198,ceespacolivre,23,0.6666666666666666
199,ceespacolivre,24,1.7333333333333334
200,ceespacolivre,25,1.5555555555555556
201,ceespacolivre,26,1.0
202,ceespacolivre,27,1.4
203,ceespacolivre,28,1.0
204,ceespacolivre,32,2.5
205,ceespacolivre,33,4.666666666666667
206,ceespacolivre,34,2.0
207,ceespacolivre,35,1.0
208,cem,23,5.3
209,cem,24,1.5
210,cem,25,1.0
211,cem,31,1.6666666666666667
212,cem,32,3.0
213,cem,33,4.454545454545454
214,cem,34,1.4
215,cem,35,2.3333333333333335
216,ceprimeiromundo,23,0.7428571428571429
217,ceprimeiromundo,24,1.25
218,ceprimeiromundo,25,0.8571428571428571
219,ceprimeiromundo,26,2.0
220,ceprimeiromundo,27,1.0
221,ceprimeiromundo,28,0.5416666666666666
222,ceprimeiromundo,29,1.0
223,ceprimeiromundo,30,0.5
224,ceprimeiromundo,31,1.7
225,ceprimeiromundo,32,2.9523809523809526
226,ceprimeiromundo,33,1.696969696969697
227,ceprimeiromundo,34,1.5416666666666667
228,ceprimeiromundo,35,2.076923076923077
229,charlesdarwin,24,1.0
230,charlesdarwin,27,1.0
231,ciadosaber,23,3.1333333333333333
232,ciadosaber,24,1.4
233,ciadosaber,25,2.8333333333333335
234,ciadosaber,30,1.75
235,ciadosaber,31,1.0
236,ciadosaber,32,1.4444444444444444
237,ciadosaber,33,2.1
238,ciadosaber,34,2.4166666666666665
239,cmdpii,33,3.0
240,cmdpii,34,6.0
241,cnslpb,23,1.2222222222222223
242,cnslpb,24,1.625
243,cnslpb,25,1.0
244,cnslpb,26,1.6666666666666667
245,cnslpb,28,0.5
