,namespace,Semana,numero_ex
220,ceprimeiromundo,27,74.57894736842105
962,physicsmacapa,33,74.125
939,physicsaugustomontenegro,33,74.125
933,physicsalmirantebarroso,33,74.125
110,aescobjetivo,24,73.875
1230,universitariolondrina,30,73.82758620689656
1237,universobarcarena,24,73.75
471,colegiopremium,33,73.61538461538461
1233,universitariolondrina,33,72.94444444444444
883,overmossoro,23,72.72727272727273
111,aescobjetivo,25,72.6
852,overabelcabral,35,72.53333333333333
917,overzonanorte,33,72.33333333333333
1236,universobarcarena,23,72.27272727272727
872,overmarciliofurtado,25,71.75
1227,universitariolondrina,27,71.57142857142857
339,colegioecursodesafio,23,71.47368421052632
968,physicsumarizal,33,71.0
554,crescercampinas,33,70.88461538461539
946,physicsbatistacampos,33,70.875
500,colegiouniverso,24,70.77777777777777
926,physicsalcindocacela,27,70.0
502,colegiouniverso,26,70.0
503,colegiouniverso,32,70.0
1234,universitariolondrina,34,69.69767441860465
13,acessoboqueirao,25,68.93333333333334
438,colegiojoaopaulo,34,68.88888888888889
819,nucleocriativo,25,68.625
28,acessocampolargo,27,68.25
543,crb,32,68.07462686567165
1129,santamariacn,29,67.5
507,colegioup,25,66.66666666666667
1178,souhabilis,32,66.66666666666667
732,invictus,33,66.14285714285714
909,overzonanorte,23,66.0
1231,universitariolondrina,31,65.87096774193549
931,physicsalmirantebarroso,25,65.28571428571429
1244,universobarcarena,31,65.22727272727273
645,elitecuritibaemilianoperneta,27,65.0
163,casdinhosjc,23,64.83333333333333
340,colegioecursodesafio,24,64.6
890,overmossoro,33,64.53333333333333
52,acessofazendariogrande,33,63.72727272727273
79,acessosantafelicidade,26,63.333333333333336
191,cbpdigital,35,63.0
792,master,27,62.75352112676056
117,aescobjetivo,32,62.64
157,brasilcursinhos,28,62.5
436,colegiojoaopaulo,32,62.45
46,acessofazendariogrande,25,61.55555555555556
350,colegioecursoprogressao,32,61.53846153846154
842,overabelcabral,25,61.5
1084,provaspoliedro,26,61.35
103,adrianochan,26,61.0
513,colegioup,35,61.0
996,poliedropv,28,60.75
1000,poliedropv,32,60.75
205,ceespacolivre,33,60.666666666666664
993,poliedropv,24,60.6
509,colegioup,27,60.55555555555556
919,overzonanorte,35,60.5
900,overpontanegra,25,60.46153846153846
1027,portoseguro,35,60.23809523809524
840,overabelcabral,23,60.06666666666667
950,physicscidadenova,26,60.0
1176,souhabilis,30,60.0
1177,souhabilis,31,60.0
167,casdinhosjc,31,60.0
997,poliedropv,29,60.0
1031,primeirodemaio,31,60.0
1032,primeirodemaio,32,60.0
1001,poliedropv,34,60.0
999,poliedropv,31,60.0
749,jazzvestibular,35,60.0
998,poliedropv,30,60.0
995,poliedropv,26,60.0
754,macvest,23,60.0
44,acessofazendariogrande,23,59.666666666666664
2,acessoalmirantetamandare,25,59.125
871,overmarciliofurtado,24,59.07692307692308
891,overmossoro,34,58.4375
158,brasilcursinhos,29,58.333333333333336
1077,progressaoig,32,58.333333333333336
1232,universitariolondrina,32,57.89655172413793
24,acessocampolargo,23,57.875
279,colegiobatistaindependente,34,57.69230769230769
25,acessocampolargo,24,57.666666666666664
510,colegioup,28,57.54545454545455
918,overzonanorte,34,57.11764705882353
689,garra,24,57.0
785,mariliamattoso,33,56.916666666666664
778,mariliamattoso,26,56.5
3,acessoalmirantetamandare,26,56.142857142857146
22,acessoboqueirao,34,56.0
908,overpontanegra,35,55.75
789,master,24,55.67080745341615
930,physicsalmirantebarroso,24,55.333333333333336
133,amais,33,55.0
642,elitecuritibaemilianoperneta,24,55.0
78,acessosantafelicidade,25,54.81818181818182
1239,universobarcarena,26,54.76923076923077
12,acessoboqueirao,24,54.666666666666664
48,acessofazendariogrande,27,54.36363636363637
1096,psantagema,26,54.357142857142854
587,cursosazambuja,29,54.283018867924525
53,acessofazendariogrande,34,54.27272727272727
1035,prismapatrocinio,25,54.19047619047619
172,casdvest,27,54.0
257,colegioalphaunis,33,54.0
516,conexaosaber,25,54.0
965,physicsumarizal,24,53.84615384615385
786,mariliamattoso,34,53.75
31,acessocampolargo,32,53.5
881,overmarciliofurtado,34,53.5
72,acessopinhais,32,53.0
419,colegiointegral,28,53.0
1043,prismapatrocinio,34,52.80952380952381
910,overzonanorte,24,52.8
0,acessoalmirantetamandare,23,52.75
124,amadeus,29,52.666666666666664
140,apogeustoantonio2,24,52.6
33,acessocampolargo,34,52.5
23,acessoboqueirao,35,51.666666666666664
590,cursosazambuja,33,51.44444444444444
373,colegioflamingo,23,51.4
479,colegiosete,23,51.25
148,aprovest,27,51.0
168,casdinhosjc,33,51.0
874,overmarciliofurtado,27,51.0
141,apogeustoantonio2,25,51.0
1059,progressaodc,25,51.0
166,casdinhosjc,27,51.0
89,acessosjpinhais,25,50.833333333333336
1060,progressaodc,26,50.666666666666664
428,colegiojoaopaulo,24,50.6
1169,simuladoita,26,50.5
1212,stellamarisxaxim,26,50.5
856,overjoaopessoa,26,50.333333333333336
374,colegioflamingo,24,50.333333333333336
659,escolaceciliameireles,27,50.25
216,ceprimeiromundo,23,50.2
