,namespace,Semana,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Tempo de correção por aluno por questão,Tempo médio entre criação e publicação de AA por questão,Tempo médio entre publicação e ínicio de AA,Porcentagem de visualização de relatórios de AA,Porcentagem de relatórios de AA visualizados por docente
40,colegiobilac,32.0,0.9952718676122932,1.2,12.8,0,0 days 00:01:05.692064941,3 days 10:22:34.026236500,0.1659574468085106,1.0
41,cursosazambuja,27.0,0.9940828402366864,0.3333333333333333,48.66666666666666,0,0 days 05:44:26.979706729,0 days 11:38:32.395938500,0.3783783783783784,1.0
42,colegiobilac,31.0,0.9936481634907484,2.0,22.444444444444443,0 days 02:16:02.929944600,0 days 00:04:54.607195448,1 days 12:26:05.143094055,0.5147744945567652,0.7575757575757577
43,spdacruz,24.0,0.993223897690399,2.0303030303030303,39.15151515151515,0 days 12:37:53.540457878,0 days 01:09:11.147253285,4 days 12:38:39.658292910,0.8537886872998933,0.8820436507936509
44,colegiobilac,34.0,0.99291975724882,1.8571428571428568,23.285714285714285,0 days 01:06:08.605099,0 days 00:02:42.308624876,3 days 15:47:29.766083538,0.0,0.824829931972789
45,spdacruz,26.0,0.992902767920511,0.5454545454545454,9.909090909090908,0 days 00:39:39.623761,0 days 00:00:43.963334979,1 days 08:31:12.139066333,0.4729729729729729,0.7916666666666666
46,crescercampinas,30.0,0.9923076923076924,0.3333333333333333,10.0,0 days 02:43:48.600753,1 days 08:18:26.607418150,8 days 12:23:34.596297,0.8666666666666667,1.0
47,integradaeducativa,31.0,0.9922337278106508,1.5,11.833333333333334,0 days 01:04:37.327975,0 days 00:06:07.128278186,0 days 00:07:42.432598555,0.4939759036144578,1.0
48,pioxi,34.0,0.9920318725099602,0.3636363636363636,10.0,0,0 days 04:31:32.091771550,0 days 16:13:44.831757750,0.147410358565737,0.111111111111111
49,acessoboqueirao,31.0,0.991411501120239,0.5833333333333334,7.416666666666667,0,0 days 06:17:46.324419493,2 days 14:12:04.165991142,0.7917570498915402,1.0
50,acessohauer,34.0,0.9911894273127754,0.75,8.0,0 days 00:34:23.791359,0 days 02:54:17.628623500,3 days 04:51:18.467128666,0.6017699115044248,0.0
51,colegiobilac,33.0,0.9903846153846154,1.0,12.0,0,0 days 00:00:12.499561333,0 days 10:22:36.002837333,0.173076923076923,0.5
52,colegiocb,24.0,0.989976287993102,3.7777777777777777,39.333333333333336,0,0 days 00:06:48.987800224,1 days 01:13:08.231209911,0.734375,0.8416666666666668
53,progressaodc,31.0,0.9898477157360406,4.5,47.0,0 days 18:36:27.710436,0 days 00:00:39.269560756,3 days 08:08:57.524259555,0.6388888888888888,0.6666666666666666
54,overlimaesilva,25.0,0.9896907216494846,0.8333333333333334,10.0,0,0 days 00:00:55.644747580,0 days 01:58:52.308536200,0.7010309278350515,1.0
55,colegioflamingo,25.0,0.9896613190730836,2.833333333333333,39.5,0 days 04:24:30.680410500,0 days 00:00:36.478321488,0 days 13:34:13.874745823,0.58,0.9111111111111112
56,magister,30.0,0.9895245769540691,1.2,12.4,0 days 00:50:28.126574250,0 days 03:36:03.668565396,11 days 18:45:14.423406166,0.6788990825688074,0.875
57,stellamarisxaxim,32.0,0.9891402714932128,1.6666666666666667,25.33333333333333,0,0 days 05:10:05.062185133,0 days 16:49:27.151408600,0.3789473684210526,0.8333333333333333
58,integra,34.0,0.9876385336743392,2.0,26.55555555555556,0,0 days 04:48:30.570398895,5 days 03:52:35.399362777,0.6698113207547169,0.8461538461538461
59,colegiofuturageracao,33.0,0.9873737373737372,2.0,19.6,0 days 00:05:34.600503333,0 days 00:56:51.157588679,6 days 14:49:34.353599500,0.6296296296296297,0.5961538461538461
60,colegiobetelbrasileirosp,31.0,0.9867549668874172,1.0,8.666666666666666,0,0 days 00:02:26.189778283,11 days 15:30:26.411960333,0.5774647887323944,1.0
61,overlimaesilva,24.0,0.9865030674846624,2.333333333333333,28.88888888888889,0,0 days 00:00:44.251681257,0 days 12:41:22.294799,0.8508557457212714,1.0
