,namespace,Semana,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Tempo de correção por aluno por questão,Tempo médio entre criação e publicação de AA por questão,Tempo médio entre publicação e ínicio de AA,Porcentagem de visualização de relatórios de AA,Porcentagem de relatórios de AA visualizados por docente
498,elitecuritibaemilianoperneta,33.0,0.6608695652173913,0.2,96.0,0,0 days 00:01:08.551734770,1 days 01:31:28.240165,0.4485294117647059,0.0
499,einsteinassis,25.0,0.658433734939759,3.142857142857143,18.857142857142858,0 days 02:18:26.656244,0 days 00:00:38.041777547,0 days 13:18:30.188382227,0.3317073170731707,0.85
500,integradaeducativa,26.0,0.6561987344738692,1.1666666666666667,8.5,0 days 05:31:04.882270714,0 days 00:09:45.567591570,0 days 10:27:17.847173666,0.7715179968701096,1.0
501,colegioarena,24.0,0.6555959963603276,1.7272727272727273,17.272727272727273,0,0 days 11:20:17.956831310,0 days 12:11:21.188500394,0.6046405823475887,0.0185185185185185
502,physicscidadenova,34.0,0.6510721247563352,0.125,90.0,0,0 days 00:00:02.523777055,1 days 18:50:16.459518,0.3728155339805825,0.0
503,colegioflamingo,26.0,0.6492103075644223,1.2,21.4,0,0 days 00:00:20.899960427,0 days 19:37:35.186784166,0.1794871794871795,0.8571428571428571
504,stellamarisxaxim,23.0,0.6487368830159347,1.7777777777777777,38.5,0,0 days 00:15:21.006262775,4 days 11:55:18.410177625,0.6059479553903345,1.0
505,villalobos,33.0,0.6476654253795474,2.2857142857142856,10.857142857142858,0 days 08:41:58.991148500,0 days 00:00:59.471408481,6 days 13:30:26.681055406,0.6387362637362637,0.8529411764705882
506,casdinhosjc,27.0,0.6470588235294118,0.25,51.0,0,0 days 00:00:35.244376725,0 days 00:00:39.947785,0.5607843137254902,0.0
507,colegioarena,23.0,0.6444159178433889,2.833333333333333,28.33333333333333,0,0 days 10:32:06.040702785,1 days 11:03:41.588692588,0.5196833547282841,0.1273148148148148
508,mariliamattoso,32.0,0.6431468961278427,2.75,30.25,0,0 days 00:05:37.559175830,5 days 11:45:25.038147181,0.668010752688172,0.9090909090909092
509,acessohauer,25.0,0.6428571428571429,1.25,12.75,0 days 00:07:44.611070,0 days 03:13:35.808104632,1 days 06:30:53.274575,0.7123287671232876,1.0
510,escolamaster,23.0,0.6423841059602649,0.4090909090909091,15.454545454545457,0,0 days 00:00:33.294250077,2 days 17:36:18.888661444,0.3741721854304636,0.6933333333333332
511,colegiodasamericas,34.0,0.640625,1.2,6.0,0,0 days 00:00:23.273640600,4 days 08:16:33.151340833,0.78125,0.75
512,cursoenfase,24.0,0.64,1.0,7.0,0,0 days 00:01:41.545380571,0 days 02:09:26.597665,0.56,0.5
513,amadeus,34.0,0.6394569632998854,1.206896551724138,33.37931034482759,0,0 days 00:04:47.033098696,0 days 15:27:10.416738400,0.4051510648836057,0.5809523809523809
514,master,25.0,0.6350651432873484,0.2572815533980582,34.37864077669903,0,0 days 02:53:25.119394627,2 days 23:16:17.858606981,0.3005561172901921,0.0
515,adrianochan,25.0,0.6346604215456675,0.008,1.0,0,0 days 00:01:28.359369,0 days 00:02:21.388121,0.5657276995305164,1.0
516,psantagema,34.0,0.6258503401360545,0.6,14.7,0 days 02:25:58.121544,0 days 01:59:12.264510890,0 days 16:28:40.276171,0.7272727272727273,0.6666666666666666
517,eacorcovado,23.0,0.6253590480098482,0.7692307692307693,9.615384615384617,0,0 days 00:36:27.924206311,3 days 01:03:27.404802200,0.5357142857142857,0.7416666666666667
518,porto,33.0,0.6250457133901051,2.0434782608695654,49.73913043478261,0,0 days 02:10:57.680462851,1 days 21:10:40.681119297,0.4315701091519731,0.5993382961124897
519,stellamarisxaxim,33.0,0.6244289754187513,1.0,26.83333333333333,0,0 days 00:19:37.261145543,2 days 12:39:48.784387666,0.5658153241650294,0.9285714285714286
520,isem,31.0,0.6223506743737958,1.0,10.666666666666666,0,0 days 00:00:45.900067894,3 days 22:01:17.082020666,0.5463917525773195,0.8
521,minhalista,25.0,0.6166666666666667,5.0,15.0,0,0 days 00:01:29.790701546,-1 days +23:59:20.648053400,0.2333333333333333,0.75
522,acessoboqueirao,27.0,0.6165948908681609,3.0,78.61538461538461,0,0 days 05:42:24.781547398,1 days 03:36:57.516017051,0.2394822006472491,0.0
523,eacorcovado,24.0,0.6160714285714286,1.0,10.0,0,0 days 03:00:59.406113368,1 days 07:43:47.899901833,0.408,0.875
524,crb,26.0,0.6072231776690038,0.9310344827586208,23.724137931034484,0 days 00:05:26.476559,0 days 00:48:20.902766288,1 days 09:04:19.144935185,0.3820662768031189,0.0
525,villalobos,24.0,0.6068066618392469,1.9375,10.5,0 days 02:43:03.766483400,0 days 00:01:42.026834778,5 days 01:30:09.236478258,0.5974607916355489,0.982456140350877
526,ceprimeiromundo,23.0,0.6054580501166683,0.7428571428571429,50.2,0,0 days 01:31:57.273782633,38 days 16:38:36.384709115,0.4645426515930113,0.7555555555555556
527,elitecuritibaemilianoperneta,25.0,0.6032608695652174,4.0,40.0,0,0 days 00:36:09.181281175,4 days 12:45:08.575248875,0.4416666666666666,0.8636363636363636
528,universobarcarena,24.0,0.6022903583302549,6.8125,73.75,0,0 days 00:01:03.045157567,2 days 20:19:12.319506715,0.3923959827833572,0.5716289882956549
529,villalobos,32.0,0.6008215752813002,2.294117647058824,10.117647058823527,0 days 01:10:55.878851500,0 days 00:10:32.182627929,6 days 05:15:11.002857487,0.658273381294964,0.925925925925926
530,physicsaugustomontenegro,24.0,0.5985533453887885,1.0,18.88888888888889,0,0 days 00:27:25.051700377,7 days 15:19:28.367941888,0.2829670329670329,0.9333333333333332
531,mariliamattoso,23.0,0.5978013314646111,3.0,74.75,0,0 days 00:03:20.373900836,2 days 03:50:27.853608416,0.7566241413150148,0.9404761904761904
532,acessosjpinhais,24.0,0.5974973931178311,2.1333333333333333,41.06666666666667,0 days 00:16:29.505331,0 days 01:38:01.295137349,1 days 17:08:16.064032562,0.5332114564290067,0.9166666666666669
533,master,24.0,0.5968427334044593,0.4658385093167702,55.67080745341615,0,0 days 07:33:20.732652818,3 days 02:10:53.791344813,0.2586417242781618,0.0
534,prismapatrocinio,34.0,0.5938871522844242,2.6666666666666665,52.80952380952381,0,0 days 00:06:13.325056199,2 days 22:12:57.688646232,0.3865884939538292,0.6793650793650793
535,universitariolondrina,24.0,0.5912803514503672,2.323529411764706,98.08823529411764,0,0 days 00:46:04.720205199,3 days 05:27:25.534219354,0.3372464462545919,0.9377777777777776
536,physicscidadenova,24.0,0.5904365904365905,0.6666666666666666,18.88888888888889,0,0 days 00:00:50.177027416,1 days 20:33:42.838444833,0.5637583892617449,1.0
537,sagradafamilia,34.0,0.5899257345818534,2.5,229.75,0,0 days 08:54:50.839989241,0 days 23:36:17.639012400,0.2995594713656387,1.0
538,colegioalphaunis,24.0,0.5895841430237078,2.4285714285714284,28.142857142857142,0 days 00:52:56.501800833,0 days 01:48:42.267228151,8 days 20:59:29.889939529,0.5493562231759657,0.4099326599326599
539,colegioplanck,33.0,0.5885545610359931,0.8292682926829268,13.024390243902438,0,0 days 00:01:11.562602458,3 days 01:05:58.713027794,0.5488867376573088,0.0
540,isem,24.0,0.5876543209876544,1.6666666666666667,6.333333333333333,0,0 days 00:04:39.703813786,0 days 21:00:17.932056600,0.6744791666666666,1.0
541,universobarcarena,25.0,0.5875132150828145,2.6818181818181817,74.72727272727273,0,0 days 00:00:48.152653358,14 days 00:07:37.958116644,0.2994446817599316,0.4901960784313725
542,colegioup,26.0,0.5858050317611164,2.925925925925926,37.851851851851855,0 days 00:54:01.561674909,0 days 02:09:48.294361379,0 days 14:53:47.537483822,0.5137389597644749,0.607620540379161
543,colegioalphaunis,26.0,0.5834284627092846,2.125,39.125,0 days 00:55:49.246731,0 days 00:00:29.599245126,6 days 00:45:06.164919764,0.1639871382636656,0.8111111111111111
544,rede,35.0,0.5833333333333334,1.0,5.0,0,0 days 00:00:41.911422400,-1 days +23:59:09.088694,0.0,0.0
545,cnslpb,33.0,0.5833333333333334,1.0,9.0,0,0 days 00:00:05.327008777,0 days 00:00:44.887494,0.375,0.1666666666666666
546,maplebearslz,30.0,0.5830618892508144,1.6363636363636365,9.818181818181818,0,0 days 22:07:07.041295411,2 days 15:46:48.025116777,0.1206896551724138,0.5595238095238095
547,colegioeag,34.0,0.5824175824175825,1.5,15.0,0,0 days 00:00:29.992341333,1 days 19:18:38.147575333,0.6263736263736264,1.0
548,aescobjetivo,23.0,0.5819021724051827,2.0416666666666665,97.08333333333331,0 days 00:29:48.177861,0 days 00:23:14.729743559,4 days 03:36:51.942921714,0.4190503432494279,0.9635416666666669
549,adrianochan,26.0,0.5813084112149532,0.0073529411764705,61.0,0,0 days 01:08:23.263343639,-1 days +23:58:41.493217,0.4962825278810409,0.6363636363636364
550,elitecuritibaemilianoperneta,27.0,0.5797101449275363,0.3333333333333333,65.0,0,0 days 00:04:11.431091569,2 days 23:37:41.842121,0.3467741935483871,0.0
551,santamariacn,26.0,0.5792349726775956,1.0,3.2,0,0 days 00:02:35.956320020,0 days 00:19:24.428185200,0.5136612021857924,0.4
552,colegioeag,30.0,0.5789473684210527,1.0,6.25,0,0 days 00:49:11.995918050,12 days 05:31:46.054042500,0.4561403508771929,0.5714285714285714
553,universitariolondrina,33.0,0.5787563534500224,0.8333333333333334,72.94444444444444,0,0 days 00:02:43.280629893,2 days 20:48:26.223848900,0.5104025327905924,0.6777777777777778
554,villalobos,25.0,0.575353871773522,2.857142857142857,21.857142857142858,0 days 02:39:01.613857,0 days 00:05:13.101958648,2 days 22:40:19.737160575,0.5197044334975369,1.0
555,acessosjpinhais,32.0,0.575216053903618,0.7241379310344828,10.827586206896552,0 days 00:14:42.130659,0 days 04:53:01.433043985,2 days 00:00:07.930230285,0.6117256637168141,0.7857142857142857
556,colegiojoaopaulo,26.0,0.5743630573248407,2.0,45.1578947368421,0,0 days 00:00:26.708330978,3 days 08:38:59.851648342,0.7053140096618358,0.8622448979591837
557,elitecuritibaemilianoperneta,34.0,0.5683012259194395,1.2,100.0,0,0 days 05:42:47.537263846,2 days 15:53:32.759785833,0.4230769230769231,0.25
558,qescola,23.0,0.5660073260073261,2.8,13.2,0,0 days 00:00:23.722670456,53 days 18:14:32.220111214,0.0019138755980861,1.0
559,acessocampolargo,25.0,0.5651492902594224,2.75,46.375,0 days 01:49:30.326042571,0 days 02:19:54.887583755,2 days 01:17:11.776454045,0.6,0.5
560,pioxi,35.0,0.5639097744360902,0.5454545454545454,10.0,0,0 days 01:04:05.710326900,0 days 15:22:06.680349500,0.2781954887218045,0.2009803921568627
561,dommga,25.0,0.5628277335404933,2.0,271.0,0,0 days 01:04:14.236295508,4 days 13:30:46.085988750,0.5460526315789473,0.0
562,provaspoliedro,23.0,0.5610118164004513,0.6756756756756757,21.22972972972973,0 days 00:14:23.160831,0 days 02:25:10.043465415,2 days 21:26:59.217119040,0.2217238064722845,0.753623188405797
563,porto,27.0,0.5588235294117647,0.3333333333333333,6.0,0,0 days 03:10:23.773597833,0 days 00:00:41.683333,0.3786407766990291,1.0
564,mariliamattoso,31.0,0.5582706766917294,1.0,10.285714285714286,0,0 days 00:00:58.675974792,1 days 11:59:43.596062428,0.637065637065637,0.8571428571428571
565,novotempo,33.0,0.5576923076923077,0.1666666666666666,96.0,0,0 days 00:00:24.566157114,1 days 02:42:07.932291,0.4807692307692308,0.0
566,colegiouirapuru,32.0,0.5566239316239316,0.7083333333333334,14.375,0,0 days 00:00:46.874270574,0 days 20:44:19.472869176,0.1277419354838709,0.81875
567,escolaceciliameireles,28.0,0.5555555555555556,1.0,5.0,0,0 days 00:03:12.069863,6 days 02:22:39.587426,0.4444444444444444,0.5
568,overabelcabral,34.0,0.554993716713542,1.9230769230769231,45.0,0,0 days 00:03:30.958485213,1 days 20:39:31.962650220,0.5021834061135371,0.5997106481481481
569,casdinhosjc,33.0,0.5529411764705883,0.25,51.0,0,0 days 00:01:27.679693294,0 days 05:26:34.722561,0.4941176470588235,0.0
570,progressaodc,28.0,0.5514705882352942,1.6666666666666667,14.666666666666666,0,0 days 00:00:19.742854670,0 days 07:58:30.790701800,0.4331210191082802,0.6666666666666666
571,acessoalmirantetamandare,33.0,0.5510679611650485,1.1666666666666667,44.25,0 days 01:43:22.404363,0 days 00:47:03.730032529,3 days 00:36:39.964706428,0.6205533596837944,0.6
572,santadoroteia,34.0,0.5510670731707317,2.0,220.0,0,0 days 00:00:08.508511008,-1 days +23:56:53.429510500,0.075,0.0
573,overpontanegra,28.0,0.5489690721649485,1.0,9.666666666666666,0,0 days 00:00:10.809900333,36 days 10:10:37.709093333,0.5368421052631579,0.5
574,santamariacn,31.0,0.5488771466314399,0.75,13.0,0,0 days 05:51:08.013845466,0 days 09:24:22.185271,0.3407821229050279,0.6666666666666666
575,physicsmacapa,34.0,0.5476190476190477,0.25,90.0,0,0 days 00:01:08.539657466,1 days 21:52:12.579607,0.2619047619047619,0.0
576,universitariolondrina,31.0,0.5446651599857262,1.5806451612903225,65.87096774193549,0,0 days 00:01:01.932912784,2 days 14:35:04.870213959,0.4385459533607682,0.712962962962963
577,universitariolondrina,34.0,0.5446070294748038,1.0232558139534884,69.69767441860465,0,0 days 00:19:09.529082183,3 days 23:10:09.097691181,0.2409306980235176,0.6421875
578,portinari,23.0,0.5445170016272534,0.3846153846153846,30.97435897435897,0 days 02:52:58.574894,0 days 01:28:21.332509866,1 days 14:44:18.878785,0.7684848484848484,0.8181818181818182
579,acessosjpinhais,33.0,0.5435751791552459,0.6129032258064516,26.83870967741936,0 days 00:10:24.597832,0 days 00:33:56.045546188,3 days 03:30:57.286270526,0.6279826464208242,0.5512820512820512
580,colegioplanck,32.0,0.5420131918554632,0.8571428571428571,21.964285714285715,0,0 days 00:02:53.787413259,2 days 16:47:41.428956125,0.627906976744186,0.0
581,porto,26.0,0.5419442556084296,1.0,36.18181818181818,0,0 days 03:28:10.324975818,0 days 19:06:33.405527363,0.453232462173315,0.5972222222222222
582,acessoalmirantetamandare,27.0,0.5400755897302228,3.9166666666666665,43.66666666666666,0 days 06:14:06.976555,0 days 04:42:16.377315031,1 days 08:20:24.835438404,0.4351978171896316,0.9333333333333332
583,domus,34.0,0.5392156862745098,0.3333333333333333,90.0,0,0 days 00:00:35.597148900,1 days 22:41:51.598296,0.3529411764705882,0.0
584,prismapatrocinio,31.0,0.5385852090032154,1.3333333333333333,10.666666666666666,0,0 days 04:10:59.884424275,8 days 22:51:02.295376500,0.57,1.0
585,acessosantafelicidade,33.0,0.537262451869333,1.1428571428571428,45.142857142857146,0,0 days 01:24:49.574578063,3 days 01:35:56.235985375,0.6534017971758665,0.0
586,maplebearslz,25.0,0.535552536231884,2.3,35.2,0,1 days 21:07:48.220244230,1 days 14:50:08.650848521,0.4354838709677419,0.8703703703703705
587,ciadosaber,25.0,0.534446764091858,2.833333333333333,27.83333333333333,0,0 days 00:26:21.667982200,0 days 05:13:17.924354470,0.7083333333333334,0.7718253968253969
588,overabelcabral,25.0,0.5311685914135095,4.208333333333333,61.5,0,0 days 00:08:28.851123801,1 days 20:07:35.774331099,0.1910884504544447,0.8334523809523808
589,cnslpb,31.0,0.5284816980723414,1.75,11.166666666666666,0,0 days 01:10:37.700164304,1 days 16:02:53.774081190,0.2771241830065359,0.8083333333333332
590,aescobjetivo,33.0,0.5269204865100432,1.7727272727272727,75.9090909090909,0 days 01:14:45.939097,0 days 01:26:41.045359467,3 days 10:03:02.069166410,0.1710634789777411,0.7380952380952381
591,cursosazambuja,28.0,0.5263157894736842,0.6666666666666666,25.0,0,0 days 00:01:09.808895640,3 days 21:07:22.442296500,0.5789473684210527,0.6666666666666666
592,casdinhosjc,25.0,0.525231719876416,0.5,21.5,0,0 days 00:00:35.958307344,0 days 02:07:11.991463333,0.408695652173913,0.5
593,stellamarisaguaverde,24.0,0.52375,1.0833333333333333,20.166666666666668,0 days 01:11:51.278761500,0 days 00:34:50.404958274,3 days 19:48:00.275413769,0.5969696969696969,1.0
594,physicsbatistacampos,25.0,0.5232856618995233,1.625,96.25,0,0 days 00:01:32.115252528,5 days 10:57:00.273010615,0.5172932330827068,1.0
595,colegiojoaopaulo,32.0,0.5228634185303515,1.95,62.45,0,0 days 00:38:59.110144929,4 days 16:33:56.583628564,0.6489675516224189,0.8597222222222222
596,acessofazendariogrande,33.0,0.5227092580849715,1.181818181818182,63.72727272727273,0,0 days 08:05:31.572596385,0 days 11:25:15.315803307,0.6827094474153298,1.0
597,villalobos,34.0,0.5219512195121951,1.8333333333333333,9.5,0,0 days 00:08:34.402577358,5 days 05:04:10.444489212,0.5190156599552572,0.5910714285714286
598,acessoboqueirao,33.0,0.5209974636949252,0.7058823529411765,78.23529411764706,0,0 days 02:16:31.646211482,1 days 20:06:29.695978250,0.6198428290766208,1.0
599,institutosaojose,33.0,0.5203985711599924,1.1428571428571428,192.42857142857144,0,0 days 00:14:11.707085581,0 days 11:01:54.921307750,0.0828025477707006,0.0
600,qescola,31.0,0.5193465176268272,1.25,7.875,0,0 days 00:10:30.527663239,2 days 04:47:14.338104,0.0157480314960629,0.53125
601,acessocampolargo,30.0,0.5193065405831363,0.5,42.0,0,0 days 00:04:05.693050535,0 days 19:36:27.545465750,0.4666666666666667,0.0
602,itamarati,34.0,0.5176470588235295,1.0,8.5,0,0 days 00:00:37.070237888,0 days 10:58:08.202729,0.54,1.0
603,colegioplanck,30.0,0.5174275895925381,0.5,11.875,0,0 days 00:01:15.050503382,6 days 08:18:57.337171500,0.6594594594594595,0.0
604,brasilcursinhos,28.0,0.5168253968253969,1.5,62.5,0,0 days 00:57:19.948327307,1 days 01:26:47.065595,0.7235023041474654,0.0
605,colegioalphaunis,25.0,0.516522071957132,2.4545454545454546,45.45454545454545,0 days 02:21:44.737852666,0 days 00:25:35.562975490,7 days 23:22:13.557428666,0.3961240310077519,0.8772727272727273
606,crb,24.0,0.5165203786693537,2.7049180327868854,108.70491803278688,0 days 04:46:23.359722600,0 days 00:03:52.569273985,12 days 21:28:25.592674133,0.4985063752276867,0.0
607,lasalleaguasclaras,34.0,0.516425176770604,0.8181818181818182,221.0,0,0 days 00:11:05.117583357,-1 days +23:57:11.932951778,0.0229396771452846,0.0
608,overabelcabral,24.0,0.5144030653030846,2.931034482758621,42.0,0,0 days 00:02:07.604506497,2 days 12:39:21.726347623,0.2543338286280336,0.963655462184874
609,colegiocb,26.0,0.5140562248995983,1.0,8.5,0,0 days 00:26:03.987733821,36 days 02:37:48.013001125,0.7894736842105263,1.0
610,casdinhosjc,31.0,0.5137254901960784,0.25,60.0,0,0 days 00:00:18.866761050,0 days 08:19:30.161305,0.3725490196078431,0.0
611,acessocampolargo,33.0,0.5135168497716331,2.125,85.25,0 days 01:04:43.820686500,0 days 01:16:52.972267359,2 days 11:50:16.559268647,0.7308781869688386,0.0
612,novotempo,34.0,0.5128205128205128,0.1666666666666666,90.0,0,0 days 00:00:41.461850922,1 days 22:32:57.209019,0.391025641025641,0.0
613,porto,35.0,0.5121824104234528,1.9,13.0,0,0 days 00:04:47.536528008,0 days 09:53:42.954554578,0.2093023255813953,0.4212499999999999
614,contemporaneolagoanova,33.0,0.5100272585669782,3.625,159.0,0,0 days 00:00:50.171305085,1 days 16:45:35.362479103,0.5485474006116208,0.85
615,acessoalmirantetamandare,26.0,0.5076342425802024,2.7142857142857144,56.142857142857146,0 days 02:22:47.477453,0 days 01:22:22.490941524,2 days 11:37:57.715887736,0.4250871080139373,1.0
616,physicsconselheirofurtado,31.0,0.5074074074074074,0.1666666666666666,30.0,0,0 days 13:32:53.499922866,0 days 07:08:17.691927,0.1962962962962963,0.0
617,institutoauxiliadoradf,34.0,0.5064233848445354,3.0,221.0,0,0 days 00:14:30.674502674,-1 days +23:56:56.450497445,0.2197309417040358,0.0
618,macvest,23.0,0.5061728395061729,1.0,60.0,0,0 days 00:00:58.119274538,0 days 04:45:42.158609500,0.4957983193277311,0.0
619,portinari,34.0,0.5055612736146619,0.5121951219512195,37.926829268292686,0,0 days 01:23:01.037996106,1 days 18:46:30.568365750,0.5934925864909391,0.5833333333333334
620,physicsconselheirofurtado,23.0,0.5052257060262397,0.8181818181818182,138.27272727272728,0,0 days 00:05:27.242186146,1 days 00:25:11.883851555,0.3183000867302689,0.0
621,isem,30.0,0.5049975421923644,3.5,31.666666666666668,0,0 days 00:17:28.282814421,10 days 09:01:23.257759904,0.5318518518518518,0.875
622,apogeustoantonio2,24.0,0.5049460431654677,0.6,52.6,0,0 days 03:09:56.011771317,0 days 18:38:51.024884333,0.5637583892617449,0.0
623,physicsconselheirofurtado,32.0,0.5037037037037037,0.1666666666666666,35.0,0,0 days 01:33:37.928861057,0 days 12:21:38.487022,0.437037037037037,0.0
624,portinari,33.0,0.5019840596913685,0.4864864864864865,41.78378378378378,0 days 00:14:53.915095666,0 days 02:41:34.965270043,2 days 21:13:43.031474555,0.6748285994123409,0.703125
625,acessosjpinhais,26.0,0.5003847929813761,1.3,31.7,0 days 01:04:50.502981,0 days 01:56:52.685675988,1 days 22:20:03.004300307,0.4027777777777778,0.9002976190476191
626,seletivoeducallis,32.0,0.5,1.0,20.0,0,0 days 00:00:12.407386575,0 days 00:18:57.293467,0.0,0.0
627,positivoon,28.0,0.5,1.0,4.0,0,1 days 09:58:01.704925500,0 days 00:00:46.474698,0.0,0.0
628,amaisteste,28.0,0.5,0.5,5.0,0,0 days 00:01:08.925652200,-1 days +23:59:45.407214,0.1071428571428571,0.3333333333333333
629,aescobjetivo,32.0,0.4999780480309084,2.04,62.64,0 days 00:34:38.909824333,0 days 01:13:57.161433842,3 days 04:35:32.999546196,0.530550918196995,0.7761904761904762
630,prismapatrocinio,28.0,0.4995471600465778,1.0,14.4375,0,0 days 00:00:51.054561890,1 days 00:26:45.817005562,0.4214618973561431,0.7321428571428571
631,acessopinhais,26.0,0.4959770114942529,8.0,140.0,0,0 days 09:01:49.989727731,0 days 06:18:21.681813625,0.4098837209302325,1.0
632,provaspoliedro,30.0,0.4938003375203371,0.7543859649122807,18.350877192982452,0,0 days 03:37:25.266598950,2 days 11:23:17.499778093,0.1522894004553503,0.5
633,acessosantafelicidade,26.0,0.4933816710226794,3.0,63.333333333333336,0,0 days 02:47:59.962908862,2 days 01:58:43.275555611,0.3415841584158416,0.0
634,physicsmacapa,23.0,0.4925759204514915,2.2,108.3,0,0 days 00:01:42.347239405,1 days 04:22:14.907642,0.3880952380952381,1.0
635,acessofazendariogrande,26.0,0.4911349731552004,4.0,76.6,0,0 days 05:51:09.164949662,0 days 18:59:07.321071550,0.4374225526641883,0.75
636,simuladoita,26.0,0.489489333748228,1.5,50.5,0,0 days 14:59:54.782327797,2 days 16:00:18.511604,0.0163132137030995,0.0
637,colegiojoaopaulo,27.0,0.4893555394641564,1.4761904761904765,27.0,0,0 days 00:12:27.389505793,1 days 04:57:10.072792193,0.6288117770767613,0.8861111111111111
638,acessosantafelicidade,27.0,0.4880109457841628,4.0,49.285714285714285,0 days 01:41:07.665007,0 days 01:39:39.271850152,2 days 02:49:51.373149392,0.2675893886966551,0.0
639,escolamaster,33.0,0.4880016234589823,0.6923076923076923,216.3846153846154,0,0 days 00:01:58.625428925,0 days 15:27:32.034639,0.2014652014652014,0.0
640,overabelcabral,23.0,0.4875537558464388,1.7333333333333334,60.06666666666667,0,0 days 00:01:46.406637656,3 days 23:04:32.312141461,0.4437904649793996,0.8518518518518519
641,acessopinhais,33.0,0.4817374690941784,1.25,126.0,0,0 days 00:25:21.386526890,2 days 06:34:01.574945200,0.6336633663366337,0.0
642,stellamarisaguaverde,23.0,0.4803532008830022,1.0,14.0,0 days 06:56:44.543397,0 days 02:20:55.233431783,2 days 18:07:18.266303250,0.6264591439688716,1.0
643,overmarciliofurtado,34.0,0.4799176107106076,1.6,53.5,0,0 days 00:00:22.679692512,2 days 12:48:29.745903937,0.3766546329723225,0.5333333333333333
644,santoamerico,34.0,0.4791111111111111,0.6,5.0,0 days 00:26:56.544900,0 days 00:01:18.241092833,0 days 10:26:00.076566833,0.3484848484848485,1.0
645,colegiojoaopaulo,25.0,0.4783583483838824,1.6666666666666667,50.083333333333336,1 days 02:29:12.597661250,0 days 00:49:46.165211815,9 days 11:17:37.662474750,0.665785997357992,0.9761904761904762
646,acessoalmirantetamandare,25.0,0.4763275291408835,5.0,59.125,0,0 days 03:58:23.802532423,1 days 15:38:31.385327225,0.461038961038961,1.0
647,apogeustoantonio2,23.0,0.4755170029543026,0.7777777777777778,92.55555555555556,0,0 days 05:32:10.173978550,0 days 16:45:58.127927571,0.4533762057877814,0.0
648,acessosjpinhais,25.0,0.474185887634601,2.833333333333333,50.833333333333336,0,0 days 04:40:18.173561333,1 days 04:13:29.986097078,0.4412737799834574,0.6179365079365079
649,universitariolondrina,27.0,0.4735660258430507,2.0,71.57142857142857,0,0 days 00:04:15.013100749,0 days 11:40:39.895412571,0.1103783408538701,0.5416666666666666
650,mariliamattoso,33.0,0.4727864529685633,2.583333333333333,56.91666666666666,0,0 days 00:32:15.739572905,2 days 19:06:50.733572129,0.6746987951807228,0.869047619047619
651,physicscidadenova,25.0,0.4724019559419145,3.5,106.92857142857144,0,0 days 00:00:58.861152823,4 days 16:03:49.842744326,0.1002824858757062,0.0666666666666666
652,magister,24.0,0.472,1.0,29.5,0,0 days 00:00:05.790658237,0 days 00:01:32.215494500,0.0980392156862745,1.0
653,deltaeducacional,23.0,0.4708855640921957,1.0,40.75,0,0 days 00:00:23.662949438,0 days 14:39:51.607496250,0.5614754098360656,0.2291666666666666
654,overabelcabral,26.0,0.4706946069567067,2.75,35.45,0,0 days 00:09:04.114711432,1 days 05:38:34.181985200,0.2529623905203503,0.8366666666666666
655,stellamarisjuveve,23.0,0.4697805129664544,1.962962962962963,35.07407407407408,0 days 00:44:38.497921600,0 days 00:34:34.071354629,3 days 00:31:23.410942735,0.7179941002949852,0.9078947368421052
656,cbpdigital,25.0,0.4690909090909091,1.0,21.666666666666668,0,0 days 00:05:39.538513602,0 days 15:03:19.660823,0.4166666666666667,0.75
657,overmarciliofurtado,33.0,0.4689205037988884,1.681818181818182,31.545454545454547,0,0 days 00:00:26.856681538,1 days 21:55:57.688713243,0.6151898734177215,0.5361111111111111
658,conexaosaber,24.0,0.4677369077306733,3.4,29.0,0,0 days 00:03:57.709673712,3 days 00:18:41.701010382,0.0672703751617076,1.0
659,prismapatrocinio,35.0,0.4675324675324675,0.8571428571428571,20.23809523809524,0,0 days 00:00:57.744492003,1 days 17:22:31.620845333,0.4367816091954023,0.4583333333333333
660,liessinbarra,25.0,0.4642857142857143,1.0,10.0,0,0 days 00:01:13.021736100,0 days 07:14:32.877180,0.2857142857142857,1.0
661,acessoboqueirao,25.0,0.463304188645615,2.6666666666666665,68.93333333333334,0,0 days 03:14:40.037023373,1 days 08:10:34.641126475,0.3363022113022113,1.0
662,colegioplanck,31.0,0.4632390745501285,1.0,21.166666666666668,0,0 days 00:01:19.030128205,4 days 17:23:59.195748277,0.5881656804733728,0.0
663,conexaosaber,25.0,0.462737231908656,5.636363636363637,54.0,0,0 days 00:00:38.842632409,1 days 08:31:14.536687145,0.157968970380818,0.8511904761904763
664,acessosjpinhais,23.0,0.4591401128220765,1.1764705882352942,41.23529411764706,0 days 02:20:26.033230,0 days 00:32:00.478186965,2 days 06:47:30.557523700,0.5264462809917355,0.975
665,colegioecursoprogressao,35.0,0.457990115321252,1.0,9.55,0,0 days 00:02:34.567454518,0 days 10:13:11.043288300,0.3294117647058823,0.7833333333333334
666,master,33.0,0.4564331825870819,0.2629107981220657,26.92488262910798,0,0 days 06:02:04.809325925,3 days 18:07:47.294923250,0.2724826194213949,0.0
