,namespace,Semana,Porcentagem de relatórios de AA visualizados por docente
180,cnslpb,27,0.25
181,cnslpb,28,1.0
182,cnslpb,29,0.0
183,cnslpb,30,1.0
184,cnslpb,31,0.8083333333333332
185,cnslpb,32,0.75
186,cnslpb,33,0.16666666666666666
187,cnslpb,34,0.9166666666666666
188,cnslpb,35,0.625
189,cognitivo,32,0.0
190,colegioalphaunis,24,0.4099326599326599
191,colegioalphaunis,25,0.8772727272727273
192,colegioalphaunis,26,0.8111111111111111
193,colegioalphaunis,27,0.9285714285714286
194,colegioalphaunis,32,0.0
195,colegioalphaunis,33,0.5535087719298245
196,colegioalphaunis,34,1.0
197,colegioalphaunis,35,0.0
198,colegioarena,23,0.12731481481481483
199,colegioarena,24,0.018518518518518517
200,colegioarena,25,0.0
201,colegioarena,31,0.0
202,colegioarena,32,0.34722222222222215
203,colegioarena,33,0.1075
204,colegioarena,34,0.23431372549019608
205,colegioarena,35,0.04
206,colegiobatistaindependente,23,1.0
207,colegiobatistaindependente,24,0.6423076923076924
208,colegiobatistaindependente,25,0.7193858225108225
209,colegiobatistaindependente,26,0.9488888888888889
210,colegiobatistaindependente,27,0.8229166666666666
211,colegiobatistaindependente,28,0.5
212,colegiobatistaindependente,32,1.0
213,colegiobatistaindependente,33,0.8666666666666667
214,colegiobatistaindependente,34,0.7803030303030304
215,colegiobatistaindependente,35,1.0
216,colegiobetelbrasileirosp,23,0.9814814814814815
217,colegiobetelbrasileirosp,24,0.9761904761904762
218,colegiobetelbrasileirosp,25,1.0
219,colegiobetelbrasileirosp,26,0.0
220,colegiobetelbrasileirosp,31,1.0
221,colegiobetelbrasileirosp,32,0.9265873015873017
222,colegiobetelbrasileirosp,33,1.0
223,colegiobetelbrasileirosp,34,1.0
224,colegiobetelbrasileirosp,35,1.0
225,colegiobilac,23,0.8755555555555554
226,colegiobilac,24,0.8666666666666667
227,colegiobilac,29,0.8055555555555557
228,colegiobilac,30,0.8076923076923077
229,colegiobilac,31,0.7575757575757577
230,colegiobilac,32,1.0
231,colegiobilac,33,0.5
232,colegiobilac,34,0.824829931972789
233,colegiobilac,35,0.6666666666666667
234,colegiobrasilia,23,0.8395276292335114
235,colegiobrasilia,24,0.8852941176470589
236,colegiobrasilia,25,0.6874999999999999
237,colegiobrasilia,30,0.5
238,colegiobrasilia,31,0.7652116402116401
239,colegiobrasilia,32,0.8137860082304527
240,colegiobrasilia,33,0.8124894262825297
241,colegiobrasilia,34,0.6619047619047619
242,colegiobrasilia,35,0.4958513708513708
243,colegiocb,23,0.9255952380952381
244,colegiocb,24,0.8416666666666668
245,colegiocb,25,1.0
246,colegiocb,26,1.0
247,colegiocb,27,1.0
248,colegiocb,30,0.6666666666666666
249,colegiocb,31,0.9876543209876544
250,colegiocb,32,1.0
251,colegiocb,33,1.0
252,colegiocb,34,0.7857142857142858
253,colegiocb,35,0.7716450216450216
254,colegiodasamericas,23,0.0
255,colegiodasamericas,24,0.8077651515151515
256,colegiodasamericas,25,1.0
257,colegiodasamericas,26,0.6462962962962964
258,colegiodasamericas,30,0.9743589743589743
259,colegiodasamericas,31,0.6799999999999999
260,colegiodasamericas,33,1.0
261,colegiodasamericas,34,0.75
262,colegiodasamericas,35,0.4375
