,namespace,Semana,Porcentagem de engajamento em AAs
420,colegiointegral,30,0.9523881233842834
354,colegioeducallis,24,0.9515311943772534
1056,progressaodc,30,0.9501661129568106
964,pioxi,23,0.9498360655737705
201,ceespacolivre,27,0.9496221662468514
971,pioxiicolegio,30,0.9486203615604186
190,cbpdigital,35,0.948157401623985
368,colegioensitec,32,0.9475108225108225
39,acessocampolargokids,27,0.9474605954465849
128,amadeus,33,0.9463055912221314
255,colegioalphaunis,27,0.9461936437546193
278,colegiobatistaindependente,34,0.9459997346424307
395,colegioglobal,33,0.945962448481148
725,invictus,26,0.9444655762647395
287,colegiobetelbrasileirosp,35,0.9444444444444444
299,colegiobrasilia,23,0.9443893764030203
998,portinari,24,0.9436560934891486
163,casdinhosjc,23,0.9435480205445207
1059,progressaodc,33,0.9434984520123839
350,colegioecursoprogressao,33,0.9423076923076923
189,cbpdigital,34,0.9418457648546145
1111,sagradafamilia,33,0.9411764705882353
1001,portinari,28,0.9400453839722919
909,overzonanorte,31,0.9387380777696258
390,colegioglobal,24,0.9380731213528641
940,physicsbatistacampos,33,0.9366714642830088
910,overzonanorte,32,0.9366197183098591
974,pioxiicolegio,33,0.9350031210986267
512,colegioup,35,0.9334689481871485
284,colegiobetelbrasileirosp,32,0.9333528208126279
440,colegiomagnum,23,0.9329608938547486
1089,psantagema,26,0.9318071115440818
840,overabelcabral,29,0.9311475409836065
487,colegiosete,35,0.931046195652174
723,invictus,24,0.9308375634517766
328,colegiodasamericas,30,0.9296651959512069
1129,santoamerico,25,0.9279953917050692
277,colegiobatistaindependente,33,0.9274525968672712
42,acessocampolargokids,33,0.9268707482993197
495,colegiouirapuru,33,0.9262567875284639
312,colegiocb,25,0.9255014326647565
719,integradaeducativa,33,0.9253731343283582
1000,portinari,27,0.924552896397101
1087,psantagema,24,0.924211744286954
841,overabelcabral,30,0.924187725631769
846,overabelcabral,35,0.9240083987689476
207,cem,23,0.9236830256641153
271,colegiobatistaindependente,24,0.9229946524064171
737,isem,27,0.9221704576596328
482,colegiosete,30,0.919093851132686
531,contemporaneolagoanova,32,0.9185372005044136
211,cem,32,0.9180977542932629
203,ceespacolivre,32,0.9180327868852459
212,cem,33,0.9179177545691906
720,integradaeducativa,34,0.9177972865123704
148,aprovest,27,0.9176470588235294
843,overabelcabral,32,0.9168591224018475
241,cnslpb,24,0.9164153382162861
842,overabelcabral,31,0.9157986111111112
279,colegiobatistaindependente,35,0.9157303370786517
58,acessohauer,26,0.9157088122605364
72,acessopinhais,32,0.9153354632587859
77,acessosantafelicidade,24,0.9145126045941481
728,invictus,32,0.9140989729225023
343,colegioecursoprogressao,25,0.9136733716475096
318,colegiocb,33,0.9136253041362531
913,overzonanorte,35,0.9131782945736434
1174,spdacruz,31,0.9130938586326767
1207,stellamarisxaxim,35,0.9130056546324489
1119,santamariacn,28,0.9122807017543859
332,colegiodasamericas,35,0.9122137404580153
1058,progressaodc,32,0.9121856329025984
736,isem,26,0.9120932491500728
876,overmarciliofurtado,35,0.9107959551881845
344,colegioecursoprogressao,26,0.9101613093135523
738,isem,28,0.9100274725274725
870,overmarciliofurtado,29,0.9095528455284553
423,colegiointegral,33,0.9084635325439642
1002,portinari,29,0.9082142605757725
345,colegioecursoprogressao,27,0.9081504702194357
872,overmarciliofurtado,31,0.9076396807297605
628,educandarioterciocorreia,33,0.9076305220883534
415,colegiointegral,24,0.9074166770950652
