,namespace,Unnamed: 0,Porcentagem de professores que visualizaram relatórios de AD
357,institutotecnicodoplanalto,1,0.0
358,institutosaojose,4,0.0
359,institutomariaauxiliadora,22,0.0
360,overpontanegra,68,0.0
361,pcf,36,0.0
362,padreeustaquio,47,0.0
363,sidarta,3,0.0
364,singularidades,7,0.0
365,sincroniza,1,0.0
366,simulados,4,0.0
367,simuladoita,9,0.0
368,simplificaquepassa,5,0.0
369,simontonsapezal,3,0.0
370,simontondf,1,0.0
371,simbios,36,0.0
372,shekinah,1,0.0
373,smevilaura,5,0.0
374,shalomblumenau,2,0.0
375,sfhfakhfakfakj,1,0.0
376,setrem,1,0.0
377,setedesetembro,32,0.0
378,sesitaubate,1,0.0
379,sesisumare,8,0.0
380,sesisjdoriopreto,7,0.0
381,sesisbc,1,0.0
382,sistemadeensinogpi,1,0.0
383,sistemaeducacionalmaster,12,0.0
384,sistemafb,3,0.0
385,sistemaincentivo,27,0.0
386,smerousseau,3,0.0
387,smepresbiterianopprudente,3,0.0
388,smemundodeplatao,5,0.0
389,smemhorebe,5,0.0
390,smelemeitapeva,1,0.0
391,smelamarck,2,0.0
392,smeisaacnewton,6,0.0
393,smeipebotucatu,4,0.0
394,smecristaodecastro,7,0.0
395,smecolegiorgf,1,0.0
396,smecolegiojjr,1,0.0
397,smecolegioevangelicoluz,5,0.0
398,smecbvm,2,0.0
399,sme,2,0.0
400,smartz,2,0.0
401,sjoseegito,15,0.0
402,sistemaprima,21,0.0
403,sesisaocarlos,4,0.0
404,sesisantos,2,0.0
405,sesiportoferreira,1,0.0
406,serjundiai,1,0.0
407,seomega,1,0.0
408,senninha,6,0.0
409,senhorbonfim,18,0.0
410,senaitocantins,1,0.0
411,senaismo,1,0.0
412,senaiourobranco,1,0.0
413,senai,1,0.0
414,semearjacarei,2,0.0
415,semeares,3,0.0
416,selecao,44,0.0
417,segurancadigital,1,0.0
418,scopum,3,0.0
419,saturninopereira,3,0.0
420,saseducacao,26,0.0
421,sasadaptteste,8,0.0
422,sasadaptrelatorios,19,0.0
423,sasadaptfund,2,0.0
424,serios,2,0.0
425,sersorocaba,4,0.0
426,sesipinda,1,0.0
427,sesi207,1,0.0
428,sesiparaguacupaulista,5,0.0
429,sesilimeira,1,0.0
430,sesiitatiba,1,0.0
431,sesiipiranga,2,0.0
432,sesiigaracudotiete,4,0.0
433,sesihorto,1,0.0
434,sesigru,4,0.0
435,sesidescalvado,5,0.0
436,sesicruzeiro,1,0.0
437,sesicrixas,7,0.0
438,sesicotia,5,0.0
439,sesicampinas,2,0.0
440,sesicacapava,1,0.0
441,sesibarrabonita,4,0.0
442,sesiapucarana,3,0.0
443,sesiamericana,5,0.0
444,sesialvaresmachado,5,0.0
445,smetatui,3,0.0
446,sociedadebread,1,0.0
447,palasatena,1,0.0
448,venceslauchaves,13,0.0
449,vieirasantos,1,0.0
450,vicentecravo,4,0.0
451,viaquatro,1,0.0
452,vetor,2,0.0
453,vestibularcidadao,15,0.0
454,vertice,1,0.0
455,veramagaldi,1,0.0
456,veracruz,2,0.0
457,vcmakercmf,7,0.0
458,sociedadeevangelica,1,0.0
459,vcmaker,399,0.0
460,valsaab,1,0.0
461,valdemiracoelho,30,0.0
462,uri,3,0.0
463,universos,4,0.0
464,universobarcarena,56,0.0
465,universitas,31,0.0
466,universitario,9,0.0
467,viladainfanciaeusebio,7,0.0
468,viladainfanciafortaleza,10,0.0
469,vilagustavo,1,0.0
470,vilaolimpia,18,0.0
471,zefinharibeiro,1,0.0
472,zecarioca,15,0.0
473,zacariasliberato,3,0.0
474,yduqs,3,0.0
475,xvdenovembro,1,0.0
476,www,11,0.0
477,wilsondeandradebarreto,1,0.0
478,wererockingitbabe,2,0.0
479,walfridocampos,1,0.0
480,vmcursos,1,0.0
481,vitaldidonet,8,0.0
482,vitalbrazil,3,0.0
483,vitae,2,0.0
484,visaorecife,2,0.0
485,virgempoderosa,1,0.0
486,villalobos,65,0.0
487,vilasezamo,2,0.0
488,unilan,1,0.0
489,unificado,45,0.0
490,uniaomissnorte,2,0.0
491,testematheus,1,0.0
492,testehabilitacao,1,0.0
493,testegracie,1,0.0
494,testedequartadois,1,0.0
495,teste,1,0.0
496,tesadsajda,1,0.0
497,teacherjh,1,0.0
498,tadeubio,1,0.0
499,tabernaculo,4,0.0
500,superacao,1,0.0
501,studos,1,0.0
502,sscc,1,0.0
503,spe,4,0.0
504,souhabilis,17,0.0
505,sosmamaecoruja,6,0.0
506,soniamariaos,1,0.0
507,sonhodecrianca,9,0.0
508,solarcursinho,12,0.0
509,testelemann,3,0.0
510,testeteste,1,0.0
511,uniao,2,0.0
512,testetvveconquista,1,0.0
513,unevale,1,0.0
514,unbidiomasjapones,3,0.0
515,umnomequalquer,1,0.0
516,ultimavezeuespero,2,0.0
517,ulbraconcordia,1,0.0
518,ufrpe,1,0.0
519,ubm,2,0.0
520,tvve,2,0.0
521,tutorio,1,0.0
522,tomasdeaquino,2,0.0
523,todalicao,1,0.0
524,tiquinhodegente,10,0.0
525,tiathais,6,0.0
526,tialo,11,0.0
527,tiaanamaria,3,0.0
528,theclub,1,0.0
529,testevictorhugo,1,0.0
530,sasadaptem,5,0.0
531,sasadapt,14,0.0
532,sas,7,0.0
533,positivosantamaria,9,0.0
534,presbiterianadogama,2,0.0
535,presbiterianacastanheira,2,0.0
536,presbfmc,1,0.0
537,presbericocardoso,1,0.0
538,preparavest,15,0.0
539,preparatec,18,0.0
540,potenciacao,1,0.0
541,positivosemeador,10,0.0
542,positivopassocerto,13,0.0
543,sap,1,0.0
544,positivomaster,12,0.0
545,positivojunior,33,0.0
546,positivojoinville,11,0.0
547,positivojardimambiental,27,0.0
548,positivoboavista,9,0.0
549,positivoaguaverde,9,0.0
550,portoseguro,30,0.0
551,portalsas,1,0.0
552,presbiterianajdsaovicente,2,0.0
553,presbiterianoaraguaia,1,0.0
554,presbiterianodepiumhi,3,0.0
555,presbiterianomacae,2,0.0
556,professor,8,0.0
557,profederal,24,0.0
558,profdelano,1,0.0
559,profcrisfranco,1,0.0
560,prodteste,22,0.0
561,prismapatrocinio,47,0.0
562,prisma,64,0.0
563,principius,30,0.0
564,principedapaz,4,0.0
565,primeiromundo,15,0.0
566,primeirodemaio,39,0.0
567,primeirachance,1,0.0
568,prevest,15,0.0
569,presbpatominas,1,0.0
570,presbjuina,1,0.0
571,presbiterianotatui,3,0.0
572,presbiterianopresidenteprudente,1,0.0
573,populardeteresina,1,0.0
574,polisguimarania,1,0.0
575,poliedro,11,0.0
576,peretz,1,0.0
577,pequenosamuel,2,0.0
578,pentagonomorumbi,1,0.0
579,pentagono,181,0.0
580,pensemac,1,0.0
581,pedromurilo,14,0.0
582,pedrogeo,1,0.0
583,pedrocamelo,14,0.0
584,pedacinhodoceu,3,0.0
585,pearson,1,0.0
586,estantemagica,3,0.0
587,pauloviana,35,0.0
588,paulovi,13,0.0
589,paulofreire,3,0.0
590,patronatoitapaje,1,0.0
591,paroquial,2,0.0
592,paraisodosaber,4,0.0
593,palmares,3,0.0
594,peresguimaraes,1,0.0
595,perpetuosocorro,1,0.0
596,poiujkl,3,0.0
597,pertinhodanatureza,1,0.0
598,podion,13,0.0
599,pluricrecheescola,2,0.0
600,plurecrecheescola,1,0.0
601,plural,1,0.0
602,playpen,1,0.0
603,plannetataboao,25,0.0
604,pioxiicolegio,44,0.0
605,pioxii,7,0.0
606,pioxi,65,0.0
607,physicsumarizal,69,0.0
608,physicsmacapa,64,0.0
609,physicsconselheirofurtado,74,0.0
610,physicsbatistacampos,52,0.0
611,physicsalmirantebarroso,112,0.0
612,physicsalcindocacela,86,0.0
613,phoenixeducacional,1,0.0
614,pesenglish,42,0.0
615,professoradechines,2,0.0
616,professorflavio,1,0.0
617,professorgilberto,1,0.0
618,santamariace,4,0.0
619,santamarcelina,2,0.0
620,santahelena,1,0.0
621,santadoroteia,15,0.0
622,santacruz,2,0.0
623,santaamalia,4,0.0
624,salesianodosalvador,1,0.0
625,saladeaula,2,0.0
626,saladacristiane,1,0.0
627,sagrado,3,0.0
628,sagradafamilia,20,0.0
629,saea,2,0.0
630,ruthgomesfigueira,2,0.0
631,ruibarbosa,3,0.0
632,rosanaponte,4,0.0
633,rosadesaron,4,0.0
634,riscorabisco,2,0.0
635,riobrancocampinas,3,0.0
636,santamaria,2,0.0
637,santamariacn,21,0.0
638,renascereducacao,1,0.0
639,santarita,28,0.0
640,saosebastiao,2,0.0
641,saoroque,2,0.0
642,saomiguelbh,1,0.0
643,saomateus,1,0.0
644,saoluiz,3,0.0
645,saojosecaxiasdosul,2,0.0
646,saojose,1,0.0
647,saojoao,4,0.0
648,saodomingos,1,0.0
649,saobento,2,0.0
650,santoantoniojesus,1,0.0
651,santoantonio,12,0.0
652,santoamericoteste,5,0.0
653,santoagostinhomg,3,0.0
654,santoagostinholeblon,3,0.0
655,santoagostinho,3,0.0
656,santaterezinha,2,0.0
657,ricaro,1,0.0
658,renascer,1,0.0
659,professorgirao,1,0.0
660,rainhadapaz,1,0.0
661,radial,2,0.0
662,querobolsa,1,0.0
663,pvv,2,0.0
664,purissimo,5,0.0
665,pulamuralha,1,0.0
666,puccampinas,2,0.0
667,psantagema,16,0.0
668,providencia,1,0.0
669,provaspoliedro,254,0.0
670,projetovida,1,0.0
671,projetogauss,1,0.0
672,projetodeventoempopa,1,0.0
673,progressaoig,27,0.0
674,progressaodc,24,0.0
675,profrichard,1,0.0
676,profgilberto,1,0.0
677,professorsemfronteiras,1,0.0
678,raimundoalves,5,0.0
679,raiodesol,3,0.0
680,renascenca,2,0.0
681,raizeducacao,132,0.0
682,renanbrito,1,0.0
683,renan,1,0.0
684,relacionamento,1,0.0
685,reginacoelirs,3,0.0
686,reges,20,0.0
687,redhouseschool,1,0.0
688,redeprojecao,122,0.0
689,redemarista,19,0.0
690,redeisaacnewton,30,0.0
691,redeinspira,1,0.0
692,redefilhasdejesus,2,0.0
693,redecaminhodosaber,1,0.0
694,redeapogeu,2,0.0
695,rede,2,0.0
696,recriar,8,0.0
697,recantointerativo,2,0.0
698,rcaidiomas,3,0.0
699,estreladamanha,4,0.0
700,escreva,5,0.0
701,estadualcoelho,3,0.0
702,chegadeficartestando,1,0.0
703,classea,2,0.0
704,ckadima,1,0.0
705,cieb,1,0.0
706,cidadaniaevida,3,0.0
707,cicrel,4,0.0
708,cicerofranklin,12,0.0
709,ciadosaber,18,0.0
710,christianschool,2,0.0
711,charlesdarwin,2,0.0
712,certus,3,0.0
713,chamberlain,1,0.0
714,cfsantoantonio,4,0.0
715,cfc,3,0.0
716,cevangelicoagj,1,0.0
717,cetec,1,0.0
718,ceteb,4,0.0
719,cesemeando,2,0.0
720,cesc,3,0.0
721,click,1,0.0
722,clubedopimpolho,3,0.0
723,cmc,1,0.0
724,cmdpii,4,0.0
725,colconcordia,2,0.0
726,colbatistadecamamu,1,0.0
727,colband,5,0.0
728,cognitivo,2,0.0
729,cognita,2,0.0
730,coebb,1,0.0
731,cocsjcampos,2,0.0
732,cocrenascenca,2,0.0
733,cocaraucaria,42,0.0
734,cnsr,2,0.0
735,cnslpb,24,0.0
736,cnsditabira,1,0.0
737,cnsd,21,0.0
738,cnecnovamutum,8,0.0
739,cnec,2,0.0
740,cmpalmas,1,0.0
741,cmirj,3,0.0
742,cesaber,1,0.0
743,cermac,36,0.0
744,colegioabre,10,0.0
745,ceespacolivre,32,0.0
746,cem,27,0.0
747,celp,2,0.0
748,ceivanilsoncosta,17,0.0
749,ceiparaty,1,0.0
750,cei,3,0.0
751,cegetsemani,2,0.0
752,cefquinzetaguatinga,5,0.0
753,cefnorte,1,0.0
754,ceescolita,1,0.0
755,ceribeirogil,1,0.0
756,ceebetel,3,0.0
757,cedecisivo,1,0.0
758,cecriativus,1,0.0
759,cecriacao,2,0.0
760,cecgama,4,0.0
761,cecbdf,3,0.0
762,cecb,1,0.0
763,cec,2,0.0
764,cemanoelgoncalves,1,0.0
765,cemaristasaojose,3,0.0
766,ceme,1,0.0
767,cemi,4,0.0
768,cepvilhena,2,0.0
769,cepseguro,1,0.0
770,ceprojetar,3,0.0
771,cepquinzedenovembro,1,0.0
772,cepe,4,0.0
773,cepaulofreire,2,0.0
774,cep,2,0.0
775,centroraiodesol,1,0.0
776,centroeducacionalaviv,4,0.0
777,centroeaviv,1,0.0
778,centroarcadenoe,5,0.0
779,centrinhoplanaltina,1,0.0
780,censaparecida,2,0.0
781,censacampos,4,0.0
782,cemundomagico,1,0.0
783,cemonza,1,0.0
784,cemj,2,0.0
785,colediosagrado,1,0.0
786,colegioacm,2,0.0
787,cebeijaflor,3,0.0
788,colegioemilie,1,0.0
789,colegioevoluir,5,0.0
790,colegioevolucaoce,1,0.0
791,colegioeverest,27,0.0
792,colegioestrutural,5,0.0
793,colegioequipevicosa,1,0.0
794,colegioequipern,2,0.0
795,colegioensitec,33,0.0
796,colegioeneum,1,0.0
797,colegioelshadai,2,0.0
798,colegiodimensao,1,0.0
799,colegioeducare,1,0.0
800,colegioeducallis,87,0.0
801,colegioecursoprogressao,32,0.0
802,colegioeccos,3,0.0
803,colegioeag,42,0.0
804,colegiodosjesuitas,2,0.0
805,colegiodosalvador,28,0.0
806,colegiodomboscomanaus,6,0.0
807,colegioexatus,2,0.0
808,colegioexternatosjbv,5,0.0
809,colegiofantastico,3,0.0
810,colegiofato,1,0.0
811,colegioipe,2,0.0
812,colegiointellectus,1,0.0
813,colegiointegralsolar,27,0.0
814,colegiointegral,111,0.0
815,colegioincomar,1,0.0
816,colegioiguatemy,32,0.0
817,colegioideal,4,0.0
818,colegiohelioalonso,1,0.0
819,colegioguilhermedealmeida,65,0.0
820,colegiogradual,1,0.0
821,colegiograciosa,1,0.0
822,colegioglobal,33,0.0
823,colegiogamaliel,1,0.0
824,colegiogalileu,23,0.0
825,colegiofuturageracao,15,0.0
826,colegioflamingo,12,0.0
827,colegiofenix,2,0.0
828,colegiodom,1,0.0
829,colegiodiaspora,1,0.0
830,colegioagape,1,0.0
831,colegioapoio,3,0.0
832,colegiobal,1,0.0
833,colegioauxiliadora,1,0.0
834,colegioatenas,1,0.0
835,colegioassembleiadedeus,1,0.0
836,colegioarena,70,0.0
837,colegioarca,1,0.0
838,colegioaprendiz,1,0.0
839,colegioapoiomg,22,0.0
840,colegioanglobras,1,0.0
841,colegiodasamericas,53,0.0
842,colegioanchietaii,15,0.0
843,colegioanchietai,1,0.0
844,colegioalvaromelo,2,0.0
845,colegioalphaunis,25,0.0
846,colegioalexandra,2,0.0
847,colegioalbertsabin,2,0.0
848,colegioalberteinstein,70,0.0
849,colegioalamar,1,0.0
850,colegiobatistaindependente,17,0.0
851,colegiobetelbrasileirosp,34,0.0
852,colegiobiangulo,10,0.0
853,colegiobianguloiv,29,0.0
854,colegiodarwin,5,0.0
855,colegiocristaopr,1,0.0
856,colegiocristaoaquas,1,0.0
857,colegiocriativo,3,0.0
858,colegiocrescer,2,0.0
859,colegiocpm,41,0.0
860,colegiocognos,19,0.0
861,colegiockids,1,0.0
862,colegiocebrapi,1,0.0
863,colegiocdc,1,0.0
864,colegiocatamara,1,0.0
865,colegiocastro,1,0.0
866,colegiocastelosp,2,0.0
867,colegiocastelo,3,0.0
868,colegiocanarinho,5,0.0
869,colegiocaetano,1,0.0
870,colegiobilac,18,0.0
871,cebnossasenhoraaparecida,15,0.0
872,cebapm,2,0.0
873,esperanza,35,0.0
874,antarespapicu,40,0.0
875,antonioportela,3,0.0
876,antoniomelo,18,0.0
877,antoniolima,13,0.0
878,antoniocesar,1,0.0
879,antoniairene,11,0.0
880,antaresseisbocas,36,0.0
881,antaressantosdumont,24,0.0
882,antarespraiadeiracema,41,0.0
883,antaresjardins,18,0.0
884,andreiacastro,1,0.0
885,antaresirmamaria,27,0.0
886,antaresfatima,44,0.0
887,antaresbarbosadefreitas,22,0.0
888,anisiopereira,1,0.0
889,animalnaopercebe,2,0.0
890,anglojacarei,36,0.0
891,anglocassianoricardo,38,0.0
892,anglocamaragibe,2,0.0
893,aog,1,0.0
894,apogeu,2,0.0
895,apogeuarcoiris,1,0.0
896,apogeubenfica,3,0.0
897,arlindocavalcanti,18,0.0
898,arena,2,0.0
899,arco,1,0.0
900,arbos,1,0.0
901,aprovest,7,0.0
902,aprendemesmo,1,0.0
903,aprendaquimica,1,0.0
904,apotec,13,0.0
905,apogeuuba,3,0.0
906,apogeustoantonio2,76,0.0
907,apogeustoantonio1,3,0.0
908,apogeupousoalegre,17,0.0
909,apogeupiaget,1,0.0
910,apogeuparademinas,2,0.0
911,apogeumbcursos,1,0.0
912,apogeudivinopolis,4,0.0
913,apogeucemap,1,0.0
914,andrews,1,0.0
915,andersonaraujo,1,0.0
916,arturtavares,16,0.0
917,acessopinhais,27,0.0
918,adventistajiparana,1,0.0
919,adv,1,0.0
920,adrianochan,11,0.0
921,adilsonfranco,1,0.0
922,adeajuda,2,0.0
923,acessosjpinhais,65,0.0
924,acessosantafelicidade,52,0.0
925,acessoportao,48,0.0
926,acessohauer,23,0.0
927,anchietaba,2,0.0
928,acessocampolargokids,11,0.0
